premise_id	object	provenance	treatment
P01	reciprocal_value_character	DERIVED_CONDITIONAL	exact_input
P02	static_odd_phi_seal_derivative_free	BINDING_SCOPED_CANON	exact_mirror_control
P03	reciprocal_Z2_transition_algebra	DERIVED_EXACT_PRIOR	replay_no_new_credit
P04	common_scale_neutrality	FOUNDING	no_representative_selected
P05	twelve_completion_rows	CHARACTERIZED_BOUNDED_PARAMETRIC	all_retained_none_ranked
P06	global_phi_transition_equivariance	FREE_AND_EXPLORED	requirement_not_input
P07	angular_transition_cap_period_orientation	FREE_AND_EXPLORED	row_specific_no_invention
P08	physical_reciprocal_angular_soldering	OPEN	candidate_conclusion_not_input
P09	complete_metric_coframe_jets	OPEN_IN_TYPE_ONLY_ROWS	not_silently_completed
P10	nonnull_dphi	NOT_REQUIRED	critical_null_and_zero_strata_retained
P11	action_source_carrier_density_mass_scale	OPEN	not_imported
