catch_id	mutation	status
C01	remove_completion	CAUGHT
C02	duplicate_completion	CAUGHT
C03	promote_complete_witness	CAUGHT
C04	select_S3	CAUGHT
C05	break_mirror_value_descent	CAUGHT
C06	erase_cubic_criticality	CAUGHT
C07	claim_cubic_complete_solution	CAUGHT
C08	select_mirror_angular_lift	CAUGHT
C09	promote_toric_soldering	CAUGHT
C10	extend_connection_through_singularity	CAUGHT
C11	require_orientation_for_value_character	CAUGHT
C12	remove_periodic_phi_equivariance	CAUGHT
C13	make_projector_degeneracy_destroy_D	CAUGHT
C14	conflate_nonintegrability_with_D_obstruction	CAUGHT
C15	derive_physical_metric_glue	CAUGHT
C16	derive_connection_glue	CAUGHT
C17	derive_reciprocal_angular_join	CAUGHT
C18	derive_realization_selector	CAUGHT
C19	remove_theorem	CAUGHT
C20	promote_global_descent_without_cocycle	CAUGHT
C21	activate_density	CAUGHT
C22	remove_source	CAUGHT
C23	change_maximum	CAUGHT
C24	set_selected_completion_count	CAUGHT
C25	credit_prior_normalizer_as_new	CAUGHT
