theorem_id	object	result	status	scope_guard
T01	RECIPROCAL_NORMALIZER_ACTION	G_PRESERVES_D_AND_F_INVERTS_D	DERIVED_EXACT_PRIOR_REPLAYED	NO_NEW_CREDIT_FOR_PRIOR_GROUP_THEOREM
T02	STATIC_ODD_SEAM	F_CONJUGATED_PULLBACK_D_EQUALS_D	DERIVED_EXACT	RECIPROCAL_ASSOCIATED_OBJECT_NOT_FULL_PHYSICAL_METRIC
T03	SEAM_JETS	VALUE_FIRST_AND_SECOND_PULLBACK_JETS_MATCH	DERIVED_EXACT_FOR_PREREGISTERED_CONTROLS	GENERAL_SMOOTH_ODD_RESULT_FOLLOWS_FROM_FUNCTION_IDENTITY
T04	CRITICAL_DPHI	CUBIC_CRITICAL_SEAL_RETAINS_EXACT_D_DESCENT	DERIVED_EXACT	DERIVATIVE_3PLUS3_STILL_DEGENERATES
T05	ANGULAR_BLOCK_EXTENSION	ARBITRARY_ANGULAR_TRANSITION_CANCELS_BLOCKWISE	DERIVED_EXACT	PROVES_NONSELECTION_NOT_PHYSICAL_DECOUPLING_THEOREM
T06	CSN	D_DESCENT_IS_COMMON_SCALE_NEUTRAL	DERIVED_EXACT_COMPATIBILITY	NO_REPRESENTATIVE_SELECTED
T07	ORIENTATION	VALUE_CHARACTER_DESCENT_DOES_NOT_REQUIRE_ORIENTATION	DERIVED_EXACT	ORDINARY_GLOBAL_HODGE_STILL_REQUIRES_ORIENTATION
T08	PHYSICAL_METRIC_GLUE	NOT_FIXED_BY_D_DESCENT	OPEN	PHYSICAL_READOUT_SOLDERING_AND_FULL_METRIC_JETS_UNSUPPLIED
T09	CONNECTION_GLUE	NOT_FIXED_BY_VALUE_CHARACTER_DESCENT	OPEN	FULL_TRANSITION_DERIVATIVE_AND_METRIC_CONNECTION_REQUIRED
T10	GLOBAL_COVER	NORMALIZER_CONSTRAINS_BUT_DOES_NOT_CREATE_COVER_COCYCLE	DERIVED_EXACT_PRIOR_REPLAYED	COVER_INCIDENCE_AND_EQUIVARIANCE_REMAIN_INPUTS
T11	RECIPROCAL_ANGULAR_JOIN	NO_NATIVE_SOLDERING_DERIVED	OPEN_NOT_DERIVED	CONDITIONAL_TORIC_COMPATIBILITY_RETAINED
T12	REALIZATION_SELECTOR	NO_COMPLETION_RANKED_OR_SELECTED	OPEN_NOT_DERIVED	CONSISTENCY_CLASSIFIES_SUPPLIED_BRANCHES_ONLY
