key	weyl_relative_error	ricci_relative_error	ladder_weyl_outer_error	ladder_ricci_outer_error	production_petrov	independent_petrov	production_owner	independent_owner	pass
G63|R17_M1_N|p	1.6188549902099378e-09	2.3578908188700985e-09	6.4815242520105902e-09	5.7988703099274598e-09	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|R17_M1_N|q	2.1054325111695226e-09	3.4631708645309081e-09	1.0990850039370678e-08	1.274607690919306e-08	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|R17_M1_N|r	3.4319849998216052e-09	1.9773663115824541e-09	9.6174763040416878e-09	6.8068045998497632e-09	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|R17_M1_Z|p	2.2104188099105741e-09	2.013710912072311e-09	7.9337160466825505e-09	1.0687560133453576e-08	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|R17_M1_Z|q	1.7815047037926743e-09	3.1780425737717413e-09	1.1127308565972801e-08	6.5534713505292257e-09	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|R17_M1_Z|r	1.9365634066606312e-09	1.1356493219883459e-09	1.0686238562241143e-08	1.4719648839109706e-08	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|R17_M1_P|p	2.3557256020156873e-09	6.7458167156752256e-09	7.3259398275834075e-09	1.1050591195258261e-08	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|R17_M1_P|q	2.6869395469589185e-09	2.2910898982975405e-09	7.9459837608385735e-09	8.9196609190867948e-09	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|R17_M1_P|r	1.8207576364823998e-09	2.0518835220496019e-09	7.9094400953970174e-09	9.8547424324503998e-09	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|R17_0_N|p	1.3710222092979329e-09	2.178066619447153e-09	4.3127119013764958e-09	4.8258165677359723e-09	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|R17_0_N|q	1.5900426745217623e-09	3.4185864002345896e-09	7.9578133179420728e-09	1.3247592343783574e-08	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|R17_0_N|r	1.93357140431316e-09	1.7952823429626813e-09	7.3799482218125441e-09	3.9078922902249062e-09	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|R17_0_Z|p	2.1396412475989352e-09	1.943777096907644e-09	4.8123437628318766e-09	1.1429184752684626e-08	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|R17_0_Z|q	1.0452355988598164e-09	3.4570507247987453e-09	7.234758669447007e-09	7.867765289921242e-09	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|R17_0_Z|r	1.7944346192806633e-09	1.8055701779086475e-09	8.0341437034044261e-09	1.4502706667319945e-08	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|R17_0_P|p	2.570066692232835e-09	7.0555560726233157e-09	4.5623272328886927e-09	1.2398182197153527e-08	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|R17_0_P|q	2.1653301240697341e-09	2.1474579121290528e-09	5.771985184332112e-09	8.6371790244603286e-09	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|R17_0_P|r	1.835488311968762e-09	2.5033917220295308e-09	5.4733864468520421e-09	9.2984010553721572e-09	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|R17_P1_N|p	3.860565646773943e-09	2.8333656451657298e-09	8.6960387534473088e-09	4.6646500710723318e-09	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|R17_P1_N|q	2.673514075334285e-09	4.5330592252168853e-09	1.0279523333934377e-08	1.2345507416943735e-08	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|R17_P1_N|r	3.1357751788849702e-09	1.1205592407652703e-09	7.3558854976972596e-09	4.7433724024864779e-09	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|R17_P1_Z|p	1.6690881716271987e-09	1.9560440823169141e-09	6.8665969061434374e-09	1.219282632835784e-08	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|R17_P1_Z|q	8.6886547785568889e-10	4.4742551081846183e-09	5.1911073454683624e-09	1.3166237686898349e-08	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|R17_P1_Z|r	2.4626392989281227e-09	2.1741573109870329e-09	1.3756405028583038e-08	1.4677699188903601e-08	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|R17_P1_P|p	4.3021646865143775e-09	5.9894352643691849e-09	8.4480330197394936e-09	1.3981151744744254e-08	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|R17_P1_P|q	2.6630642987584824e-09	2.087799499586566e-09	5.4419440126798115e-09	9.0912283763798445e-09	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|R17_P1_P|r	2.3271721613611729e-09	2.8232851678681155e-09	6.3674957824719015e-09	1.3652190936278105e-08	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|TL_N2|p	3.5909635769145716e-09	6.0577442798443141e-09	1.7666922127545497e-08	1.7433823736626754e-08	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|TL_N2|q	2.9032994105946285e-09	3.9647990994214855e-09	1.5996243860219753e-08	1.5826794142993704e-08	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|TL_N2|r	4.0531117608691351e-09	2.6546618652934299e-09	2.2330355906122544e-08	1.3089964065803905e-08	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|TL_N1|p	5.3532144712452512e-09	2.9368603267648856e-09	1.6260962355258053e-08	1.7438445501668647e-08	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
G63|TL_N1|q	5.2273415650871705e-09	3.2693346117688058e-09	1.4085979441901664e-08	1.4256690618847028e-08	I	I	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	SPLIT_MISALIGNED_WITH_CURVATURE_PRINCIPALS	TRUE
