catch_id	corruption_or_overclaim	required_rejection
F01	premise_stamp_deleted_or_promoted	FAIL_G01
F02	candidate_lambda_added_removed_or_retuned	FAIL_G02
F03	event_direction_or_horizon_changed_after_preregistration	FAIL_G03
F04	path_removed_for_mismatch_or_caustic	FAIL_G04
F05	GPU_or_non_float64_result_admitted	FAIL_G05
F06	null_residual_over_tolerance_admitted	FAIL_G06
F07	Killing_energy_drift_over_tolerance_admitted	FAIL_G07
F08	screen_orthogonality_over_tolerance_admitted	FAIL_G08
F09	curvature_asymmetry_over_tolerance_admitted	FAIL_G09
F10	symplectic_or_detM_residual_over_tolerance_admitted	FAIL_G10
F11	composition_residual_over_tolerance_admitted	FAIL_G11
F12	convergence_residual_over_tolerance_admitted	FAIL_G12
F13	independent_RK4_holdout_missing_or_over_tolerance	FAIL_G13
F14	coordinate_geometry_holdout_missing_or_over_tolerance	FAIL_G14
F15	local_Cartan_anchor_sign_reversed_or_missing	FAIL_G15
F16	transported_optical_screen_silently_identified_with_intrinsic_screen	FAIL_G16
F17	vertex_B_block_called_full_composable_propagator	FAIL_G17
F18	lambda_minus_two_tautology_called_Jacobi_or_SNe_derivation	FAIL_G18
F19	shape_normalization_called_fit_or_physical_scale	FAIL_G19
F20	one_path_similarity_selects_lambda_profile_or_topology	FAIL_G20
F21	off_shell_atlas_called_solution_prediction_or_validation	FAIL_G21
F22	mismatch_called_universal_no_go	FAIL_G21
F23	path_endpoint_cut_locus_or_signal_ontology_selected	FAIL_G22
F24	action_source_carrier_density_bootstrap_mass_Xmax_or_dynamics_inferred	FAIL_G22
