premise_id	premise	status	use	not_supplied
P01	founded_phi_reciprocal_character	pinned_by_THEORY	clock/ruler weights and endpoint depth	physical profile
P02	copresence	WORKING_INTERPRETIVE_FRAME	carried only	access or field equation
P03	metric_causal_structure	DERIVED_CONDITIONAL	null/geodesic typing	matter signal response
P04	instantaneous_operational_access	NOT_DERIVED	excluded	signalling theorem
P05	complete_whole_solution_law	OPEN	excluded	on-shell selection
P06	C01_to_C06_metric_family	free-and-explored_frozen_configuration	transport atlas	physical solution
P07	profile_epsilon_twist	CHOSE_FREE_PARENT_WITNESS	unchanged geometry	field equation or fit
P08	lambda	free-and-explored_six_frozen_values	complete candidate census	selector
P09	P00_P01_P02_events	CHOSE_FREE_PREREGISTERED_SAMPLE	bounded event census	preferred location
P10	plus_minus_intrinsic_null_launch	pinned_by_metric_pair_given_event	initial directions	all null directions
P11	affine_horizon_one_quarter	CHOSE_NUMERICAL_DOMAIN	bounded short transport	global/cut-locus atlas
P12	DOP853_tolerances	CHOSE_NUMERICAL_CONTROL	production integration	continuum change
P13	parallel_screen_and_Jacobi_equation	pinned_by_metric_geometry	optical transport	physical photon ontology
P14	WRL_readout	OBSERVED_REGISTERED_CONDITIONAL_NEAR_DATA	shape comparison only	validation or target
P15	c_E_R_equals_one	pinned_by_parent_units	dimensionless geometry	physical universe scale
P16	action_source_carrier_boundary_density_bootstrap_mass_Xmax_dynamics	OPEN_OR_CONDITIONAL	excluded	complete physics
