path_id	affine	lambda	absolute_error	scale	scaled_error
P00_plus_L-2	0.06250000	-2	2.1642820868805757e-10	1.566115819600258	1.381942548433612e-10
P00_plus_L-2	0.12500000	-2	2.4173574253438801e-10	1.638938612326468	1.4749530013893864e-10
P00_plus_L-2	0.18750000	-2	2.5672752812511135e-10	1.7141038457987035	1.4977361421500494e-10
P00_plus_L-2	0.25000000	-2	2.6036151012931441e-10	1.793897238307675	1.4513736047385523e-10
P00_plus_L-1	0.06250000	-1	1.2680478889137703e-10	1.3547862399040953	9.3597635668600735e-11
P00_plus_L-1	0.12500000	-1	1.4001555470599669e-10	1.4013636573790744	9.9913790377483676e-11
P00_plus_L-1	0.18750000	-1	1.4813350546205584e-10	1.450216716982651	1.0214577154390089e-10
P00_plus_L-1	0.25000000	-1	1.5064904879125152e-10	1.5021478104100621	1.0028909788187007e-10
P00_plus_L0	0.06250000	0	8.8626328498264684e-11	1.133145432853756	7.8212668849632837e-11
P00_plus_L0	0.12500000	0	1.0050096865832359e-10	1.1503472556784728	8.7365765565327732e-11
P00_plus_L0	0.18750000	0	1.0699366392863396e-10	1.1703693079652915	9.1418719886498403e-11
P00_plus_L0	0.25000000	0	1.0751785572971073e-10	1.1935176180108065	9.0084850116336732e-11
P00_plus_L0.5	0.06250000	0.5	8.862616196481099e-11	1.0184569012405613	8.7020041650125102e-11
P00_plus_L0.5	0.12500000	0.5	1.0050088539159674e-10	1.0197822802108569	9.8551315650254785e-11
P00_plus_L0.5	0.18750000	0.5	1.0699388597323889e-10	1.0243845967301117	1.0444698828425269e-10
P00_plus_L0.5	0.25000000	0.5	1.0751863288582797e-10	1.0326272340801812	1.041214383442064e-10
P00_plus_L1	0.06250000	1	1.1495882024092907e-10	1.0359005786297195	1.1097476206934417e-10
P00_plus_L1	0.12500000	1	1.2601697463310302e-10	1.0359234276196272	1.2164699752245995e-10
P00_plus_L1	0.18750000	1	1.3093626183291462e-10	1.0373765789295919	1.2621864084113031e-10
P00_plus_L1	0.25000000	1	1.2912937386033718e-10	1.0403857147831284	1.2411682708201603e-10
P00_plus_L2	0.06250000	2	2.0589596694264856e-10	1.0841991223981928	1.8990604464539432e-10
P00_plus_L2	0.12500000	2	2.2867041593599424e-10	1.1070055125422833	2.0656664609631736e-10
P00_plus_L2	0.18750000	2	2.398861109753625e-10	1.1344606095365493	2.1145389179564459e-10
P00_plus_L2	0.25000000	2	2.384220598727893e-10	1.1659685083506	2.0448413328938485e-10
P00_minus_L-2	0.06250000	-2	1.6239926764471946e-10	1.4233998284813467	1.1409251595736557e-10
P00_minus_L-2	0.12500000	-2	1.6246141237852285e-10	1.3533443998686039	1.2004439697263772e-10
P00_minus_L-2	0.18750000	-2	1.5958227100876243e-10	1.2848643031525759	1.2420165352652984e-10
P00_minus_L-2	0.25000000	-2	1.5372925848966545e-10	1.2187949459148428	1.2613217588810588e-10
P00_minus_L-1	0.06250000	-1	9.2709229182474928e-11	1.2667841117111629	7.3184711053285914e-11
P00_minus_L-1	0.12500000	-1	9.6978362840172139e-11	1.2251147460093073	7.9158595679359648e-11
P00_minus_L-1	0.18750000	-1	9.8598837428021113e-11	1.1850962478848972	8.319901240426301e-11
P00_minus_L-1	0.25000000	-1	9.7620592165448272e-11	1.1468978486408818	8.5117076713617029e-11
P00_minus_L0	0.06250000	0	5.3132692690027739e-11	1.1057042832136001	4.8053257545140171e-11
P00_minus_L0	0.12500000	0	4.9549128688930466e-11	1.094624516835172	4.5265867817568303e-11
P00_minus_L0	0.18750000	0	5.2460411015253783e-11	1.0847162792142206	4.8363255922789902e-11
P00_minus_L0	0.25000000	0	5.46232581735695e-11	1.0755409922477548	5.0786774811263382e-11
P00_minus_L0.5	0.06250000	0.5	5.3132859223481432e-11	1.0307009092150115	5.1550220581398114e-11
P00_minus_L0.5	0.12500000	0.5	4.1310127193994184e-11	1.0399507603957754	3.9723156871651056e-11
P00_minus_L0.5	0.18750000	0.5	4.4682570143894651e-11	1.0476785529777362	4.264912173385321e-11
P00_minus_L0.5	0.25000000	0.5	4.7169011752057344e-11	1.0539992466534418	4.4752415053259199e-11
P00_minus_L1	0.06250000	1	7.900613496758524e-11	1.0394002088373837	7.6011274863949841e-11
P00_minus_L1	0.12500000	1	5.7100546513311201e-11	1.0424506235080497	5.4775300839819847e-11
