catch_id	result	corruption_or_overclaim
F01	PASS	premise_stamp_deleted_or_promoted
F02	PASS	candidate_lambda_added_removed_or_retuned
F03	PASS	event_direction_or_horizon_changed_after_preregistration
F04	PASS	path_removed_for_mismatch_or_caustic
F05	PASS	GPU_or_non_float64_result_admitted
F06	PASS	null_residual_over_tolerance_admitted
F07	PASS	Killing_energy_drift_over_tolerance_admitted
F08	PASS	screen_orthogonality_over_tolerance_admitted
F09	PASS	curvature_asymmetry_over_tolerance_admitted
F10	PASS	symplectic_or_detM_residual_over_tolerance_admitted
F11	PASS	composition_residual_over_tolerance_admitted
F12	PASS	convergence_residual_over_tolerance_admitted
F13	PASS	independent_RK4_holdout_missing_or_over_tolerance
F14	PASS	coordinate_geometry_holdout_missing_or_over_tolerance
F15	PASS	local_Cartan_anchor_sign_reversed_or_missing
F16	PASS	transported_optical_screen_silently_identified_with_intrinsic_screen
F17	PASS	vertex_B_block_called_full_composable_propagator
F18	PASS	lambda_minus_two_tautology_called_Jacobi_or_SNe_derivation
F19	PASS	shape_normalization_called_fit_or_physical_scale
F20	PASS	one_path_similarity_selects_lambda_profile_or_topology
F21	PASS	off_shell_atlas_called_solution_prediction_or_validation
F22	PASS	mismatch_called_universal_no_go
F23	PASS	path_endpoint_cut_locus_or_signal_ontology_selected
F24	PASS	action_source_carrier_density_bootstrap_mass_Xmax_or_dynamics_inferred
