path_id	event_id	direction	lambda	anchor_E1phi	anchor_E2phi	anchor_E3phi	anchor_error	endpoint_screen_leakage	endpoint_pair_leakage	endpoint_D_A	endpoint_WRL_W	normalized_shape_rms	composition_residual	convergence_difference	max_clock_law_residual	max_killing_energy_drift	max_null_residual	max_screen_gram_residual	max_k_screen_residual	max_curvature_asymmetry	max_symplectic_residual	max_detM_residual	production_nfev	convergence_nfev
P00_plus_L-2	P00	plus	-2	0.059999999999999998	0.02	0.040000000000000001	0	0.00037871847726814439	0.00039509582505776873	0.24589112963884172	0.043182750054032493	0.061617046594060726	2.7755575615628914e-16	8.8817841970012523e-16	6.6613381477509392e-16	6.6613381477509392e-16	1.547590181005809e-15	4.4408920985006262e-16	1.5612511283791264e-17	3.1752057927381117e-10	7.529826947025403e-11	2.2204460492503131e-16	257	482
P00_plus_L-1	P00	plus	-1	0.059999999999999998	0.02	0.040000000000000001	0	0.00036235783207844543	0.00037806038234141281	0.24653448923386279	0.043172769313191806	0.06080189380653668	2.7755575615628914e-16	6.6613381477509392e-16	2.2204460492503131e-16	2.2204460492503131e-16	5.5727991665754928e-16	8.8817841970012523e-16	1.214306433183765e-17	1.640223443177824e-10	3.6836120567847298e-11	3.3306690738754696e-16	257	482
P00_plus_L0	P00	plus	0	0.059999999999999998	0.02	0.040000000000000001	0	0.00034679350192598631	0.00036184419672676997	0.24721371322503782	0.043163079994046338	0.059949093359325752	2.2204460492503131e-16	2.2204460492503131e-16	2.2204460492503131e-16	2.2204460492503131e-16	8.0642279963114016e-16	4.4408920985006262e-16	6.5052130349130266e-18	6.6914723761968276e-11	1.6283266921954566e-11	3.3306690738754696e-16	257	482
P00_plus_L0.5	P00	plus	0.5	0.059999999999999998	0.02	0.040000000000000001	0	0.00033929801995083659	0.0003540311889029884	0.24756692164541175	0.043158342084139933	0.059508549558701385	2.2204460492503131e-16	4.4408920985006262e-16	2.2204460492503131e-16	4.4408920985006262e-16	3.4752745386307238e-16	6.6613381477509392e-16	1.0408340855860843e-17	7.4958400597679997e-11	1.2089739930313427e-11	4.4408920985006262e-16	257	482
P00_plus_L1	P00	plus	1	0.059999999999999998	0.02	0.040000000000000001	0	0.000331987516505614	0.00034640865412133266	0.24792927199935802	0.043153674005406817	0.059058570652190848	3.0531133177191805e-16	4.4408920985006262e-16	4.4408920985006262e-16	4.4408920985006262e-16	2.0928354535487692e-15	6.6613381477509392e-16	8.6736173798840355e-18	1.0295500563195503e-10	1.1632205553389708e-11	4.4408920985006262e-16	257	482
P00_plus_L2	P00	plus	2	0.059999999999999998	0.02	0.040000000000000001	0	0.00031790365624108081	0.00033171689695843555	0.24868162918275191	0.043144543386511081	0.05813031185751897	1.2490009027033011e-16	8.8817841970012523e-16	2.2204460492503131e-16	2.2204460492503131e-16	3.5534726203212408e-16	5.5511151231257827e-16	8.6736173798840355e-18	2.0854031002048856e-10	2.1018741197118609e-11	3.3306690738754696e-16	257	482
P00_minus_L-2	P00	minus	-2	0.059999999999999998	0.02	0.040000000000000001	0	0.00016557276449080205	0.00016251144641506274	0.24662823211087292	0.019306005356152012	0.089109625943111989	2.2204460492503131e-16	4.4408920985006262e-16	2.2204460492503131e-16	1.1102230246251565e-16	5.0773187737496173e-16	6.6613381477509392e-16	6.9388939039072284e-18	3.1512292775204287e-10	7.3603619895940878e-11	2.2204460492503131e-16	257	482
P00_minus_L-1	P00	minus	-1	0.059999999999999998	0.02	0.040000000000000001	0	0.00016875397288630667	0.00016563580887268619	0.24696214984125991	0.019304038120987244	0.089480608054105418	1.1102230246251565e-16	8.8817841970012523e-16	1.1102230246251565e-16	2.2204460492503131e-16	2.9005118619418457e-16	1.1102230246251565e-15	6.9388939039072284e-18	1.7520576656160358e-10	4.1930031022901015e-11	2.2204460492503131e-16	257	482
P00_minus_L0	P00	minus	0	0.059999999999999998	0.02	0.040000000000000001	0	0.00017200234578754119	0.00016882647909248315	0.24730273009364784	0.019302044243555194	0.089856561521021699	4.9960036108132044e-16	1.9428902930940239e-16	0	1.1102230246251565e-16	3.4716153562985852e-16	8.8817841970012523e-16	3.4694469519536142e-18	6.23869012006395e-11	1.4553775328454621e-11	5.5511151231257827e-16	257	482
P00_minus_L0.5	P00	minus	0.5	0.059999999999999998	0.02	0.040000000000000001	0	0.00017365215487870215	0.00017044711286740721	0.2474755104193776	0.019301037227207551	0.090046376619774229	3.3306690738754696e-16	4.4408920985006262e-16	2.2204460492503131e-16	2.2204460492503131e-16	5.3616507934839408e-16	1.4432899320127035e-15	4.3368086899420177e-18	1.6091579457810923e-11	2.4829523904493309e-12	4.4408920985006262e-16	257	482
