path	role	use	size_bytes	sha256
udt_premise_reset_audit_2026-07-19/POST_PREREG_C_G_SCALE_CLARIFICATION.md	OWNER_CLARIFICATION	observed c and G introduce calibrated post-scale units	1654	707566dc58acb9d71310fb7440d64ce14c700c8bc3cee9dd482854128eae646a
UDT_NATIVE_ACTION_COLD_PACKET.md	FOUNDATION	frozen C0/C1 premise ledger	13221	d38232792ac78188687db433a3f60a08c775c46e9ecf5fc42ad7953dc89fadb0
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	FOUNDATION	reciprocal-c derivation and assumption ledger	11418	b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003
CANON.md	AUTHORITY_CONFLICT_SOURCE	finite-cell phi fold and WR-L historical statements; unchanged	35011	5d99c0ba09fcee0429a34ac6b3dda4faff489b7d214b622fcbd286deb3785314
angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md	PACKAGE_REPORT	angular toric closure	16110	4e1178a7993a6f3f3e94713df27d0ab8c140b96ef613c5fa09099af72941cb8b
bootstrap_csn_phi_angular_selector_2026-07-19/AUDIT_REPORT.md	PACKAGE_REPORT	bootstrap CSN selector	11250	9192fca92619508d9b14601a0e96d1ffdc0064893ea2c9e4f64609b3777b2fe0
copresence_causal_accessibility_selector_2026-07-19/DERIVATION_REPORT.md	PACKAGE_REPORT	co-presence causal accessibility	13052	5f3d9472388e9012af2b63d548bfbf91808a800b016d6c8e31be85dea6c2e2f0
copresence_gr_constraint_regrade_2026-07-19/DERIVATION_REPORT.md	PACKAGE_REPORT	GR constraint regrade	12695	060e76be7ffe18f43752f5d228fa341715c830edd0da25ee03c10279b9af49b5
metric_cartan_holonomy_audit_2026-07-19/AUDIT_REPORT.md	PACKAGE_REPORT	Cartan holonomy	12057	ce76d6236b78a2c70fb47c17740ea07949d5845b2065683905dc3218a3a0fbbc
native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	PACKAGE_REPORT	native Hopfion topology	10290	df0171eb83d75ad175727a8db541df8500b7826edf6059ae63a52f1a1ba15bea
null_section_hopfion_metric_audit_2026-07-19/AUDIT_REPORT.md	PACKAGE_REPORT	null-section Hopf bridge	16135	af15bf24f994ae43f6d0e54e07b83d83e977aed9fbe88462f582edec89cef618
projective_position_direction_magnitude_correction_2026-07-19/AUDIT_REPORT.md	PACKAGE_REPORT	direction magnitude correction	9471	7a3eb776ebbc4aafb692a142a503a19fd723f0436b384292888ddcfbcc67de21
projective_position_join_audit_2026-07-19/AUDIT_REPORT.md	PACKAGE_REPORT	projective position join	10931	8db9b5063ff3109f8c332644052b72e630e0268bc4693191300527bd731601f1
projective_transport_section_selector_2026-07-19/AUDIT_REPORT.md	PACKAGE_REPORT	transport section selector	18923	e111efd8413a7289279bf868cd0fc79359a4378160815597d94388876d53508f
reciprocal_c_clock_channel_correction_2026-07-19/AUDIT_REPORT.md	PACKAGE_REPORT	reciprocal-c clock correction	6892	57de584c7429fce9b8e352fc6bb7fc0cce552c384ca425d45ee581ae378d3b80
reciprocal_clock_optical_scale_selector_2026-07-19/DERIVATION_REPORT.md	PACKAGE_REPORT	clock optical scale	9936	ffa24eddfe76eee0ff1b11f463c300f844ebccd82188d85da55c73da467375a3
reciprocal_metric_null_line_selector_2026-07-19/AUDIT_REPORT.md	PACKAGE_REPORT	null-line selector	11290	12b6b33c51dcd0ad838cfe8e664cd46eb975358e305b6b713fed4df12d4a4d71
rung2_weld_postjuly_regrade_2026-07-19/AUDIT_REPORT.md	PACKAGE_REPORT	rung2 provenance regrade	11283	9046a0f9a5884cdd0a0394105d4b8228260aa5890a7278297998f82ba89e0106
transverse_reciprocal_realization_selector_2026-07-19/AUDIT_REPORT.md	PACKAGE_REPORT	transverse realization	19493	567994f42ecf608b4d5015d46cb6746067f24d29219a1c5ac9c460c8fd156745
xmax_accelerating_finite_cell_cartan_2026-07-19/AUDIT_REPORT.md	PACKAGE_REPORT	accelerating Xmax Cartan	12603	bfcaaa7bfa0b9455c32f39ebbed38f8f166c097fd375e4c265f956e5df6799e8
xmax_dynamic_observer_frame_2026-07-19/AUDIT_REPORT.md	PACKAGE_REPORT	dynamic Xmax frame	12094	3c23d222c94fc2bd219d188803bfd2174d38cb88809a273d0a303351267d0d2c
xmax_full_frame_realization_2026-07-19/AUDIT_REPORT.md	PACKAGE_REPORT	full Xmax frame	13667	01b4e7e4c1c2fabd983a98e227073d7b57e9df46816938ed2440ad714f2275d4
xmax_reciprocity_audit_2026-07-19/AUDIT_REPORT.md	PACKAGE_REPORT	Xmax reciprocity	15556	6dd717ced43a713f68817d442e5130f438195c980b505d93bd8aedd32f481186
LIVE.md	CURRENT_CONTROL	top current state	58970	4224cef4f52eb09bd5f0570c284239f146450b7f253ebeb0fbf55b4b6c10aefb
HANDOFF.md	CURRENT_CONTROL	current handoff	19221	663d692b9e91bfb08a8019fe80bbc4abe1d94ab917caf06b351fec0864d3f271
INDEX.md	CURRENT_CONTROL	startup index	13258	97612d269bd72431c1cb5190e15458c3d04a0747a4f9d9c0e062b9a71e93a73c
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	CURRENT_CONTROL	scientific frontier	16783	3d70a81dc55708b37e159a7c10b2ef2833301c6a010fec7427330740eaf6c0ec
