package	manifest_sha256	manifest_entries	introducing_commit
angular_toric_closure_selector_2026-07-19	64d664a76a28c170cdc293626cd6a5011755ee4eeaa414a303ace7b6eec9ec50	18	d8b964d7e383b9e68c76a060e3ed98e4336cc994
bootstrap_csn_phi_angular_selector_2026-07-19	1a48e574835ee3838514294a7badd2415a74cdb0d10cf0545c30d3698ab022d2	20	4e5b0ba413d83d9c69c972a11517e42b18b52005
copresence_causal_accessibility_selector_2026-07-19	14e13dd27aa7036a6fef7db9208681459b86c06186bfffc7990ee877947d8356	16	22b7f08303d2b086bfa77f6d30938bd852614adf
copresence_gr_constraint_regrade_2026-07-19	022f3c97916e38f29260812c14ad0136574d1908c70aabc7d4e56ae99d78f7bc	19	bf935ed89d6f0209b4a6eda4b8c4f4469c1b5f35
metric_cartan_holonomy_audit_2026-07-19	0e630938c516a0e70cfdb97924ebd6501bd4a97223909b038a22c341a653f1f7	20	98a7c31995c5b8a7ed3f13f4c8477a7b2c6b5001
native_hopfion_topology_audit_2026-07-19	6f03f82d485d4a20c2d2bfc13dc8979c1b229bf92c53f0eb36831abf3d75febc	14	737c05da096583af163646f6b463e13e0b56bf54
null_section_hopfion_metric_audit_2026-07-19	e195d14349407c23e4a050628ec84298d3d35e23e2c25b5cf285a5c81f8e989b	16	3588962d69d64c4f3de232b59d3fec50ae828fca
projective_position_direction_magnitude_correction_2026-07-19	377eaa791ab93845f50c19d6eb30dadb0b10322ac0cbe405db55ca0a37ad3dfb	19	b3777f5d205e0e8cbb44af8e272215918578518b
projective_position_join_audit_2026-07-19	bde786c168a2bf552a9720afa66a3615e66c0d63ffcfb78af680c88813198a84	19	8beb1c591a440726bd717bbabec6d53ea5cb1641
projective_transport_section_selector_2026-07-19	32e523d44142cd36904a66f385890c5c417d9b827d0ac3cf956bdb48a838004b	18	9a357c525a31c6f4066e929b8f798f09773c4358
reciprocal_c_clock_channel_correction_2026-07-19	ac38f2b58cf41e0965950ddceb615e8b1edda6f419cecf282c0a98a55f58ce85	19	3812d6a5cb823ec1a06ba3973cc8f7e6f19520aa
reciprocal_clock_optical_scale_selector_2026-07-19	d4ce35881bfd79952083da84bd5bd7f80b6d21b0e69d698059e1695c6f90ba6d	14	a1a2fd15b362931feb815289318efa74bdec15b3
reciprocal_metric_null_line_selector_2026-07-19	01ed5557bb94a1df99209d37b1eb5e4eefae4486978be34ab09dafb73aeac17b	18	9fc890a5074f016917272b1b37b3681cedff2d53
rung2_weld_postjuly_regrade_2026-07-19	5121270039c91c654bcd9bb5667cb06c31a5b91dec3747ddf015df0129081812	20	70f74fa4d6f42dcecd96bdd07e34fd0d20c2c6a6
transverse_reciprocal_realization_selector_2026-07-19	9c074cc83b0815607c1a4a36f8dffeac09bf79c9d0f5aee74a356b21e87bf470	18	5becdc107317802cff8aec44948969a317356204
xmax_accelerating_finite_cell_cartan_2026-07-19	c36c5b9e58c4305c91dd52ccbcae42cbd77548f0d4d10d36eda85529e6eb754f	19	c5e8c2f688ab84e596fab4b269d2f3e64929dbef
xmax_dynamic_observer_frame_2026-07-19	dfd3c1b7497ee0b24e82e4277afe700ae17629f1912dfa39bcfa15db501f34db	19	c6f241f144c35f02ff849bd5d0978bfbaf0b32fd
xmax_full_frame_realization_2026-07-19	9b986d647b56283ba20dd25d4ae118bc42e775912656da70ef6237f1fbc83b5d	20	c8fc885c5ec2f3be4678fe363dadc11f467368fb
xmax_reciprocity_audit_2026-07-19	9b1dbd9a38176f9cc4996771485b3d459d83b425e64cd3ac63454350914c2fb3	20	18832542199cd3613fd930e0562dbf69d7f5c6a9
