id	symbol_or_object	owner_meaning	audit_status	not_implied	open_detail
O01	c_E	Finite Einsteinian c measured at terrestrial and solar scales; ordinary clock-length baseline	OWNER_LOCKED_FOR_AUDIT	Not an infinite speed and not by itself a varying local scalar	Relation between baseline and extreme-scale effective coordinate/readout speed
O02	c_effective	Any extreme-scale apparent departure is a metric dilation/readout effect	OWNER_DIRECTION_WORKING	Does not change O01 or authorize superluminal signalling	Operational definition and material propagation law
O03	phi(p)	Signed dilation field belonging to a location	OWNER_LOCKED_FOR_AUDIT	Negative phi is not negative distance	Absolute normalization branch dependence and field equation
O04	distance	Physical separation or path length is nonnegative	OWNER_LOCKED_FOR_AUDIT	Does not force phi nonnegative and does not equal an oriented coordinate	Complete radial-angular metric path and representative
O05	observer_comparison	An ordered comparison may be signed and reverses when the observer order reverses	OWNER_LOCKED_FOR_AUDIT	Not physical negative distance and not merely looking in another angular direction	Exact comparison map from local phi values
O06	X_max	One global limit shared by all observational frames of a completed universe	OWNER_LOCKED_FOR_AUDIT	Not object-specific locally fitted locally varying or a freely chosen numerical ceiling	Proof of frame-shared scalar character from complete closure
O07	X_max_origin	Derived output of the metric with observational anchors c_E and G_obs and possibly global mass density	OWNER_LOCKED_DERIVATION_TARGET	No formula coefficient normalization or value is supplied	Exact functional and independent closure equations
O08	rho_tot	Total universe mass divided by total proper universe volume	OWNER_LOCKED_FOR_AUDIT	Not a local source and not a separately normalized density variable	Mass ledger volume slice and time-live definition
O09	local_density_effects	Depend on unresolved native mass emergence/source coupling	OPEN	Cannot be imported from global rho_tot or standard matter equations	Native source coupling and local response
O10	finite_cell_structure	The universe has finite global closure and no spatial infinity	CANONICAL_STRUCTURE_RETAINED	Does not numerically supply X_max or every boundary datum	Relation between global closure matter cells and observational frames
O11	boundary_origin	Expected to arise as an asymptotic limit of time and mass dilation	OWNER_WORKING_BELIEF	Past examples are not automatically current derivations	Exact metric limit regularity mass behavior and branch
O12	phi_at_boundary	Signed local phi may approach a branch-dependent asymptote while earlier seal conventions also set phi=0 on a fold	OPEN_CONFLICT	The fold seal and X_max endpoint cannot be silently identified or separated	Reconcile C-2026-07-02-1 C-2026-07-09-1 and current owner meaning
O13	metric_status	The metric is the theory; derived geometry precedes imported dynamics	BINDING_METHOD	A curvature identity is not an equation of motion	Complete action variation source and boundary completion
O14	G_obs	Measured G is accepted as an observational gravitational anchor	OWNER_LOCKED_FOR_AUDIT	Does not select EH an action a source law or a boundary formula	Native placement and relation to the scale-selected metric
O15	scale_layers	UDT is scale-free at its pre-scale core while accepted c_E and G_obs introduce scale in the calibrated observational layer	OWNER_LOCKED_FOR_AUDIT	Neither layer erases the other and observational calibration is not action selection	Bootstrap map between pre-scale class and physical representative
