id	object	source_a	source_a_position	source_b	source_b_position	current_ruling	audit_effect
C01	phi role	UDT_NATIVE_ACTION_COLD_PACKET.md sections 1.1 and 2	Relative additive depth and comparisons depend on differences	CANON.md C-2026-07-02-1 and owner O03	Absolute signed local field can be physically normalized in a branch	Do not identify local phi with ordered comparison; derive their map	All frame and observer-comparison claims require role audit
C02	phi sign	projective_position_direction_magnitude_correction_2026-07-19	Replaced signed comparison by nonnegative rho for physical depth	owner O03 and O04	Phi may be negative while distance is nonnegative	Nonnegative distance does not imply nonnegative phi	Universal exp(-rho) clock interpretation requires rerun
C03	clock baseline	reciprocal_c_clock_channel_correction_2026-07-19	Named c inverse as clock channel but tied local response to exp(-rho)	owner O01 O02 O03	c_E is ordinary baseline and local phi may have either sign	Retain reciprocal-c anchor; withdraw universal nonnegative-rho field identification	Clock-channel algebra survives more narrowly than its physical reading
C04	X_max status	UDT_NATIVE_ACTION_COLD_PACKET.md section 5	Universal unattainable X_max is WORKING/POSIT and derivation target F(c M_total G)	owner O06 O07	One global frame-shared output derived from metric c_E and possibly density	Use X_max only as a symbolic output after closure; no specific F is accepted	Xmax frame packages lose inherited physical authority
C05	X versus X_max	CANON.md C-2026-07-09-1	WR-L conditionally selects A=1-r/X while absolute X remains free	owner O06 O07	X_max is the global completed-universe limit	Do not equate historical X and global X_max without lineage proof	Past asymptotic examples are leads for boundary audit
C06	boundary value	CANON.md C-2026-07-02-1	CMB fold convention sets phi=0 at the fold	CANON.md C-2026-07-09-1 and owner O11	A tends to zero at r=X in WR-L and boundary is expected as asymptotic dilation	Unresolved whether these are distinct surfaces coordinates branches or inconsistent claims	Seal-endpoint conclusions are review required
C07	boundary logical role	finite-cell packages	Often treat limited seal data as supplied boundary input	owner O11	Numerical X_max and boundary should emerge as an asymptotic metric limit	Retain structural finiteness but do not treat numerical location as an input	Boundary-dependent physical interpretations require rerun
C08	density role	UDT_NATIVE_ACTION_COLD_PACKET.md section 6	Global total-proper-density window after complete solution	owner O08 O09	M_total divided by proper volume; local effects tied to unresolved mass emergence	Consistent globally; block every local-source inference	No current X_max formula may use a derived local density law
C09	observer frame	xmax_full_frame_realization_2026-07-19 and descendants	Shift phi by beta and hold symbolic X_max fixed in a conditional frame orbit	owner O03 O06 O07	Phi is local field; X_max is a shared output	The pullback algebra is valid but physical observer interpretation is withdrawn	Full dynamic and accelerating frame chain is not current UDT physics
C10	verification meaning	all prior evidence packages	Exact scripts and independent checks verify the declared models	current premise reset	Verification does not validate variable meaning under a corrected owner ledger	Preserve packages byte-identically and regrade interpretation claim by claim	No manifest pass grants inherited scientific trust
C11	finite c versus infinite substrate	copresence and reciprocal-clock packages	Audited speculative infinite foundational speed and metric c0 readings	owner O01	The operative c in current audit is finite measured Einsteinian c_E	Infinite substrate is not a current premise	Relabel conditional optical formulas to c_E baseline
C12	mass dilation boundary	past finite-cell and WR-L examples	Contain conditional asymptotic time/ruler/curvature behavior	owner O11	Boundary likely comes from asymptotic time and mass dilation	No current package derives native mass emergence at that limit	Boundary-mass join remains open despite geometric leads
C13	observational G and scale	UDT_NATIVE_ACTION_COLD_PACKET.md sections 1.3 and 5	Pre-scale packet supplied no primitive gravitational normalization and treated G-like normalization as emergent	post-prereg owner O14 O15	Measured G and measured c_E are accepted observational anchors that introduce calibrated scale	Retain scale-free core but accept c_E and G_obs at the physical observational layer	Observed G does not select action source boundary or X_max formula
