id	package	claim	existing_status	math_replay_status	corrected_semantic_dependency	regrade	next_gate
L01	angular_toric_closure_selector_2026-07-19	Primitive toric cap determinants classify S3 and lens alternatives	DERIVED_WITHIN_TORIC_CLASS	RETAIN	Supplied torus action periods and caps	SURVIVES_CONDITIONAL_RELABELED	Derive physical transverse periodic realization
L02	angular_toric_closure_selector_2026-07-19	UDT currently selects S3 and a free Hopf action	TWO_STAGE_OPEN_GATE_CHAIN	RETAIN_NEGATIVE	No owner meaning supplies spatial torus or cap completion	SURVIVES_CONDITIONAL_RELABELED	Angular realization then asymptotic boundary completion
L03	bootstrap_csn_phi_angular_selector_2026-07-19	CSN trace identity does not force phi or angular Euler projections	DERIVED_EXACT	RETAIN	Signed local phi and independent angular tangent	SURVIVES_INDEPENDENT	Complete action and variation domain
L04	bootstrap_csn_phi_angular_selector_2026-07-19	Current bootstrap forces null dphi or one repeated direction	NOT_DERIVED	RETAIN_NEGATIVE	Global admissibility is not a supplied local operator	SURVIVES_CONDITIONAL_RELABELED	Explicit bootstrap-to-local map
L05	copresence_causal_accessibility_selector_2026-07-19	Positive CSN preserves metric causal classes	DERIVED	RETAIN	Finite c_E baseline and conditional Lorentzian readout	SURVIVES_INDEPENDENT	Material response theorem
L06	copresence_causal_accessibility_selector_2026-07-19	Static reciprocal optical slope is c_E N squared when NB=1	CONDITIONAL	RETAIN	c_E is the ordinary baseline; N and B are metric readouts	SURVIVES_CONDITIONAL_RELABELED	Operational endpoint and detector coupling
L07	copresence_causal_accessibility_selector_2026-07-19	Co-presence gives instantaneous physical signalling	REJECTED_AS_INFERENCE	RETAIN_NEGATIVE	Whole-solution membership is not response dynamics	SURVIVES_INDEPENDENT	Native source coupling and well-posed response
L08	copresence_gr_constraint_regrade_2026-07-19	Multiplier and finite-penalty algebra	RETAINED	RETAIN	No disputed semantic dependency	SURVIVES_INDEPENDENT	None for algebra
L09	copresence_gr_constraint_regrade_2026-07-19	Standalone ADM constraints are native UDT laws	REJECTED_AS_INFERENCE	RETAIN_NEGATIVE	No native parent equation or foliation	SURVIVES_INDEPENDENT	Derive parent UDT equation first
L10	metric_cartan_holonomy_audit_2026-07-19	Levi-Civita Cartan connection and curvature follow from a supplied representative	DERIVED_PER_REPRESENTATIVE	RETAIN	Representative remains conditional	SURVIVES_CONDITIONAL_RELABELED	Physical representative selection
L11	metric_cartan_holonomy_audit_2026-07-19	Cartan identities select dynamics holonomy or matter	NOT_DERIVED	RETAIN_NEGATIVE	Identities hold for every representative	SURVIVES_INDEPENDENT	Global admissibility variation and boundary law
L12	native_hopfion_topology_audit_2026-07-19	Existing active implementation is full-3D Hopf-capable	FULL_3D_HOPF_CAPABLE	RETAIN	Independent of phi distance and X_max semantics	SURVIVES_INDEPENDENT	None for representation claim
L13	native_hopfion_topology_audit_2026-07-19	Static no-null stability is settled within carrier finite-box premises	SETTLED_STATIC_FINITE_BOX_CONDITIONAL	RETAIN	Round S2 L2+L4 box boundary and static premises	SURVIVES_CONDITIONAL_RELABELED	Native carrier and time-live completion
L14	null_section_hopfion_metric_audit_2026-07-19	Hopf-coordinate orbit block exactly matches reciprocal exponentials	EXACT_ALGEBRAIC_MATCH	RETAIN	Signed phi is a coordinate on a supplied Hopf completion	SURVIVES_CONDITIONAL_RELABELED	Derive physical spatial slots and topology
L15	null_section_hopfion_metric_audit_2026-07-19	This match derives the carrier and action	OPEN	RETAIN_NEGATIVE	No section configuration space variation or source	SURVIVES_CONDITIONAL_RELABELED	Native soldering and action
L16	projective_position_direction_magnitude_correction_2026-07-19	Signed ordered comparison is not negative physical distance	WITHDRAWN_CATEGORY_ERROR_FOR_DISTANCE	RETAIN	O03-O05 separate field comparison and distance	SURVIVES_INDEPENDENT	Derive metric distance
L17	projective_position_direction_magnitude_correction_2026-07-19	Physical clock factor universally equals exp(-abs(Phi(P)-Phi(O)))	CONDITIONAL_IN_CHOSEN_SLOT	NOT_CERTIFIED	Signed local phi and clock comparison map are distinct	CONTAMINATED_RERUN_REQUIRED	Derive observer clock comparison from metric worldlines
L18	projective_position_join_audit_2026-07-19	Three anchors uniquely select tanh inside first-degree projective charts	DERIVED_CONDITIONAL	RETAIN	Mathematical chart-class theorem only	SURVIVES_CONDITIONAL_RELABELED	None for bounded theorem
L19	projective_position_join_audit_2026-07-19	Relative depth is Phi(P)-Phi(O) and generically separates seal from Xmax endpoint	DERIVED_CONDITIONAL_IN_SHARED_STATIC_REPRESENTATION	NOT_CERTIFIED	O03 O06 O11 O12 require a field/comparison/boundary map	CONTAMINATED_RERUN_REQUIRED	Boundary-lineage and absolute-relative field audit
L20	projective_transport_section_selector_2026-07-19	Conformal metric propagates each chosen null ray projectively	PROPAGATION_DERIVED_CONDITIONAL	RETAIN	Conditional Lorentzian conformal structure	SURVIVES_CONDITIONAL_RELABELED	Material characteristic law
L21	projective_transport_section_selector_2026-07-19	Transport chooses the initial section	NO_SELECTION	RETAIN_NEGATIVE	Transport requires a seed and does not rank fibers	SURVIVES_INDEPENDENT	Native section selector
L22	reciprocal_c_clock_channel_correction_2026-07-19	c_E and its inverse are the founding two-way clock-length conversion anchor	FOUNDING_OWNER_CLARIFIED	RETAIN	O01 fixes c_E as ordinary finite baseline	SURVIVES_INDEPENDENT	Clarify metric readout at extremes
L23	reciprocal_c_clock_channel_correction_2026-07-19	Reciprocal exponential characters compose and sech summaries do not	DERIVED_CONDITIONAL	RETAIN	Applies to signed additive representation coordinate	SURVIVES_CONDITIONAL_RELABELED	Map representation coordinate to local field and observer comparison
L24	reciprocal_c_clock_channel_correction_2026-07-19	The physical clock is always the exp(-rho) slowing branch for nonnegative depth	NOT_OPEN_IN_DECLARED_BRANCH	NOT_CERTIFIED	O03 permits signed local phi and O04 only constrains distance	CONTAMINATED_RERUN_REQUIRED	Worldline proper-clock derivation with signed phi
L25	reciprocal_clock_optical_scale_selector_2026-07-19	Static null slope is c_E N/B and normalized local null speed is c_E	DERIVED_CONDITIONAL	RETAIN	Finite c_E baseline plus declared static metric	SURVIVES_CONDITIONAL_RELABELED	Operational matter propagation law
