package	primary_regrade	exact_computation_status	physical_interpretation_status	controlling_reason	required_action
angular_toric_closure_selector_2026-07-19	SURVIVES_CONDITIONAL_RELABELED	Exact toric determinant cap and free-action classification retained	Conditional compatibility only	Uses signed phi appropriately but supplied spatial torus cap and topology premises remain unselected	No rerun until physical angular realization exists
bootstrap_csn_phi_angular_selector_2026-07-19	SURVIVES_CONDITIONAL_RELABELED	Tangent rank Noether identity and conditional counterwitnesses retained	No native selector remains the supported conclusion	Treats phi as signed scalar and does not require fixed X_max	Retain bounded negative result under exact action/source caveats
copresence_causal_accessibility_selector_2026-07-19	SURVIVES_CONDITIONAL_RELABELED	Conformal causal and static optical identities retained	Use c_E as ordinary baseline; material signalling remains open	Independent of projective distance and numerical X_max	Relabel c0 semantics only; no formula rewrite
copresence_gr_constraint_regrade_2026-07-19	SURVIVES_INDEPENDENT	Multiplier projection and Noether counterexamples retained	Prior refusal to import GR constraints remains valid	Generic variation algebra does not depend on disputed phi or X_max meanings	No rerun required
metric_cartan_holonomy_audit_2026-07-19	SURVIVES_CONDITIONAL_RELABELED	Per-representative Cartan curvature and countertiles retained	No holonomy matter or action selector follows	Metric identities are independent; global interpretation remains conditional	Retain as geometry toolbox not frontier closure
native_hopfion_topology_audit_2026-07-19	SURVIVES_CONDITIONAL_RELABELED	Full-3D code topology and conditional stability status retained	Carrier emergence remains open	Particle computation does not depend on X_max frame algebra; metric bridge does	Keep carrier and finite-box premise stamps
null_section_hopfion_metric_audit_2026-07-19	SURVIVES_CONDITIONAL_RELABELED	Exact Hopf-coordinate reciprocal block and unit-class witness retained	Physical angular slots section action and boundary remain open	Signed phi from minus to plus infinity is compatible with O03; global identification is conditional	No carrier promotion
projective_position_direction_magnitude_correction_2026-07-19	CONTAMINATED_RERUN_REQUIRED	Ordered-arrow versus nonnegative-distance distinction retained	Universal nonnegative-rho clock reading withdrawn	Correctly rejected negative distance but then risked replacing signed local phi by rho	Rederive local clock and comparison maps from O01-O05
projective_position_join_audit_2026-07-19	CONTAMINATED_RERUN_REQUIRED	Projective chart uniqueness and smooth counterfamilies retained	Absolute-relative field and seal-endpoint conclusions require reset	X_max is output and phi roles plus boundary surfaces are unresolved	Rerun only after boundary lineage audit
projective_transport_section_selector_2026-07-19	SURVIVES_CONDITIONAL_RELABELED	Conformal null transport and causal-stratum census retained	No section selector remains supported	Already treats phi causal strata separately and does not depend on fixed X_max	No rerun until a physical section is derived
reciprocal_c_clock_channel_correction_2026-07-19	CONTAMINATED_RERUN_REQUIRED	Reciprocal-c anchor character algebra and sech noncharacter witnesses retained	Exp(-rho) as universal local field response withdrawn	Conflated nonnegative separation depth with signed local phi	Rederive channel-to-local-clock map using c_E and phi(p)
reciprocal_clock_optical_scale_selector_2026-07-19	SURVIVES_CONDITIONAL_RELABELED	Static lapse-ruler-redshift-optical identities retained	c_E is baseline and scale/mass interpretations remain conditional	Does not derive X_max and already rejects invariant varying local c	Relabel and retain bounded static formulas
reciprocal_metric_null_line_selector_2026-07-19	SURVIVES_CONDITIONAL_RELABELED	Signed-phi gradient norm Petrov classifications and counterfamily retained	No unique null line remains supported	Directly treats phi as signed local field with open angular sector	No rerun required for bounded metric algebra
rung2_weld_postjuly_regrade_2026-07-19	SURVIVES_INDEPENDENT	Historical provenance reconstruction and exact conditional equations retained	No current native weld remains supported	Its conclusion is precisely that metric coupling is not a field equation	No rerun required
transverse_reciprocal_realization_selector_2026-07-19	SURVIVES_CONDITIONAL_RELABELED	Equivariance globality and representation countermodels retained	No physical transverse realization is selected	Independent of numerical X_max and compatible with signed phi	No rerun until soldering law exists
xmax_accelerating_finite_cell_cartan_2026-07-19	ALGEBRA_VALID_PHYSICS_WITHDRAWN	Cartan curvature of the declared pullback representative retained	Accelerating reciprocal frame interpretation withdrawn	Downstream of unestablished phi-shift observer frame and input-like X_max use	May be reused only after clean frame derivation
xmax_dynamic_observer_frame_2026-07-19	ALGEBRA_VALID_PHYSICS_WITHDRAWN	Time-dependent pullback cross terms and curvature cancellation retained	Moving-observer mechanics not established	Treats local phi shift as observer recentering before role map is derived	Rerun after local-field versus comparison distinction closes
xmax_full_frame_realization_2026-07-19	ALGEBRA_VALID_PHYSICS_WITHDRAWN	Homothety and projective coordinate algebra retained	Full UDT observer-frame claim withdrawn	Uses relational phi translation and symbolic X_max before deriving their physical join	Return to conditional math only
xmax_reciprocity_audit_2026-07-19	ALGEBRA_VALID_PHYSICS_WITHDRAWN	Fractional-linear group and multiplicative character retained	Xmax reciprocity is not current physical UDT	Started with X_max and metric-phi join as working inputs rather than global outputs	Retain countermodel and group math; withdraw frame principle
