id	source_object	role	nonidentity_on_independently_assigned_data	rejects_registered_metric_family	selects_T_values	reason
I01	Levi_Civita_metricity_and_torsion_free	metric_connection_identity	NO	NO	NO	every_smooth_regular_gT_has_one_unique_Levi_Civita_connection
I02	G225_screen_carry	gauge_and_holonomy_carry	YES	NO	NO	constrains_lawful_screen_comparison_but_not_tidal_matrix_values
I03	G227_common_algebraic_curvature	cross_direction_curvature_compatibility	YES	NO	NO	explicit_gT_supplies_one_common_algebraic_curvature_for_every_T
I04	G228_differential_Bianchi_tile	neighbor_direction_first_variation_compatibility	YES	NO	NO	explicit_smooth_gT_satisfies_Bianchi_for_arbitrary_T_and_Tprime
I05	G231_Cartan_exterior_closure	regional_realization_compatibility	YES	NO	NO	integrates_compatible_classifying_data_without_generating_their_values
I06	Ricci_commutator	connection_curvature_identity	YES	NO	NO	holds_for_the_Levi_Civita_connection_of_every_registered_gT
I07	Jacobi_generator_and_transfer	geometric_evaluator_and_propagator	YES	NO	NO	arbitrary_symmetric_T_gives_a_Hamiltonian_generator_and_symplectic_transfer
I08	G274_frame_network_descent	composition_reversal_overlap_carry	YES	NO	NO	fundamental_interval_transfers_compose_for_every_regular_T
I09	G262_primary_one_lapse_hierarchy	arbitrary_profile_metric_interlock	NO	NO	NO	identities_rewrite_each_supplied_positive_lapse_and_its_derivatives
I10	G271_first_jet_interlock	local_longitudinal_transverse_split	NO	NO	NO	first_jet_is_fixed_before_T_enters_at_the_metric_second_jet
I11	G282_three_law_homes	minimum_information_type_discriminator	NO	NO	NO	classifies_where_a_future_value_law_may_live_without_supplying_one
