id	object	status	role_in_G283	forbidden_promotion
P01	F1_F3_reciprocal_representation	DERIVED	retained central reciprocal response on supplied depth	neighbor_curvature_value_generator
P02	complete_metric_coframe	CONDITIONAL_CONFIGURATION_ARENA	represents every registered regular witness	physical_history_selector
P03	Levi_Civita_metricity_and_torsion_free	DERIVED_IDENTITY	connection compatibility for supplied metric	dynamics_or_value_law
P04	G225_screen_carry	DERIVED_CONDITIONAL	pointwise screen isometry and holonomy carry	preferred_physical_transport_or_value_selector
P05	G227_common_algebraic_curvature	DERIVED_CONDITIONAL	nonidentity compatibility of independently supplied same_event_tides	numerical_curvature_generator
P06	G228_differential_Bianchi_tile	DERIVED_CONDITIONAL	nonidentity compatibility of independently supplied neighboring_variations	one_ray_value_propagator
P07	G231_Cartan_realization	CONDITIONAL_MATHEMATICAL_BRIDGE	integrates compatible supplied classifying data	physical_composer_or_history_law
P08	G262_primary_one_lapse_hierarchy	DERIVED_CONDITIONAL	primary_spherical_arbitrary_profile_control	profile_value_generator
P09	G271_first_jet_interlock	DERIVED_CONDITIONAL	longitudinal_transverse_first_jet_split	finite_path_curvature_or_area_law
P10	G274_full_frame_carry	DERIVED_CONDITIONAL	path_labelled_composition_and_overlap_descent	path_population_or_value_selector
P11	G282_minimum_information_type	EXTERNALLY_REVIEWED_R1_REPAIR_ACCEPTED	fixed discriminator_and_three_allowed_law_homes	new_law_or_unique_differential_representation
P12	Brinkmann_arbitrary_T_family	MATHEMATICAL_METHOD	generic_complete_metric_witness	physical_history_or_field_equation
P13	vertex_Jacobi_data	CHOSE_QUERY	regular_optical_query	universal_source_or_population
P14	bounded_precaustic_interval	CHOSE_DOMAIN	certification_domain	physical_boundary_or_Xmax
P15	trace_free_control	MATHEMATICAL_CONTROL	tests_residual_function_freedom_under_stronger_subfamily	adopted_GR_vacuum_equation
P16	observational_outcomes	OMITTED	none	fit_calibration_or_selection
P17	field_equation_action_source_matter	OMITTED	none	import_as_native_closure
