id	statement	status	basis	forbidden_upgrade
S01	central_metric_first_jet_connection_and_transport_are_T_independent	DERIVED_BOUNDED	exact_gT_coordinate_calculation	does_not_make_central_relation_a_complete_history
S02	transverse_curvature_equals_arbitrary_symmetric_T_of_u	DERIVED_BOUNDED	exact_metric_two_jet	does_not_select_T_values_or_physical_history
S03	algebraic_and_differential_Bianchi_hold_for_arbitrary_T_and_Tprime	DERIVED_BOUNDED	all_index_symbolic_and_fraction_checks	does_not_turn_Bianchi_into_dynamics
S04	Cartan_and_Ricci_compatibility_hold_for_every_registered_gT	DERIVED_CONDITIONAL	explicit_smooth_metric_and_Levi_Civita_realization	does_not_generate_classifying_values
S05	Jacobi_transfer_is_Hamiltonian_symplectic_and_composable_for_arbitrary_T	DERIVED_BOUNDED	exact_generator_plus_independent_interval_replay	does_not_select_one_transfer_network
S06	tracefree_control_retains_two_arbitrary_functions	DERIVED_BOUNDED	T_equals_plus_cross_matrix	must_not_be_called_adopted_GR_vacuum_law
S07	primary_one_lapse_hierarchy_retains_arbitrary_profile	RETAINED_DERIVED_CONDITIONAL	G262_arbitrary_function_control	does_not_select_phi_or_lapse
S08	owned_identity_rejecting_registered_regular_gT	NOT_FOUND	frozen_12_source_identity_census	must_not_generalize_beyond_frozen_sources
S09	neighboring_relation_curvature_value_law	OPEN	G282_G283_discriminator	must_not_import_familiar_field_equation_by_habit
S10	field_equation_action_source_fit_scale_observation_or_Xmax	NOT_USED	preregistered_omission	must_not_infer_from_negative_landing
S11	external_review_status	REPAIR_ACCEPTED	fresh_gpt54_review_and_repair_only_followup_all_six_commands_pass	must_not_generalize_beyond_bounded_G283_landing
