case	area	flat_area	symplectic_residual	composition_residual	reversal_residual
0	0.20245479133032107	0.20250000000000001	1.776e-15	1.110e-15	1.776e-15
1	0.20335802621866844	0.20250000000000001	6.661e-16	6.439e-15	3.109e-15
2	0.20053130462240598	0.20250000000000001	7.772e-16	3.775e-15	6.217e-15
3	0.20441162863627957	0.20250000000000001	1.776e-15	1.776e-15	1.863e-15
4	0.19923005004365738	0.20250000000000001	1.221e-15	9.992e-16	2.776e-15
5	0.20098028658652314	0.20250000000000001	5.551e-16	1.443e-15	1.669e-15
6	0.19783320508561789	0.20250000000000001	8.882e-16	1.332e-15	1.733e-15
7	0.20246972907051483	0.20250000000000001	3.109e-15	4.219e-15	4.108e-15
8	0.20451336493391392	0.20250000000000001	2.998e-15	1.554e-15	4.552e-15
9	0.20414511938108931	0.20250000000000001	2.887e-15	2.554e-15	2.331e-15
10	0.20011566473118567	0.20250000000000001	4.441e-16	1.221e-15	9.992e-16
11	0.2047667657087881	0.20250000000000001	4.108e-15	1.332e-15	2.665e-15
12	0.20159010118276799	0.20250000000000001	1.332e-15	1.554e-15	2.442e-15
13	0.20100703173116372	0.20250000000000001	3.997e-15	1.332e-15	3.997e-15
14	0.20087288867095651	0.20250000000000001	2.665e-15	1.554e-15	1.998e-15
15	0.20459338013365494	0.20250000000000001	4.108e-15	1.776e-15	3.109e-15
16	0.19856735520574212	0.20250000000000001	1.665e-15	1.998e-15	1.776e-15
17	0.20091361880688216	0.20250000000000001	1.665e-15	6.661e-16	2.665e-15
18	0.19770001585879268	0.20250000000000001	1.998e-15	1.110e-15	2.442e-15
19	0.20039755539006873	0.20250000000000001	1.110e-15	1.887e-15	2.442e-15
20	0.20227172180343164	0.20250000000000001	1.110e-15	2.665e-15	1.776e-15
21	0.19831479083034961	0.20250000000000001	2.220e-16	1.443e-15	2.114e-15
22	0.20764192693086922	0.20250000000000001	4.441e-15	3.109e-15	5.662e-15
23	0.19847911378540761	0.20250000000000001	1.554e-15	1.332e-15	1.797e-15
24	0.20388089576954416	0.20250000000000001	3.331e-15	3.775e-15	2.220e-15
25	0.20297718426172159	0.20250000000000001	1.887e-15	2.442e-15	2.442e-15
26	0.19946342955720145	0.20250000000000001	7.772e-16	6.661e-16	4.108e-15
27	0.20309124970910936	0.20250000000000001	2.665e-15	1.332e-15	3.220e-15
28	0.19737089391274135	0.20250000000000001	5.551e-16	8.882e-16	1.776e-15
29	0.19837669387885662	0.20250000000000001	1.221e-15	1.998e-15	1.554e-15
30	0.19911922619348618	0.20250000000000001	1.998e-15	1.554e-15	3.997e-15
31	0.20930679438353614	0.20250000000000001	3.775e-15	4.663e-15	3.997e-15
32	0.19902239610704661	0.20250000000000001	2.887e-15	1.776e-15	2.220e-15
33	0.20247537463822438	0.20250000000000001	3.220e-15	1.443e-15	2.887e-15
34	0.19829639992380538	0.20250000000000001	8.882e-16	2.109e-15	1.875e-15
35	0.20545482398187034	0.20250000000000001	2.220e-15	1.776e-15	3.442e-15
36	0.20003494719902909	0.20250000000000001	3.664e-15	2.220e-15	3.442e-15
37	0.20507138446572371	0.20250000000000001	6.661e-16	2.220e-15	1.554e-15
38	0.20360009845083452	0.20250000000000001	3.997e-15	2.887e-15	2.554e-15
39	0.20530618351232702	0.20250000000000001	1.443e-15	5.773e-15	2.442e-15
40	0.20092112209507867	0.20250000000000001	2.442e-15	1.776e-15	4.885e-15
41	0.20333509059904689	0.20250000000000001	3.775e-15	1.554e-15	6.439e-15
42	0.20351579279784771	0.20250000000000001	1.776e-15	5.329e-15	2.220e-15
43	0.20021607178675077	0.20250000000000001	2.887e-15	1.332e-15	3.220e-15
44	0.19915097544072177	0.20250000000000001	3.109e-15	2.442e-15	3.331e-15
45	0.20794308970405365	0.20250000000000001	2.665e-15	1.998e-15	4.663e-15
46	0.20282856136311461	0.20250000000000001	1.998e-15	1.665e-15	1.332e-15
47	0.19851849780614669	0.20250000000000001	1.665e-15	1.776e-15	1.795e-15
48	0.20167552822849644	0.20250000000000001	5.551e-16	2.220e-15	3.109e-15
49	0.20388386685436369	0.20250000000000001	1.554e-15	2.220e-15	3.775e-15
50	0.19855515884172795	0.20250000000000001	2.665e-15	1.110e-15	2.665e-15
51	0.20065816924328828	0.20250000000000001	3.331e-15	3.331e-15	2.442e-15
52	0.20206748998093702	0.20250000000000001	7.772e-16	6.661e-16	1.776e-15
53	0.206787751750831	0.20250000000000001	1.887e-15	2.442e-15	2.109e-15
54	0.20631272841864409	0.20250000000000001	3.331e-15	2.109e-15	4.552e-15
55	0.1998702092368389	0.20250000000000001	2.109e-15	1.443e-15	2.554e-15
56	0.20426243126705004	0.20250000000000001	1.887e-15	2.220e-15	3.775e-15
57	0.20169163871425205	0.20250000000000001	3.109e-15	3.109e-15	4.441e-15
58	0.20655407063736095	0.20250000000000001	2.776e-15	3.331e-15	4.552e-15
59	0.20754815518268546	0.20250000000000001	3.775e-15	1.776e-15	3.775e-15
60	0.20281115834538849	0.20250000000000001	3.331e-15	1.998e-15	2.012e-15
61	0.20232684444087706	0.20250000000000001	1.332e-15	6.661e-16	1.300e-15
62	0.19845449412436897	0.20250000000000001	6.661e-16	1.665e-15	1.776e-15
63	0.20900941632489739	0.20250000000000001	3.331e-16	3.775e-15	3.997e-15
