branch_id	stable_identity	pattern_family	measurement_id	object	disposition	ownership_boundary	evidence
R01	FC01_BOUNDARY_BOUNDARY	F01_SCHEMA_ONLY	M01	kappa	INSUFFICIENT_EVIDENCE	SOURCE_EVIDENCE_INCOMPLETE	S03::M01;S11::R01;S15::R01
R01	FC01_BOUNDARY_BOUNDARY	F01_SCHEMA_ONLY	M02	phi	INSUFFICIENT_EVIDENCE	SOURCE_EVIDENCE_INCOMPLETE	S03::M02;S11::R01;S15::R01
R01	FC01_BOUNDARY_BOUNDARY	F01_SCHEMA_ONLY	M03	beta	INSUFFICIENT_EVIDENCE	SOURCE_EVIDENCE_INCOMPLETE	S03::M03;S11::R01;S15::R01
R01	FC01_BOUNDARY_BOUNDARY	F01_SCHEMA_ONLY	M04	U_gamma	INSUFFICIENT_EVIDENCE	SOURCE_EVIDENCE_INCOMPLETE	S03::M04;S11::R01;S15::R01
R01	FC01_BOUNDARY_BOUNDARY	F01_SCHEMA_ONLY	M05	Delta_kappa_Delta_phi_U	INSUFFICIENT_EVIDENCE	SOURCE_EVIDENCE_INCOMPLETE	S03::M05;S11::R01;S15::R01
R01	FC01_BOUNDARY_BOUNDARY	F01_SCHEMA_ONLY	M06	regime_dependent_projection	INSUFFICIENT_EVIDENCE	SOURCE_EVIDENCE_INCOMPLETE	S03::M06;S11::R01;S15::R01
R02	FC02_ONE_CAP_BOUNDARY	F01_SCHEMA_ONLY	M01	kappa	INSUFFICIENT_EVIDENCE	SOURCE_EVIDENCE_INCOMPLETE	S03::M01;S11::R02;S15::R02
R02	FC02_ONE_CAP_BOUNDARY	F01_SCHEMA_ONLY	M02	phi	INSUFFICIENT_EVIDENCE	SOURCE_EVIDENCE_INCOMPLETE	S03::M02;S11::R02;S15::R02
R02	FC02_ONE_CAP_BOUNDARY	F01_SCHEMA_ONLY	M03	beta	INSUFFICIENT_EVIDENCE	SOURCE_EVIDENCE_INCOMPLETE	S03::M03;S11::R02;S15::R02
R02	FC02_ONE_CAP_BOUNDARY	F01_SCHEMA_ONLY	M04	U_gamma	INSUFFICIENT_EVIDENCE	SOURCE_EVIDENCE_INCOMPLETE	S03::M04;S11::R02;S15::R02
R02	FC02_ONE_CAP_BOUNDARY	F01_SCHEMA_ONLY	M05	Delta_kappa_Delta_phi_U	INSUFFICIENT_EVIDENCE	SOURCE_EVIDENCE_INCOMPLETE	S03::M05;S11::R02;S15::R02
R02	FC02_ONE_CAP_BOUNDARY	F01_SCHEMA_ONLY	M06	regime_dependent_projection	INSUFFICIENT_EVIDENCE	SOURCE_EVIDENCE_INCOMPLETE	S03::M06;S11::R02;S15::R02
R03	FC03_TWO_CAP_P0	F01_SCHEMA_ONLY	M01	kappa	INSUFFICIENT_EVIDENCE	SOURCE_EVIDENCE_INCOMPLETE	S03::M01;S11::R03;S15::R03
R03	FC03_TWO_CAP_P0	F01_SCHEMA_ONLY	M02	phi	INSUFFICIENT_EVIDENCE	SOURCE_EVIDENCE_INCOMPLETE	S03::M02;S11::R03;S15::R03
R03	FC03_TWO_CAP_P0	F01_SCHEMA_ONLY	M03	beta	INSUFFICIENT_EVIDENCE	SOURCE_EVIDENCE_INCOMPLETE	S03::M03;S11::R03;S15::R03
R03	FC03_TWO_CAP_P0	F01_SCHEMA_ONLY	M04	U_gamma	INSUFFICIENT_EVIDENCE	SOURCE_EVIDENCE_INCOMPLETE	S03::M04;S11::R03;S15::R03
R03	FC03_TWO_CAP_P0	F01_SCHEMA_ONLY	M05	Delta_kappa_Delta_phi_U	INSUFFICIENT_EVIDENCE	SOURCE_EVIDENCE_INCOMPLETE	S03::M05;S11::R03;S15::R03
R03	FC03_TWO_CAP_P0	F01_SCHEMA_ONLY	M06	regime_dependent_projection	INSUFFICIENT_EVIDENCE	SOURCE_EVIDENCE_INCOMPLETE	S03::M06;S11::R03;S15::R03
R04	FC04_TWO_CAP_P1	F02_AGGREGATE_MEMBER_DEPENDENT	M01	kappa	INSUFFICIENT_EVIDENCE	SOURCE_EVIDENCE_INCOMPLETE	S03::M01;S11::R04;S15::R04
R04	FC04_TWO_CAP_P1	F02_AGGREGATE_MEMBER_DEPENDENT	M02	phi	INSUFFICIENT_EVIDENCE	SOURCE_EVIDENCE_INCOMPLETE	S03::M02;S11::R04;S15::R04
R04	FC04_TWO_CAP_P1	F02_AGGREGATE_MEMBER_DEPENDENT	M03	beta	INSUFFICIENT_EVIDENCE	SOURCE_EVIDENCE_INCOMPLETE	S03::M03;S11::R04;S15::R04
R04	FC04_TWO_CAP_P1	F02_AGGREGATE_MEMBER_DEPENDENT	M04	U_gamma	INSUFFICIENT_EVIDENCE	SOURCE_EVIDENCE_INCOMPLETE	S03::M04;S11::R04;S15::R04
R04	FC04_TWO_CAP_P1	F02_AGGREGATE_MEMBER_DEPENDENT	M05	Delta_kappa_Delta_phi_U	INSUFFICIENT_EVIDENCE	SOURCE_EVIDENCE_INCOMPLETE	S03::M05;S11::R04;S15::R04
