source_id	path	source_ref	git_blob	sha256	size
S01	udt_ordered_observer_query_projection_ownership_audit_2026-08-10/AUDIT_REPORT.md	7a14aa43:udt_ordered_observer_query_projection_ownership_audit_2026-08-10/AUDIT_REPORT.md	7676eca6d604a7149c7f6edbad9e7d2888992454	5215c1a0a42f489e74c4e9c59896789380ea762206f3b7ffdb6b97356eb7eafa	2893
S02	udt_ordered_observer_query_projection_ownership_audit_2026-08-10/EXACT_DERIVATION.md	7a14aa43:udt_ordered_observer_query_projection_ownership_audit_2026-08-10/EXACT_DERIVATION.md	499291592bca511d199ad7a0b893ea4ea279de2d	144aa166e1eddddc541401cf64946a5b68fc91cfd2d2b5d701c50784e5dad21a	8871
S03	udt_ordered_observer_query_projection_ownership_audit_2026-08-10/MEASUREMENT_OWNERSHIP_ATLAS.tsv	7a14aa43:udt_ordered_observer_query_projection_ownership_audit_2026-08-10/MEASUREMENT_OWNERSHIP_ATLAS.tsv	e7697603cdb14a56d587702701bb3321270520ec	a60715eca1b02de8ed671e303b488e7d9d5deab5c5004079edc551e08b8c8c05	798
S04	udt_ordered_observer_query_projection_ownership_audit_2026-08-10/QUERY_PROJECTION_CLASSIFICATION.tsv	7a14aa43:udt_ordered_observer_query_projection_ownership_audit_2026-08-10/QUERY_PROJECTION_CLASSIFICATION.tsv	90efc656a41da6df88de6efe9ef4b81e942ec791	ee5fe3b606d5abcc104feb33d9a860823140f446abdfa408ffb7e8fd173158e3	1527
S05	udt_multichannel_observer_relation_assembly_audit_2026-08-10/AUDIT_REPORT.md	7a14aa43:udt_multichannel_observer_relation_assembly_audit_2026-08-10/AUDIT_REPORT.md	1eb8cec27b38b79ee1dc231395abdb014ccf5724	f8ac4af925c56bc02889a3c1fa21bf56c7f45910b185934adef5a7365b899a59	3198
S06	udt_multichannel_observer_relation_assembly_audit_2026-08-10/EXACT_DERIVATION.md	7a14aa43:udt_multichannel_observer_relation_assembly_audit_2026-08-10/EXACT_DERIVATION.md	7bca9eca1f19d607aab744c5b304a11ce4430022	43338f407460ed1698e1311bcb79048e2505ea374b04a9aeb8419fc8c812673b	12927
S07	udt_multichannel_observer_relation_assembly_audit_2026-08-10/ASSEMBLED_CHANNELS.tsv	7a14aa43:udt_multichannel_observer_relation_assembly_audit_2026-08-10/ASSEMBLED_CHANNELS.tsv	cf1a32712da3e3fa68320186723f87358d7137b4	5c58c53552e4d673280ba18f5b07f5d98040b10695a804adbac6b7e7e7089acf	716
S08	udt_multichannel_observer_relation_assembly_audit_2026-08-10/GEOMETRIC_REGIME_ATLAS.tsv	7a14aa43:udt_multichannel_observer_relation_assembly_audit_2026-08-10/GEOMETRIC_REGIME_ATLAS.tsv	d824be72095a525bbf02b56204c373ff62818846	e4d033dd400a4f07f4ab59a97465f1f3f5c5825055aa17baef0a73061f6e4250	767
S09	udt_global_relation_family_branch_classification_2026-08-10/AUDIT_REPORT.md	7a14aa43:udt_global_relation_family_branch_classification_2026-08-10/AUDIT_REPORT.md	633585e8aa4f28abbc626558724ac81d6e2988f0	21f9dc0e9e390383ad8a3ce88f9d16bb1dab2553db8fc940ffb6b9e28f8a2a71	4490
S10	udt_global_relation_family_branch_classification_2026-08-10/BRANCH_UNIVERSE.tsv	7a14aa43:udt_global_relation_family_branch_classification_2026-08-10/BRANCH_UNIVERSE.tsv	f0927ddfdb69c1f0597ce0ed4a833eaa865d008e	4a5505c35c5c154eb65228f5880970d50dbecd03628776df1e722db7cb5cfd0f	4218
