branch_id	stable_identity	pattern_family	parent_relation_disposition	transition_disposition	pair_relation_owner	owned_structural_restriction	physical_regime_owner	description	evidence
R01	FC01_BOUNDARY_BOUNDARY	F01_SCHEMA_ONLY	INSUFFICIENT_TYPED_EVIDENCE	INSUFFICIENT_TYPED_EVIDENCE	INSUFFICIENT_EVIDENCE	NONE_COMPLETE_AND_OWNED	INSUFFICIENT_EVIDENCE	completion or topology schema without an actual typed complete metric	S11::R01;S15::R01
R02	FC02_ONE_CAP_BOUNDARY	F01_SCHEMA_ONLY	INSUFFICIENT_TYPED_EVIDENCE	INSUFFICIENT_TYPED_EVIDENCE	INSUFFICIENT_EVIDENCE	NONE_COMPLETE_AND_OWNED	INSUFFICIENT_EVIDENCE	completion or topology schema without an actual typed complete metric	S11::R02;S15::R02
R03	FC03_TWO_CAP_P0	F01_SCHEMA_ONLY	INSUFFICIENT_TYPED_EVIDENCE	INSUFFICIENT_TYPED_EVIDENCE	INSUFFICIENT_EVIDENCE	NONE_COMPLETE_AND_OWNED	INSUFFICIENT_EVIDENCE	completion or topology schema without an actual typed complete metric	S11::R03;S15::R03
R04	FC04_TWO_CAP_P1	F02_AGGREGATE_MEMBER_DEPENDENT	STRATIFIED_MIXTURE_OWNED	AGGREGATE_MEMBER_DEPENDENT	OPEN_OWNER	GLOBAL_STRATIFIED_MEMBER_TYPE	OPEN_OWNER	aggregate completion class whose members carry different apparatus	S11::R04;S15::R04
R05	FC05_TWO_CAP_P_GT1	F01_SCHEMA_ONLY	INSUFFICIENT_TYPED_EVIDENCE	INSUFFICIENT_TYPED_EVIDENCE	INSUFFICIENT_EVIDENCE	NONE_COMPLETE_AND_OWNED	INSUFFICIENT_EVIDENCE	completion or topology schema without an actual typed complete metric	S11::R05;S15::R05
R06	FC06_NONPRIMITIVE_CAP	F03_NO_COMPLETE_REGULAR_BRANCH	NO_COMPLETE_FAMILY_ON_DECLARED_BRANCH	NO_COMPLETE_REGULAR_BRANCH	TYPE_INAPPLICABLE	NONE_COMPLETE_AND_OWNED	INSUFFICIENT_EVIDENCE	singular absent or transition-stratum object rather than a complete regular branch	S11::R06;S15::R06
R07	FC07_PERIODIC_TORUS_BUNDLE	F01_SCHEMA_ONLY	INSUFFICIENT_TYPED_EVIDENCE	INSUFFICIENT_TYPED_EVIDENCE	INSUFFICIENT_EVIDENCE	NONE_COMPLETE_AND_OWNED	INSUFFICIENT_EVIDENCE	completion or topology schema without an actual typed complete metric	S11::R07;S15::R07
R08	FC08_MIRROR_DOUBLE	F01_SCHEMA_ONLY	INSUFFICIENT_TYPED_EVIDENCE	INSUFFICIENT_TYPED_EVIDENCE	INSUFFICIENT_EVIDENCE	NONE_COMPLETE_AND_OWNED	INSUFFICIENT_EVIDENCE	completion or topology schema without an actual typed complete metric	S11::R08;S15::R08
R09	FC09_NONORIENTABLE_GLUE	F01_SCHEMA_ONLY	INSUFFICIENT_TYPED_EVIDENCE	INSUFFICIENT_TYPED_EVIDENCE	INSUFFICIENT_EVIDENCE	NONE_COMPLETE_AND_OWNED	INSUFFICIENT_EVIDENCE	completion or topology schema without an actual typed complete metric	S11::R09;S15::R09
R10	FC10_STRATIFIED_PROJECTOR	F01_SCHEMA_ONLY	INSUFFICIENT_TYPED_EVIDENCE	INSUFFICIENT_TYPED_EVIDENCE	INSUFFICIENT_EVIDENCE	NONE_COMPLETE_AND_OWNED	INSUFFICIENT_EVIDENCE	completion or topology schema without an actual typed complete metric	S11::R10;S15::R10
R11	FC11_NONINTEGRABLE_DISTRIBUTION	F01_SCHEMA_ONLY	INSUFFICIENT_TYPED_EVIDENCE	INSUFFICIENT_TYPED_EVIDENCE	INSUFFICIENT_EVIDENCE	NONE_COMPLETE_AND_OWNED	INSUFFICIENT_EVIDENCE	completion or topology schema without an actual typed complete metric	S11::R11;S15::R11
