premise_id	statement	provenance_tag	owner_or_source	open_scope
P01	All 24 stable branch identities in the pinned branch universe are retained	pinned-by-THEORY	G43 verified branch census	Branches outside that census and later time-live branches
P02	All six G54 measurement families are retained	pinned-by-THEORY	G54 verified measurement ownership atlas	Other enriched-state or higher-jet measurements
P03	Delta_phi is the founded reciprocal projection only after a complete calibrated query supplies the pair relation	pinned-by-THEORY	G54	The physical pair-relation owner
P04	Kappa remains conditional common-scale state	pinned-by-THEORY	G53/G54	Its physical measurement policy
P05	Beta remains conditional query state rather than a standalone additive character	pinned-by-THEORY	G53/G54	Its physical query ownership
P06	U_gamma remains path-labelled angular transport rather than a real scalar character	pinned-by-THEORY	G51/G53/G54	Physical path selection and angular measurement
P07	Phi+orchestra and mixing remain upstream of terminal phi	pinned-by-THEORY	Complete-pair phi-orchestra/G54	Physical complete pair construction
P08	Geometric activity patterns carry no physical regime names in this audit	free-and-explored	This preregistration	Any later observational or dynamical regime identification
P09	No action source carrier matter bootstrap or dynamics participates	free-and-explored	Audit scope	All downstream physics
P10	Every table row is characterized rather than filtered for merit	free-and-explored	Solution-space protocol	Evidence absent from the pinned corpus
