axis_id	question	allowed_outputs
A01	Does the branch source supply a regular calibrated observer-pair relation?	BRANCH_OWNED;GLOBAL_COMPLETION_OWNED;CONDITIONALLY_AVAILABLE;OPEN_OWNER;INSUFFICIENT_EVIDENCE;TYPE_INAPPLICABLE
A02	Is a reciprocal clock-ruler density pair defined?	CONDITIONALLY_AVAILABLE;OPEN_OWNER;INSUFFICIENT_EVIDENCE;TYPE_INAPPLICABLE
A03	Is terminal Delta_phi mathematically defined after the pair is supplied?	FOUNDED_AFTER_PAIR_SUPPLIED;CONDITIONALLY_AVAILABLE;OPEN_OWNER;INSUFFICIENT_EVIDENCE;TYPE_INAPPLICABLE
A04	Is common scale Delta_kappa retained and measurable in the declared structure?	CONDITIONALLY_AVAILABLE;OPEN_OWNER;INSUFFICIENT_EVIDENCE;TYPE_INAPPLICABLE
A05	Is beta present as typed query state?	CONDITIONALLY_AVAILABLE;OPEN_OWNER;INSUFFICIENT_EVIDENCE;TYPE_INAPPLICABLE
A06	Is path-labelled angular transport U_gamma defined?	CONDITIONALLY_AVAILABLE;OPEN_OWNER;INSUFFICIENT_EVIDENCE;TYPE_INAPPLICABLE
A07	Is a physical non-isometric comparison arrow owned?	BRANCH_OWNED;GLOBAL_COMPLETION_OWNED;OPEN_OWNER;INSUFFICIENT_EVIDENCE;TYPE_INAPPLICABLE
A08	Does the source select optional measurement coefficients beyond founded Delta_phi?	BRANCH_OWNED;GLOBAL_COMPLETION_OWNED;OPEN_OWNER;INSUFFICIENT_EVIDENCE;TYPE_INAPPLICABLE
A09	Does global completion select or restrict the pair relation?	GLOBAL_COMPLETION_OWNED;CONDITIONALLY_AVAILABLE;OPEN_OWNER;INSUFFICIENT_EVIDENCE;TYPE_INAPPLICABLE
A10	Does the source own a physical regime assignment?	BRANCH_OWNED;GLOBAL_COMPLETION_OWNED;OPEN_OWNER;INSUFFICIENT_EVIDENCE;TYPE_INAPPLICABLE
