status_id	object	status	epistemic_label	open_scope
S01	pinned branch corpus	24_STABLE_IDENTITIES_AND_20_SOURCES_FROZEN	DERIVED	Future and time-live branches
S02	branch measurement atlas	144_OF_144_UNIQUE_CELLS_CLASSIFIED	DERIVED	Measurements outside G54 six-family universe
S03	ownership axis atlas	240_OF_240_UNIQUE_CELLS_CLASSIFIED	DERIVED	Owner types outside ten preregistered axes
S04	geometric apparatus patterns	11_BRANCH_DEPENDENT_PATTERN_FAMILIES	OBSERVED	Physical interpretation of patterns
S05	global structural restrictions	FIVE_RESTRICTED_RELATION_TYPES_OWNED	DERIVED	Complete physical pair relation
S06	R17 panel	FULL_KAPPA_PHI_BETA_U_PANEL_CONDITIONALLY_AVAILABLE	CONDITIONAL	Physical assembly path reset and pair surface
S07	founded reciprocal projection	DELTA_PHI_AFTER_REGULAR_CALIBRATED_PAIR_SUPPLIED	DERIVED	Physical pair-relation owner
S08	physical pair relation	ZERO_OWNERS_IN_PINNED_CORPUS	OPEN	On-shell global bootstrap or premise owner
S09	optional measurement selector	ZERO_OWNERS_IN_PINNED_CORPUS	OPEN	Coefficients and multichannel policy
S10	physical regime map	ZERO_OWNERS_IN_PINNED_CORPUS	OPEN	Scale intervals thresholds and observational assignment
S11	static corpus stopping point	NO_FURTHER_STATIC_CENSUS_RECOMMENDED	WORKING	Time-live global-descent bootstrap or premise route
S12	R04 aggregate correction	NO_CLASS_WIDE_INSTRUMENT_PANEL__M01_M05_AND_A02_A06_INSUFFICIENT	DERIVED	Individual R04 member rows retain their own availability
S13	external adversarial review	VERIFIED_WITH_CORRECTIONS	OBSERVED	Ten R04 cells corrected before banking
