branch_id	stable_identity	axis_id	disposition	evidence
R01	FC01_BOUNDARY_BOUNDARY	A01	INSUFFICIENT_EVIDENCE	S11::R01;S15::R01
R01	FC01_BOUNDARY_BOUNDARY	A02	INSUFFICIENT_EVIDENCE	S11::R01;S15::R01
R01	FC01_BOUNDARY_BOUNDARY	A03	INSUFFICIENT_EVIDENCE	S11::R01;S15::R01
R01	FC01_BOUNDARY_BOUNDARY	A04	INSUFFICIENT_EVIDENCE	S11::R01;S15::R01
R01	FC01_BOUNDARY_BOUNDARY	A05	INSUFFICIENT_EVIDENCE	S11::R01;S15::R01
R01	FC01_BOUNDARY_BOUNDARY	A06	INSUFFICIENT_EVIDENCE	S11::R01;S15::R01
R01	FC01_BOUNDARY_BOUNDARY	A07	INSUFFICIENT_EVIDENCE	S11::R01;S15::R01
R01	FC01_BOUNDARY_BOUNDARY	A08	INSUFFICIENT_EVIDENCE	S11::R01;S15::R01
R01	FC01_BOUNDARY_BOUNDARY	A09	INSUFFICIENT_EVIDENCE	S11::R01;S15::R01
R01	FC01_BOUNDARY_BOUNDARY	A10	INSUFFICIENT_EVIDENCE	S11::R01;S15::R01
R02	FC02_ONE_CAP_BOUNDARY	A01	INSUFFICIENT_EVIDENCE	S11::R02;S15::R02
R02	FC02_ONE_CAP_BOUNDARY	A02	INSUFFICIENT_EVIDENCE	S11::R02;S15::R02
R02	FC02_ONE_CAP_BOUNDARY	A03	INSUFFICIENT_EVIDENCE	S11::R02;S15::R02
R02	FC02_ONE_CAP_BOUNDARY	A04	INSUFFICIENT_EVIDENCE	S11::R02;S15::R02
R02	FC02_ONE_CAP_BOUNDARY	A05	INSUFFICIENT_EVIDENCE	S11::R02;S15::R02
R02	FC02_ONE_CAP_BOUNDARY	A06	INSUFFICIENT_EVIDENCE	S11::R02;S15::R02
R02	FC02_ONE_CAP_BOUNDARY	A07	INSUFFICIENT_EVIDENCE	S11::R02;S15::R02
R02	FC02_ONE_CAP_BOUNDARY	A08	INSUFFICIENT_EVIDENCE	S11::R02;S15::R02
R02	FC02_ONE_CAP_BOUNDARY	A09	INSUFFICIENT_EVIDENCE	S11::R02;S15::R02
R02	FC02_ONE_CAP_BOUNDARY	A10	INSUFFICIENT_EVIDENCE	S11::R02;S15::R02
R03	FC03_TWO_CAP_P0	A01	INSUFFICIENT_EVIDENCE	S11::R03;S15::R03
R03	FC03_TWO_CAP_P0	A02	INSUFFICIENT_EVIDENCE	S11::R03;S15::R03
R03	FC03_TWO_CAP_P0	A03	INSUFFICIENT_EVIDENCE	S11::R03;S15::R03
R03	FC03_TWO_CAP_P0	A04	INSUFFICIENT_EVIDENCE	S11::R03;S15::R03
R03	FC03_TWO_CAP_P0	A05	INSUFFICIENT_EVIDENCE	S11::R03;S15::R03
R03	FC03_TWO_CAP_P0	A06	INSUFFICIENT_EVIDENCE	S11::R03;S15::R03
R03	FC03_TWO_CAP_P0	A07	INSUFFICIENT_EVIDENCE	S11::R03;S15::R03
R03	FC03_TWO_CAP_P0	A08	INSUFFICIENT_EVIDENCE	S11::R03;S15::R03
R03	FC03_TWO_CAP_P0	A09	INSUFFICIENT_EVIDENCE	S11::R03;S15::R03
R03	FC03_TWO_CAP_P0	A10	INSUFFICIENT_EVIDENCE	S11::R03;S15::R03
R04	FC04_TWO_CAP_P1	A01	OPEN_OWNER	S11::R04;S15::R04
R04	FC04_TWO_CAP_P1	A02	INSUFFICIENT_EVIDENCE	S11::R04;S15::R04
R04	FC04_TWO_CAP_P1	A03	INSUFFICIENT_EVIDENCE	S11::R04;S15::R04
R04	FC04_TWO_CAP_P1	A04	INSUFFICIENT_EVIDENCE	S11::R04;S15::R04
R04	FC04_TWO_CAP_P1	A05	INSUFFICIENT_EVIDENCE	S11::R04;S15::R04
R04	FC04_TWO_CAP_P1	A06	INSUFFICIENT_EVIDENCE	S11::R04;S15::R04
R04	FC04_TWO_CAP_P1	A07	OPEN_OWNER	S11::R04;S15::R04
R04	FC04_TWO_CAP_P1	A08	OPEN_OWNER	S11::R04;S15::R04
R04	FC04_TWO_CAP_P1	A09	GLOBAL_COMPLETION_OWNED	S11::R04;S15::R04
R04	FC04_TWO_CAP_P1	A10	OPEN_OWNER	S11::R04;S15::R04
R05	FC05_TWO_CAP_P_GT1	A01	INSUFFICIENT_EVIDENCE	S11::R05;S15::R05
R05	FC05_TWO_CAP_P_GT1	A02	INSUFFICIENT_EVIDENCE	S11::R05;S15::R05
R05	FC05_TWO_CAP_P_GT1	A03	INSUFFICIENT_EVIDENCE	S11::R05;S15::R05
R05	FC05_TWO_CAP_P_GT1	A04	INSUFFICIENT_EVIDENCE	S11::R05;S15::R05
R05	FC05_TWO_CAP_P_GT1	A05	INSUFFICIENT_EVIDENCE	S11::R05;S15::R05
R05	FC05_TWO_CAP_P_GT1	A06	INSUFFICIENT_EVIDENCE	S11::R05;S15::R05
