R	A	M_signed	B01	B23	B02	B13	det_M	det_h	lorentzian	max_abs_residual
0.25	0.0625	0.0625	0.5	0.25	0.31240526692191328	0.40012129511006023	0.125	-0.12499999999999999	true	1.388e-17
0.25	0.0625	-0.8125	0.5	0.25	0.91175432732616224	0.13709833477465219	0.125	-1	true	0.000e+00
0.25	0.0625	-3.8125	0.5	0.25	1.9536104945580224	0.06398409526781311	0.12499999999999999	-4	true	4.441e-16
0.25	0.5	-0.375	0.5	0.70710678118654757	0.76661285199215978	0.46118896868805637	0.35355339059327379	-0.125	true	0.000e+00
0.25	0.5	-1.25	0.5	0.70710678118654757	1.1589091124058235	0.30507430376426919	0.35355339059327379	-1	true	0.000e+00
0.25	0.5	-4.25	0.5	0.70710678118654757	2.0686253871718194	0.1709122361089479	0.35355339059327379	-3.9999999999999991	true	8.882e-16
0.25	2	-1.875	0.5	1.4142135623730951	1.4531924818321542	0.48658852149788329	0.70710678118654757	-0.12499999999999978	true	2.220e-16
0.25	2	-2.75	0.5	1.4142135623730951	1.709141483203372	0.4137204486203489	0.70710678118654757	-0.99999999999999956	true	4.441e-16
0.25	2	-5.75	0.5	1.4142135623730951	2.4157151778679853	0.29271115554715854	0.70710678118654757	-3.9999999999999991	true	8.882e-16
1	0.0625	0.8125	1	0.25	0.26600854794029571	0.93981942285595743	0.25	-0.12499999999999978	true	2.220e-16
1	0.0625	-0.0625	1	0.25	0.53216121113280102	0.46978245458332063	0.25	-0.99999999999999989	true	1.110e-16
1	0.0625	-3.0625	1	0.25	1.7557830015162184	0.14238661599076355	0.25	-3.9999999999999996	true	4.441e-16
1	0.5	0.375	1	0.70710678118654757	0.73759321066559214	0.95866769238353744	0.70710678118654757	-0.12499999999999989	true	1.110e-16
1	0.5	-0.5	1	0.70710678118654757	1	0.70710678118654757	0.70710678118654757	-0.99999999999999989	true	1.110e-16
1	0.5	-3.5	1	0.70710678118654757	1.9072122610809965	0.3707541082950902	0.70710678118654757	-3.9999999999999996	true	4.441e-16
1	2	-1.125	1	1.4142135623730951	1.4437709159474506	0.97952767073510494	1.4142135623730951	-0.125	true	0.000e+00
1	2	-2	1	1.4142135623730951	1.6528916502810695	0.85559967716735219	1.4142135623730951	-1.0000000000000004	true	4.441e-16
1	2	-5	1	1.4142135623730951	2.317818224811647	0.61014860752853839	1.4142135623730951	-4	true	0.000e+00
4	0.0625	3.8125	2	0.25	0.25393528344530081	1.9690056191332821	0.5	-0.12500000000000577	true	5.773e-15
4	0.0625	2.9375	2	0.25	0.28770462007639225	1.7378935377097469	0.5	-1.0000000000000018	true	1.776e-15
4	0.0625	-0.0625	2	0.25	0.72953794327902766	0.68536531184748006	0.5	-4	true	2.220e-16
4	0.5	3.375	2	0.70710678118654757	0.71710485232361032	1.9721154553489177	1.4142135623730951	-0.12499999999999778	true	2.220e-15
4	0.5	2.5	2	0.70710678118654757	0.79841005054901926	1.7712872745034012	1.4142135623730951	-1	true	0.000e+00
4	0.5	-0.5	2	0.70710678118654757	1.2985147906876175	1.0891008500751926	1.4142135623730951	-4	true	0.000e+00
4	2	1.875	2	1.4142135623730951	1.4290729023618964	1.9792042239913128	2.8284271247461903	-0.12499999999999956	true	4.441e-16
4	2	1	2	1.4142135623730951	1.5402211929684042	1.8363772279324897	2.8284271247461903	-0.99999999999999911	true	8.882e-16
4	2	-2	2	1.4142135623730951	2	1.4142135623730951	2.8284271247461903	-3.9999999999999996	true	4.441e-16
