path	size	sha256
AUDIT_REPORT.md	2566	38dd5e943c5c0e1e68a3ed52bbaee9d88c45fcb24d4acea73c0e9b8e871ac8e8
CATCH_PROOF_RESULT.json	1091	4e40b7533750fe0b093ae95e97aad348af60404792f9398b315ba5ea384a4d70
COMPLETENESS_MAP.md	872	8b102187ae8b478ba4a4c67ac30216802bf527488b8b9a28441e0e80b69fdfb6
DERIVATION_RESULT.json	2026	3d59d8238d67c3045a0c3566b8ae3ca4bfde76442782eebfcd90a40c33c66aeb
EXACT_DERIVATION.md	10786	82a7a80fa58a5196ef27e8ca8e773ed0a78956a9044fe1a5699ce83494758209
EXTERNAL_REVIEW_ADJUDICATION.md	2412	f081bd4c894aa2f4754a7bc61bb008afb5cdc890aea7a96cc27ef212f62f0d48
EXTERNAL_REVIEW_DISPATCH.md	4001	5c9b155f30d7309a9d5f51e62fcd5ed23e483817203ffaa2e7d47bba8f27bd51
EXTERNAL_REVIEW_RAW.md	5665	5a6ac70d83a14b4e4bd9bd8c03e96c2a6d1695c4ec6e26a5a1da5e8c760f0874
FALSIFICATION_CONTRACT.tsv	1162	b872153d8f0994c1076c319aaba49bc19e45c214f73948094d5ffcb5f406a784
FINAL_VERIFICATION.md	2293	bdb7138756aa542d403eed87e4074423d8cd11dcb9cbbe4b7044fd3171e513f8
INDEPENDENT_VERIFICATION_RESULT.json	442	0be228d4ef39309971e41646622963b7aa6c7dc71c35d741181cdb56caead32f
INSTRUMENT_AXES.tsv	607	2add72f0a1381d6726037250bf13c60e53b2cfa1787b8f4f6033e0ccfdea8057
INVARIANT_ATLAS.tsv	1931	ab92b642e6324a76bbe8f1e5fad41de1c9da0e5ec14ddb3768a2d3fdc2b1bf74
LAY_REPORT.md	1257	05e723232a1d8f929a21810fd8a3ddc3e54495902a10dfeea9bc97b678ea3d79
NEXT_STEP.md	1007	e69564323c0b0f1e9fac0ed6ed248f3bd101576ebb364536a30b93861cdc2ed0
PONDER_MAP.md	1179	4f15fb278dee19dabb73c5b02a8c71bc492ba2da616b3d3b056ccd83cbd35fae
PREMISE_LEDGER.tsv	1410	2d5a9d7944898133bc0ac121c03a84eb80461d9f0dd686d8c679978e7e7270cb
PREREGISTERED_REFINEMENT.md	1883	09e14377df67060e008f44432d8f379260322e2ae4d2ed1fcc834678f430de31
PREREGISTRATION.md	4176	eb85fb72f59ae5d38a2cd6b2490234d0862c5cad738a883f3bf9729be05ab77a
PRE_REVIEW_REPORT.md	658	d8c3c24bebc1f5417e891b366970d90e776850c4757d624f9a9c2ed76bcdbee8
REPOSITORY_GATES.json	1229	b450228a484096743284f700f803926e42e6c8c3abc29f92d591e9eb029b1278
SAMPLED_REGION_ATLAS.tsv	3134	e0753b0d3037cdfae235e3496698f982ee1ae216224248c01d1c524d058e59a8
SEALED_INTAKE_REPLAY_RESULT.json	362	138f08c9c6f8f5fe100794fed16689a2f72bec7f87493ca22dbbbb66d479f2f2
SOURCE_MANIFEST.tsv	2536	8e8bafbd5a37a1e598110e26fb122b2a4404f261f886dbc4c129d127bf0cc370
STATUS_LEDGER.tsv	1379	ed99dd04d5c6c7889578bce1393da663ccaf664fb20a5a6fc4e3efdba88cbc28
STRATA_ATLAS.tsv	1331	f74c43127320b6ac3109319526e5794025b04f50aa78b1276e108dba02ac8d98
build_package_manifest.py	990	3e62a1972dc5b44e1c5ca96795160e0878eccfd7b9ad52e4ed6833adb74220cd
derive_instrument_atlas.py	10094	f11e38aed0304513c8501088fa5a4a0ad148c958e1dae499b3a3e8fc9b33cd12
run_catch_proofs.py	5164	fe5cdd3267527543273e2ebe0ea31ca31a0fbc08efdb66672043d7b4950971be
verify_fixed_base_sources.py	1001	fecbea8ab8ee6a3f9f580ad6a7f6ef52019ed6e4876e54b265aaa118d73a1b61
verify_instrument_atlas_independent.py	7432	8f7272eeb9bdc9e11d046c3fd0a8f8360f416a0cf7d61bc37c5220cd774ce79f
verify_package_manifest.py	1096	a7429561e6bbf61df5f33c035c11f54c62da14397c9debe7f25efafde0bb04b9
verify_preregistration.py	1841	933f901a650ed37c7872abe8b6d2d00efc61b28b811d2d188d37d0ed8353589d
verify_repository_gates.py	10660	b074cf2b5f0d8f386d179b98562b181e51774fc6ef40eb611109236d541ee2c2
verify_sealed_intake.py	1415	21a67ef009e59075dd637ec475d6ce290a6555735eb88e7dcde690241e4db233
