item	status	boundary
positive interior completed coordinate	DERIVED_CONDITIONAL	one supplied smooth regular interior family
finite endpoint iff density integrable	DERIVED_CONDITIONAL	one-sided endpoint accessibility only
regular finite completed metric criterion	DERIVED_CONDITIONAL	retained calibrated clock chart
zero-density auxiliary stall	REMOVABLE_CONDITIONAL	one-sided completed extension demonstrated
two-sided cusp or branch carry	OPEN	metric normalization alone is insufficient
tape versus depth cross-classification	DERIVED_CONDITIONAL	unrestricted supplied interior scales
primary angular turn	DERIVED_BOUNDED	r>0 and nonzero angular tangent
primary zero complete tangent	DERIVED_BOUNDED	m=0 iff v=b=0 at r>0
physical family realization	OPEN	no event or germ selector is derived
null cut focal topology and global completion	OPEN	not included in one-sided endpoint audit
non-scalar transport Xmax dynamics observations	OPEN	separately typed downstream questions
fresh adversarial review	REQUIRES_REPAIR	bounded geometry retained; production replay and mutation evidence incomplete
repair scope	PREREGISTERED	dependency-free replay, 28 executable mutants, six separate semantic guards
