id	claim	status	exact_scope	remaining_open
S01	23-source 380-row candidate census	VERIFIED	all preregistered retained registry rows at base 5457a36	arbitrary future or unregistered global metrics excluded
S02	12 global completion families	REGISTERED_TAXONOMY	COMPLETION_CLASS_REGISTRY.tsv	families are parametric and not selected
S03	84 motif/completion rows are 7x12 compatibility cross-product	VERIFIED	complete registered cross-product	rows are not solved universes
S04	72 non-control rows determine accessibility	UNDEFINED_MISSING_CONNECTOR_DATA	local motif/distribution compatibility only	global metric threading shift path phi profile anchor
S05	12 reciprocal-toric rows are distinct metric controls	REFUTED_AS_IDENTITY_INFLATION	one TC01 metric in 12 compatibility presentations	no complete global connector supplied
S06	shared toric control has proper fixed-path rate c_E	DERIVED_CONDITIONAL_INTERIOR	N=1 B=0 positive finite spatial path in declared representative	control not selected and no global completion certified
S07	nonprimitive-cap presentation has singular optical rate	REFUTED_AS_STATUS_CONFLATION	FC06 global orbifold or singular completion	regular-interior optical rate remains finite c_E
S08	two-ended proper rate	ADMISSIBLE_NOT_SELECTED	N=D H=1/D B=0 extra-threading control	metric-native threading selector absent
S09	finite reversed and oscillatory alternatives	LOCAL_KINEMATIC_CONNECTOR_EXAMPLES	local stationary reciprocal connector	global cap seal quotient and regular extension unproved
S10	shift and connector profile can alter one-way or round-trip limits	DERIVED_METRIC_IDENTITY	bounded stationary connector	physical shift and connector selection open
S11	Reciprocity selects accessibility	REFUTED_AS_CURRENT_IMPLICATION	registered transition and ratio consequence only	clock-spatial soldering open
S12	CSN selects accessibility	REFUTED_AS_CURRENT_IMPLICATION	common pre-material scale neutrality	representative lapse and connector open
S13	finite cell or static seal selects accessibility	REFUTED_AS_CURRENT_IMPLICATION	registered finite completion and signed-phi seal	cap lift path threading and boundary polarization open
S14	bootstrap selects accessibility	OPEN_NOT_EXECUTABLE	current after-solution admissibility	varied selector functional response map native matter absent
S15	actual information transfer or quantum explanation	OPEN_NOT_TESTED	no carrier source detector or response theorem loaded	complete dynamics and matter required
S16	prior SNe conclusions changed	NO	SNe not loaded as a selector or edited	later observable comparison possible after connector selection
S17	minimum missing connector object	OPEN_IDENTIFIED	timelike threading plus full spatial/angular soldering determining N B and optical line forms	must be mapped rather than posited
S18	audit grade	VERIFIED_WITH_CAVEATS	registered stationary assembly taxonomy after adversarial correction	no canon action carrier dynamics complete global connector or physical selector conclusion
