catch_id	result
C01_MISSING_CANDIDATE	PASS
C02_DUPLICATE_CANDIDATE	PASS
C03_MISSING_BRANCH	PASS
C04_DUPLICATE_BRANCH	PASS
C05_BREAK_CROSS_PRODUCT	PASS
C06_PROMOTE_DISTRIBUTION	PASS
C07_DROP_TORIC_LAPSE	PASS
C08_ADD_TORIC_SHIFT	PASS
C09_INVENT_SELECTOR	PASS
C10_BOOTSTRAP_OVERCLAIM	PASS
C11_INFORMATION_OVERCLAIM	PASS
C12_INFLATE_PRESENTATIONS_TO_UNIQUE_CONTROLS	PASS
C13_WRONG_UNDEFINED_COUNT	PASS
C14_DROP_COUNTERFAMILY	PASS
C15_SOURCE_HASH_MUTATION	PASS
C16_OVERLAP_AS_UNIVERSE	PASS
C17_FC06_GLOBAL_OPTICAL_CONFLATION	PASS
C18_TREAT_12_COMPLETIONS_AS_SELECTED	PASS
C19_DROP_PATH_WEIGHT	PASS
C20_TORIC_FORMULA_MUTATION	PASS
C21_MISSING_CONTROL_PROVENANCE	PASS
C22_FC11_FALSE_COMPATIBILITY	PASS
C23_BRANCH_PRESERVING_OVERCLAIM	PASS
C24_MISSING_OVERLAP_MAP	PASS
C25_DUPLICATE_CONTROL_ID	PASS
C26_GLOBAL_CONNECTOR_PROMOTION	PASS
