completion_id	topology_family	cross_rows	undefined_connector_rows	conditional_control_presentations	unique_control_identity	control_interior_accessibility	control_global_compatibility	control_global_compatibility_class	control_global_completion_status	completion_level_ruling	kinematic_example_scope	selection_status
FC01_BOUNDARY_BOUNDARY	I_X_ORBIT	7	6	1	TC01_RECIPROCAL_TORIC_STATIC_METRIC_SHARED_ACROSS_12_PRESENTATIONS	FINITE_OR_CANCELLED	CONDITIONAL_COMPATIBILITY__BOUNDARY_DATA_REQUIRED	CONDITIONAL	OPEN_NOT_CONSTRUCTED	ACCESSIBILITY_NOT_SELECTED	LOCAL_STATIONARY_CONNECTOR_ONLY__GLOBAL_EXTENSION_UNPROVED	REGISTERED_ALTERNATIVE
FC02_ONE_CAP_BOUNDARY	SOLID_TORUS_WITH_BOUNDARY	7	6	1	TC01_RECIPROCAL_TORIC_STATIC_METRIC_SHARED_ACROSS_12_PRESENTATIONS	FINITE_OR_CANCELLED	CONDITIONAL_COMPATIBILITY__PRIMITIVE_CAP_JETS_REQUIRED	CONDITIONAL	OPEN_NOT_CONSTRUCTED	ACCESSIBILITY_NOT_SELECTED	LOCAL_STATIONARY_CONNECTOR_ONLY__GLOBAL_EXTENSION_UNPROVED	REGISTERED_ALTERNATIVE
FC03_TWO_CAP_P0	S2_X_S1_STANDARD_OR_GENERAL_P0	7	6	1	TC01_RECIPROCAL_TORIC_STATIC_METRIC_SHARED_ACROSS_12_PRESENTATIONS	FINITE_OR_CANCELLED	CONDITIONAL_COMPATIBILITY__SAME_CYCLE_CAP_PROFILES_REQUIRED	CONDITIONAL	OPEN_NOT_CONSTRUCTED	ACCESSIBILITY_NOT_SELECTED	LOCAL_STATIONARY_CONNECTOR_ONLY__GLOBAL_EXTENSION_UNPROVED	REGISTERED_ALTERNATIVE
FC04_TWO_CAP_P1	S3	7	6	1	TC01_RECIPROCAL_TORIC_STATIC_METRIC_SHARED_ACROSS_12_PRESENTATIONS	FINITE_OR_CANCELLED	CONDITIONAL_COMPATIBILITY__OPPOSITE_PRIMITIVE_CAPS_REQUIRED	CONDITIONAL	OPEN_NOT_CONSTRUCTED	ACCESSIBILITY_NOT_SELECTED	LOCAL_STATIONARY_CONNECTOR_ONLY__GLOBAL_EXTENSION_UNPROVED	UNIQUE_ONLY_INSIDE_SUPPLIED_OPPOSITE_EIGENCIRCLE_PREMISES
FC05_TWO_CAP_P_GT1	LENS_L_P_Q	7	6	1	TC01_RECIPROCAL_TORIC_STATIC_METRIC_SHARED_ACROSS_12_PRESENTATIONS	FINITE_OR_CANCELLED	CONDITIONAL_COMPATIBILITY__LENS_CAP_PROFILES_REQUIRED	CONDITIONAL	OPEN_NOT_CONSTRUCTED	ACCESSIBILITY_NOT_SELECTED	LOCAL_STATIONARY_CONNECTOR_ONLY__GLOBAL_EXTENSION_UNPROVED	REGISTERED_ALTERNATIVE
FC06_NONPRIMITIVE_CAP	SINGULAR_TORIC_COMPLETION	7	6	1	TC01_RECIPROCAL_TORIC_STATIC_METRIC_SHARED_ACROSS_12_PRESENTATIONS	FINITE_OR_CANCELLED	CONDITIONAL_SINGULAR_REALIZATION__NONPRIMITIVE_CAP	CONDITIONAL_SINGULAR	GLOBAL_ORBIFOLD_OR_SINGULAR_COMPLETION	ACCESSIBILITY_NOT_SELECTED	LOCAL_STATIONARY_CONNECTOR_ONLY__GLOBAL_EXTENSION_UNPROVED	RETAINED_MATHEMATICAL_BRANCH
FC07_PERIODIC_TORUS_BUNDLE	TORUS_BUNDLE_OVER_S1	7	6	1	TC01_RECIPROCAL_TORIC_STATIC_METRIC_SHARED_ACROSS_12_PRESENTATIONS	FINITE_OR_CANCELLED	RESTRICTED_METRIC_PRESERVING_MONODROMY_SUBSET_ONLY	RESTRICTED_SUBSET	OPEN_NOT_CONSTRUCTED	ACCESSIBILITY_NOT_SELECTED	LOCAL_STATIONARY_CONNECTOR_ONLY__GLOBAL_EXTENSION_UNPROVED	REGISTERED_GLOBAL_ALTERNATIVE_NOT_CURRENT_PHYSICAL_CELL_WITHOUT_EXTRA_JOIN
FC08_MIRROR_DOUBLE	DOUBLE_OR_REFLECTION_QUOTIENT	7	6	1	TC01_RECIPROCAL_TORIC_STATIC_METRIC_SHARED_ACROSS_12_PRESENTATIONS	FINITE_OR_CANCELLED	OPEN_LIFT_PARITY_PROFILE_CHECK_REQUIRED	OPEN_CHECK_REQUIRED	OPEN_NOT_CONSTRUCTED	ACCESSIBILITY_NOT_SELECTED	LOCAL_STATIONARY_CONNECTOR_ONLY__GLOBAL_EXTENSION_UNPROVED	MULTIPLE_REGISTERED_LIFTS
FC09_NONORIENTABLE_GLUE	NONORIENTABLE_ORIENTATION_TWISTED	7	6	1	TC01_RECIPROCAL_TORIC_STATIC_METRIC_SHARED_ACROSS_12_PRESENTATIONS	FINITE_OR_CANCELLED	OPEN_ORIENTATION_REVERSING_GLUE_CHECK_REQUIRED	OPEN_CHECK_REQUIRED	OPEN_NOT_CONSTRUCTED	ACCESSIBILITY_NOT_SELECTED	LOCAL_STATIONARY_CONNECTOR_ONLY__GLOBAL_EXTENSION_UNPROVED	REGISTERED_ALTERNATIVE_UNLESS_ORIENTATION_ADDED
FC10_STRATIFIED_PROJECTOR	STRATIFIED_DISTRIBUTION	7	6	1	TC01_RECIPROCAL_TORIC_STATIC_METRIC_SHARED_ACROSS_12_PRESENTATIONS	FINITE_OR_CANCELLED	OPEN_STRATIFICATION_AND_PROFILE_CHECK_REQUIRED	OPEN_CHECK_REQUIRED	OPEN_NOT_CONSTRUCTED	ACCESSIBILITY_NOT_SELECTED	LOCAL_STATIONARY_CONNECTOR_ONLY__GLOBAL_EXTENSION_UNPROVED	RETAINED_NOT_FILTERED
FC11_NONINTEGRABLE_DISTRIBUTION	NONINTEGRABLE_PLANE_FIELD	7	6	1	TC01_RECIPROCAL_TORIC_STATIC_METRIC_SHARED_ACROSS_12_PRESENTATIONS	FINITE_OR_CANCELLED	INCOMPATIBLE_AS_SAME_NONINTEGRABLE_TORIC_DISTRIBUTION	INCOMPATIBLE_AS_SAME_DISTRIBUTION	NOT_REALIZED_AS_SAME_TORIC_DISTRIBUTION	ACCESSIBILITY_NOT_SELECTED	LOCAL_STATIONARY_CONNECTOR_ONLY__GLOBAL_EXTENSION_UNPROVED	RETAINED_NOT_TORIC_ORBIT
FC12_RECIPROCAL_TORIC_DIAGONAL	BOUNDARY_P0_S3_LENS_OR_OTHER_PER_CAP_DATA	7	6	1	TC01_RECIPROCAL_TORIC_STATIC_METRIC_SHARED_ACROSS_12_PRESENTATIONS	FINITE_OR_CANCELLED	CONDITIONAL_COMPATIBILITY__OWN_PROFILE_ENDPOINT_DATA_REQUIRED	CONDITIONAL	OPEN_NOT_CONSTRUCTED	ACCESSIBILITY_NOT_SELECTED	LOCAL_STATIONARY_CONNECTOR_ONLY__GLOBAL_EXTENSION_UNPROVED	CONDITIONAL_CONTROL_NOT_SELECTED
