assembly_id	motif	completion_id	data_sufficiency	metric_control_identity	lorentzian_metric	time_threading	shift	spatial_or_angular_connector	regime_field_and_anchor	global_completion	global_compatibility	global_compatibility_class	global_connector_status	global_completion_status	accessibility_class	interior_optical_class	regularity_or_scope_guard	selection_status
SCALAR_4_AMBIGUITY::FC01_BOUNDARY_BOUNDARY	SCALAR_4_AMBIGUITY	FC01_BOUNDARY_BOUNDARY	DISTRIBUTION_ONLY	-	LOCAL_REGISTERED_CHART_MOTIF__NO_COMPLETE_GLOBAL_METRIC_WITNESS	NOT_SUPPLIED	NOT_SUPPLIED	PROJECTOR_OR_DISTRIBUTION_DATA_ONLY__CONNECTOR_PATH_NOT_SUPPLIED	NO_GLOBAL_PHI_PROFILE_OR_EXTREME_INCIDENCE	NO_CAP_TWO_PHYSICAL_BOUNDARIES	NOT_EVALUABLE_NO_COMPLETE_METRIC_CONTROL	NOT_EVALUABLE	NOT_SUPPLIED	NOT_EVALUABLE_FROM_PRESENTATION	UNDEFINED_MISSING_CONNECTOR_DATA	UNDEFINED_MISSING_CONNECTOR_DATA	DO_NOT_PROMOTE_COMPATIBILITY_ROW_TO_SOLVED_UNIVERSE	NOT_SELECTED_BY_LOCAL_MOTIF
SCALAR_4_AMBIGUITY::FC02_ONE_CAP_BOUNDARY	SCALAR_4_AMBIGUITY	FC02_ONE_CAP_BOUNDARY	DISTRIBUTION_ONLY	-	LOCAL_REGISTERED_CHART_MOTIF__NO_COMPLETE_GLOBAL_METRIC_WITNESS	NOT_SUPPLIED	NOT_SUPPLIED	PROJECTOR_OR_DISTRIBUTION_DATA_ONLY__CONNECTOR_PATH_NOT_SUPPLIED	NO_GLOBAL_PHI_PROFILE_OR_EXTREME_INCIDENCE	ONE_PRIMITIVE_CAP_ONE_PHYSICAL_BOUNDARY	NOT_EVALUABLE_NO_COMPLETE_METRIC_CONTROL	NOT_EVALUABLE	NOT_SUPPLIED	NOT_EVALUABLE_FROM_PRESENTATION	UNDEFINED_MISSING_CONNECTOR_DATA	UNDEFINED_MISSING_CONNECTOR_DATA	DO_NOT_PROMOTE_COMPATIBILITY_ROW_TO_SOLVED_UNIVERSE	NOT_SELECTED_BY_LOCAL_MOTIF
SCALAR_4_AMBIGUITY::FC03_TWO_CAP_P0	SCALAR_4_AMBIGUITY	FC03_TWO_CAP_P0	DISTRIBUTION_ONLY	-	LOCAL_REGISTERED_CHART_MOTIF__NO_COMPLETE_GLOBAL_METRIC_WITNESS	NOT_SUPPLIED	NOT_SUPPLIED	PROJECTOR_OR_DISTRIBUTION_DATA_ONLY__CONNECTOR_PATH_NOT_SUPPLIED	NO_GLOBAL_PHI_PROFILE_OR_EXTREME_INCIDENCE	TWO_PRIMITIVE_SAME_DEPENDENT_CYCLES	NOT_EVALUABLE_NO_COMPLETE_METRIC_CONTROL	NOT_EVALUABLE	NOT_SUPPLIED	NOT_EVALUABLE_FROM_PRESENTATION	UNDEFINED_MISSING_CONNECTOR_DATA	UNDEFINED_MISSING_CONNECTOR_DATA	DO_NOT_PROMOTE_COMPATIBILITY_ROW_TO_SOLVED_UNIVERSE	NOT_SELECTED_BY_LOCAL_MOTIF
SCALAR_4_AMBIGUITY::FC04_TWO_CAP_P1	SCALAR_4_AMBIGUITY	FC04_TWO_CAP_P1	DISTRIBUTION_ONLY	-	LOCAL_REGISTERED_CHART_MOTIF__NO_COMPLETE_GLOBAL_METRIC_WITNESS	NOT_SUPPLIED	NOT_SUPPLIED	PROJECTOR_OR_DISTRIBUTION_DATA_ONLY__CONNECTOR_PATH_NOT_SUPPLIED	NO_GLOBAL_PHI_PROFILE_OR_EXTREME_INCIDENCE	TWO_PRIMITIVE_DETERMINANT_ONE_CYCLES	NOT_EVALUABLE_NO_COMPLETE_METRIC_CONTROL	NOT_EVALUABLE	NOT_SUPPLIED	NOT_EVALUABLE_FROM_PRESENTATION	UNDEFINED_MISSING_CONNECTOR_DATA	UNDEFINED_MISSING_CONNECTOR_DATA	DO_NOT_PROMOTE_COMPATIBILITY_ROW_TO_SOLVED_UNIVERSE	NOT_SELECTED_BY_LOCAL_MOTIF
SCALAR_4_AMBIGUITY::FC05_TWO_CAP_P_GT1	SCALAR_4_AMBIGUITY	FC05_TWO_CAP_P_GT1	DISTRIBUTION_ONLY	-	LOCAL_REGISTERED_CHART_MOTIF__NO_COMPLETE_GLOBAL_METRIC_WITNESS	NOT_SUPPLIED	NOT_SUPPLIED	PROJECTOR_OR_DISTRIBUTION_DATA_ONLY__CONNECTOR_PATH_NOT_SUPPLIED	NO_GLOBAL_PHI_PROFILE_OR_EXTREME_INCIDENCE	TWO_PRIMITIVE_GENERAL_CYCLES	NOT_EVALUABLE_NO_COMPLETE_METRIC_CONTROL	NOT_EVALUABLE	NOT_SUPPLIED	NOT_EVALUABLE_FROM_PRESENTATION	UNDEFINED_MISSING_CONNECTOR_DATA	UNDEFINED_MISSING_CONNECTOR_DATA	DO_NOT_PROMOTE_COMPATIBILITY_ROW_TO_SOLVED_UNIVERSE	NOT_SELECTED_BY_LOCAL_MOTIF
SCALAR_4_AMBIGUITY::FC06_NONPRIMITIVE_CAP	SCALAR_4_AMBIGUITY	FC06_NONPRIMITIVE_CAP	DISTRIBUTION_ONLY	-	LOCAL_REGISTERED_CHART_MOTIF__NO_COMPLETE_GLOBAL_METRIC_WITNESS	NOT_SUPPLIED	NOT_SUPPLIED	PROJECTOR_OR_DISTRIBUTION_DATA_ONLY__CONNECTOR_PATH_NOT_SUPPLIED	NO_GLOBAL_PHI_PROFILE_OR_EXTREME_INCIDENCE	ONE_OR_TWO_NONPRIMITIVE_COLLAPSES	NOT_EVALUABLE_NO_COMPLETE_METRIC_CONTROL	NOT_EVALUABLE	NOT_SUPPLIED	NOT_EVALUABLE_FROM_PRESENTATION	UNDEFINED_MISSING_CONNECTOR_DATA	UNDEFINED_MISSING_CONNECTOR_DATA	DO_NOT_PROMOTE_COMPATIBILITY_ROW_TO_SOLVED_UNIVERSE	NOT_SELECTED_BY_LOCAL_MOTIF
SCALAR_4_AMBIGUITY::FC07_PERIODIC_TORUS_BUNDLE	SCALAR_4_AMBIGUITY	FC07_PERIODIC_TORUS_BUNDLE	DISTRIBUTION_ONLY	-	LOCAL_REGISTERED_CHART_MOTIF__NO_COMPLETE_GLOBAL_METRIC_WITNESS	NOT_SUPPLIED	NOT_SUPPLIED	PROJECTOR_OR_DISTRIBUTION_DATA_ONLY__CONNECTOR_PATH_NOT_SUPPLIED	NO_GLOBAL_PHI_PROFILE_OR_EXTREME_INCIDENCE	NO_CAP_GL2Z_MAPPING_TORUS	NOT_EVALUABLE_NO_COMPLETE_METRIC_CONTROL	NOT_EVALUABLE	NOT_SUPPLIED	NOT_EVALUABLE_FROM_PRESENTATION	UNDEFINED_MISSING_CONNECTOR_DATA	UNDEFINED_MISSING_CONNECTOR_DATA	DO_NOT_PROMOTE_COMPATIBILITY_ROW_TO_SOLVED_UNIVERSE	NOT_SELECTED_BY_LOCAL_MOTIF
SCALAR_4_AMBIGUITY::FC08_MIRROR_DOUBLE	SCALAR_4_AMBIGUITY	FC08_MIRROR_DOUBLE	DISTRIBUTION_ONLY	-	LOCAL_REGISTERED_CHART_MOTIF__NO_COMPLETE_GLOBAL_METRIC_WITNESS	NOT_SUPPLIED	NOT_SUPPLIED	PROJECTOR_OR_DISTRIBUTION_DATA_ONLY__CONNECTOR_PATH_NOT_SUPPLIED	NO_GLOBAL_PHI_PROFILE_OR_EXTREME_INCIDENCE	MIRROR_SEAL_WITH_REGISTERED_ANGULAR_LIFT	NOT_EVALUABLE_NO_COMPLETE_METRIC_CONTROL	NOT_EVALUABLE	NOT_SUPPLIED	NOT_EVALUABLE_FROM_PRESENTATION	UNDEFINED_MISSING_CONNECTOR_DATA	UNDEFINED_MISSING_CONNECTOR_DATA	DO_NOT_PROMOTE_COMPATIBILITY_ROW_TO_SOLVED_UNIVERSE	NOT_SELECTED_BY_LOCAL_MOTIF
SCALAR_4_AMBIGUITY::FC09_NONORIENTABLE_GLUE	SCALAR_4_AMBIGUITY	FC09_NONORIENTABLE_GLUE	DISTRIBUTION_ONLY	-	LOCAL_REGISTERED_CHART_MOTIF__NO_COMPLETE_GLOBAL_METRIC_WITNESS	NOT_SUPPLIED	NOT_SUPPLIED	PROJECTOR_OR_DISTRIBUTION_DATA_ONLY__CONNECTOR_PATH_NOT_SUPPLIED	NO_GLOBAL_PHI_PROFILE_OR_EXTREME_INCIDENCE	ORIENTATION_REVERSING_BUNDLE_GLUE	NOT_EVALUABLE_NO_COMPLETE_METRIC_CONTROL	NOT_EVALUABLE	NOT_SUPPLIED	NOT_EVALUABLE_FROM_PRESENTATION	UNDEFINED_MISSING_CONNECTOR_DATA	UNDEFINED_MISSING_CONNECTOR_DATA	DO_NOT_PROMOTE_COMPATIBILITY_ROW_TO_SOLVED_UNIVERSE	NOT_SELECTED_BY_LOCAL_MOTIF
SCALAR_4_AMBIGUITY::FC10_STRATIFIED_PROJECTOR	SCALAR_4_AMBIGUITY	FC10_STRATIFIED_PROJECTOR	DISTRIBUTION_ONLY	-	LOCAL_REGISTERED_CHART_MOTIF__NO_COMPLETE_GLOBAL_METRIC_WITNESS	NOT_SUPPLIED	NOT_SUPPLIED	PROJECTOR_OR_DISTRIBUTION_DATA_ONLY__CONNECTOR_PATH_NOT_SUPPLIED	NO_GLOBAL_PHI_PROFILE_OR_EXTREME_INCIDENCE	PROJECTOR_RANK_MERGER_OR_SPLIT	NOT_EVALUABLE_NO_COMPLETE_METRIC_CONTROL	NOT_EVALUABLE	NOT_SUPPLIED	NOT_EVALUABLE_FROM_PRESENTATION	UNDEFINED_MISSING_CONNECTOR_DATA	UNDEFINED_MISSING_CONNECTOR_DATA	DO_NOT_PROMOTE_COMPATIBILITY_ROW_TO_SOLVED_UNIVERSE	NOT_SELECTED_BY_LOCAL_MOTIF
