id	object	status	use_in_audit	guard
P01	terrestrial and solar c_E	OBSERVED	ordinary anchor and unit restoration	not a derived information speed law
P02	D=exp(-phi) reciprocal factor	DERIVED_CONDITIONAL	reciprocal stationary counterfamilies	chosen Lorentzian readout representative and phi ownership retained
P03	signed local phi	OWNER_LOCKED_FOR_AUDIT	regime coordinate/control	global field patching and physical scale map open
P04	Lorentzian quadratic readout	POSIT_CHOSE	causal connector diagnostic	not uniquely selected by founding pair
P05	conditional reciprocal-toric metric	CONDITIONAL	positive full-metric control	A Omega periods caps action orientation and global range open
P06	toric t threading	CHOSE_WITHIN_CONTROL	N=1 B=0 exact declared representative	not promoted to physical UDT clock
P07	connector path and angular line factor	FREE_AND_EXPLORED	complete H along a fixed curve	physical connector not selected
P08	shift	FREE_AND_EXPLORED	stationary exact counterfamily	general physical shift law open
P09	macro observational-frame reciprocity	OWNER_FOUNDING_CLARIFICATION	selector audit only	micro inheritance open
P10	CSN	FOUNDING_CALIBRATION_PRINCIPLE	common-scale selector audit	selects no representative or physical scale
P11	finite cell and static seal	PINNED_SCOPED	global completion and phi boundary taxonomy	complete lift polarization and threading open
P12	bootstrap	WORKING_ON_SHELL_ADMISSIBILITY	selector audit only	no off-shell varied functional
P13	SNe evidence	EXCLUDED_FROM_SELECTION	future comparison only	cannot derive current connector
P14	action carrier matter source	NOT_LOADED	none	remain open
