from	to	status	scope_or_condition
supplied ordered depth delta	D(delta)=diag(exp(-delta),exp(+delta))	DERIVED	founded reciprocal character
bare observers or endpoints	physical delta	OPEN	no universal assignment derived
supplied metric g and point-observer query Q	observer exponential F	CONDITIONAL	query and regular branch supplied
g and F	full differential dF	DERIVED	local regular realization
g and dF	pullback H=F* g	DERIVED	pair angular and mixed blocks jointly
pair block h	terminal phi_pair and pair c_eff	DERIVED_CONDITIONAL	regular calibrated pair metric
angular block of dF	D_sky and d_A squared equals abs det D_sky	DERIVED_CONDITIONAL	declared observer sky and screen bases
ray k and endpoint velocities	direct frequency Z_omega	DERIVED_CONDITIONAL	one calibrated ray query
phi_pair and live invariant jets	local zeta junction	DERIVED_CONDITIONAL	G115 central spherical two-jet only
Z_omega and D_sky	forward reverse screen relation d_G=Z_omega d_A	DERIVED_CONDITIONAL	regular single branch
Z_omega d_A L_Omega and transfer T	flux F_o=L_Omega T/(Z_omega^3 d_A^2)	DERIVED_CONDITIONAL	regular branch and directional source luminosity
metric/query alone	transfer T=eta epsilon	OPEN	constructive character nonuniqueness
central radial spherical areal query	D_sky=R O and d_A squared=R squared	DERIVED_BOUNDED	exact static plus time-live central two-jet banked; finite-radius time-live open
processed release redshift	Z_omega frequency slot	OBSERVED_CONDITIONAL	release coordinate adoption not raw one-ray identity
transparent null momentum transfer	d_L=Z_omega^2 d_A	CONDITIONAL	T=1/Z plus source convention
frozen P1 likelihood	effective chord Lambda=lambda_A	OBSERVED_CONDITIONAL	Lambda=R/sqrt(Z T); magnitude normalization and source calibration supplied
local G116 jet	finite or global relation	OPEN	higher jets history branch and completion unowned
complete evaluator	physical complete history	OPEN	evaluation does not select its input
