id	object	type	status	permitted_use	prohibited_inference
A01	owner primary global reading	bootstrap ontology	OWNER_STATED_WORKING	classify complete realized solutions	local equation
A02	owner stronger local reading	bootstrap ontology	OWNER_STATED_WORKING_SEPARATE_FORK	test substrate-sensitive stability architecture	derived density window
A03	no nonlocal insertion rule	method constraint	BINDING	reject fitted local density coupling	no restriction on derived global variation
A04	pullback metric identity	differential geometry	DERIVED_KINEMATIC	establish global-to-local metric channel	preferred embedding
A05	complete angular coframe	UDT registered geometry	EXACT_REGISTERED_INPUT	instantiate angular and shift channels	on-shell universe
A06	spin-two shear axis	local chart object	LOCAL_CHART_CANDIDATE	test section compatibility	physical phase
A07	shift connection curvature holonomy	bundle geometry	DERIVED_OR_CONDITIONAL	track global descent data	selected phase
A08	twelve completion classes	global taxonomy	BOUNDED_REGISTERED	keep alternatives and constraints	complete exhaustive topology theorem
A09	round S2 carrier	internal target	POSIT	conditional response probe	native emergence
A10	L2+L4 action	matter functional	CONDITIONAL	exact background-response probe	native action
A11	static finite-box stability	numerical evidence	SETTLED_IN_STATED_PREMISES	retain fixed-background result	time-live or substrate-varying theorem
A12	common scale q	metric representative datum	CSN_OR_POSTSCALE_DEPENDENT	separate homothety from shape	physical scale before selection
A13	total proper density	global output	WORKING_TYPED_DEFINITION	define after native M and V	local primitive coupling
A14	GR density-curvature law	comparison structure	REFERENCE_ONLY	contrast or readout	affirmative UDT physics
A15	simultaneous fixed-point loop	future contract	OPEN_TYPE_CORRECT	identify missing arrows	equation or solution
