source_path	sha256	role	authority
UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	ce14075bad1ff4b6ea9b41e35dc6b63dfc5a9ae13478bd57c80b1502f33fb540	owner primary and stronger bootstrap readings	OWNER_STATED_WORKING
bootstrap_variation_selector_2026-07-18/SHA256SUMS.txt	cad3c4f0dccc1599c5b4ff48c6adafa32fb64b590e4ef4f0f6e20e5e96de9bed	variation-placement nonselection and three future roles	VERIFIED_WITH_CAVEATS
matter_bootstrap_dimensional_inventory_2026-07-20/SHA256SUMS.txt	716c2ad9c071a49f75b4c340d6d980d75cfc0a48b0923c39e0cf3d100759ae77	conditional coefficient ruler and matter dimensional inventory	VERIFIED_WITH_CAVEATS
scale_breaking_closure_census_2026-07-20/SHA256SUMS.txt	53996dfcc0fb9cef29422ff94908fe71aaed32703d49e70e2d6d7f01aa19fe84	density compactness circularity and scale limits	VERIFIED_WITH_CAVEATS
udt_global_metric_assembly_atlas_2026-07-22/SHA256SUMS.txt	d4c7e7e16e38496343bbfbc8ef0867de45657ea2e25a724b44b653ff1b276374	complete metric completion and density circularity atlas	VERIFIED_WITH_CAVEATS
udt_coframe_hopf_bridge_audit_2026-07-23/MANIFEST.sha256	ee35787b41fbca774031080c1c12a4c0fe01dc820abdeb444e1977d58bbb0b1b	complete angular coframe and conditional Hopf bridge	VERIFIED_WITH_CAVEATS
udt_hopf_transport_bootstrap_dependency_audit_2026-07-23/SHA256SUMS.txt	95b69c6400aa60923126b1be4e84511876475791b49ba47a08d57db115078360	topology transport and current bootstrap role	VERIFIED_WITH_CAVEATS
udt_hopf_realization_deformation_audit_2026-07-23/SHA256SUMS.txt	b1b69eb7a1aa1bfbc747f85d51c59cb835d1206c77a5be81d3eac993ee910e2b	rank-one bridge shear phase candidate shift connection	VERIFIED_WITH_CAVEATS
native_hopfion_topology_audit_2026-07-19/SHA256SUMS.txt	6f03f82d485d4a20c2d2bfc13dc8979c1b229bf92c53f0eb36831abf3d75febc	conditional full 3D Hopf-capable implementation	VERIFIED_WITH_CAVEATS
stability_branch_follow_256_DECISION.md	9806bc8f61b94109080699f00d8a758f1afc935db18a11f07dbe7365a61811d5	static finite-box stability decision	DURABLE_SCOPED_EVIDENCE
noNull_energy.py	53110844b3925b9b46bb48a3865f1bf9f60290efdd01a5830e0e388aeb477444	conditional corrected L2+L4 implementation	DURABLE_SCOPED_EVIDENCE
noNull_behavioral_F_results.md	ea4e522cef2a04973806ac1aed714c0a2f20badd1766c656d108594298d1c98d	static behavioral endpoint evidence	DURABLE_SCOPED_EVIDENCE
