id	premise	status	use_in_audit	not_supplied
P01	The metric is the theory	FOUNDING	All native channels must descend from complete metric/coframe data	No matter equation follows by slogan
P02	Reciprocal UDT kinematics	DERIVED_WITH_PREMISES	Retained without rederivation	Complete action source and scale
P03	Common-Scale Neutrality	FOUNDING	Distinguish pre-scale gauge orbit from post-scale physical representative	Representative-selection law
P04	Finite mirrored cell	CANONIZED_BINDING	Global arena and completion constraints	Selected completion and differentiable boundary action
P05	Global bootstrap narrow density principle	OWNER_STATED_WORKING	Primary global and stronger local readings kept separate	Window center width or operator
P06	Global self-consistency before chosen background	OWNER_STATED_WORKING	Test typed simultaneous closure architecture	Off-shell bootstrap functional
P07	Complete registered coframe	EXACT_REGISTERED_INPUT	Three base three angular four shifts plus phi are retained	On-shell global solution
P08	Twelve completion classes	BOUNDED_REGISTERED_TAXONOMY	All retained without preference	Exhaustiveness beyond registered classes
P09	Local three-dimensional embedding or slice	FREE_AND_EXPLORED	Used abstractly through pullback	Preferred foliation or physical micro domain
P10	Angular shear spin-two axis	LOCAL_CHART_CANDIDATE	Test substrate-sensitive section data	Descended phase section
P11	Shift difference connection	DERIVED_IN_CHART	Test curvature and holonomy channel	Physical phase or connection selection
P12	Intrinsic celestial sphere	S2_FIBER_DERIVED	Retained as fiber geometry	Carrier section round target and transport
P13	Round internal S2 carrier	POSIT	Conditional response probe only	Native emergence
P14	L2+L4 functional	CONDITIONAL	Exact metric response probe only	Native action or coefficient derivation
P15	xi and kappa coefficients	CONDITIONAL_FREE	Kept symbolic	Physical values or density dependence
P16	Static finite-box stability	VERIFIED_IN_STATED_PREMISES	Regrade only for background scope	Time-live or global-substrate stability
P17	Total proper density	WORKING_GLOBAL_OUTPUT	Typed as M_tot/V_proper after both exist	Local coupling or numerical value
P18	Density-curvature relation	OPEN	No relation assumed	GR field equation or invented UDT equation
P19	Native mass source and total ledger	OPEN	Required undefined fixed-point arrow	Any readout promoted to native
P20	Physical representative and absolute scale	OPEN	Distinguish from CSN orbit	Bootstrap selection map
P21	Bootstrap varied functional or selection map	OPEN	Typed future alternatives only	Existence uniqueness or formula
P22	CPU exact symbolic and rational checks	CATEGORY_A_TECHNIQUE	Verification	Physics authority
P23	July-1 provenance firewall	BINDING	Pre-firewall material cannot supply affirmative UDT physics	No exception
P24	No direct global-density insertion	BINDING_OWNER_RULE	Reject fitted local coupling or cutoff	Derived global-to-local law remains open
