id	channel	origin	outcome	reason	matter_closure
C01_PULLBACK_METRIC	global g to induced h=iota*g	complete metric and arbitrary embedding	METRIC_NATIVE_KINEMATIC_CHANNEL_WITH_EMBEDDING_SCOPE	For a fixed embedding h=E^T g E and delta_h=E^T delta_g E; a preferred physical embedding is not selected.	NOT_CLOSED
C02_PULLBACK_VOLUME	global g to local and global proper measure	complete metric and completion	GEOMETRIC_AFTER_COMPLETION_AND_REPRESENTATIVE	Proper measure follows from the induced metric but total volume needs a selected slice completion and physical representative.	NOT_CLOSED
C03_ANGULAR_DEPTH	global phi/angular depth to local angular metric	complete angular coframe	REGISTERED_COFRAME_SHAPE_CHANNEL_PHYSICAL_OWNERSHIP_OPEN	The determinant-normalized angular block depends on reciprocal depth without selecting its carrier interpretation.	NOT_CLOSED
C04_ANGULAR_SHEAR	global angular shear to spin-two axis	complete angular coframe	LOCAL_CHART_PHASE_CANDIDATE_NOT_DESCENDED	Shear changes the spin-two axis away from isotropy but does not define a global physical phase.	NOT_CLOSED
C05_SHIFT_CONNECTION	global shifts to phase comparison	complete coframe	PHASE_CONNECTION_DERIVED_IN_CHART	The shift difference b combines with ddelta to form an invariant phase differential; delta itself is not selected.	NOT_CLOSED
C06_SHIFT_CURVATURE	global shift jets to db	complete coframe	GAUGE_INVARIANT_CURVATURE_CHANNEL	db is unchanged by b to b-dlambda and can carry global substrate information.	NOT_CLOSED
C07_SHIFT_HOLONOMY	global completion to period of b	periodic or noncontractible base	GLOBAL_HOLONOMY_COMPATIBILITY_CHANNEL	Periods of b constrain global descent when the base is not contractible.	NOT_CLOSED
C08_COMPLETION_CAPS	global endpoint completion to allowed sections	all twelve registered classes	COMPLETION_DEPENDENT_SECTION_CONSTRAINT	Caps and physical boundaries constrain regularity and framing but select no matter branch.	NOT_CLOSED
C09_COMPLETION_MONODROMY	torus gluing to phase descent	all twelve registered classes	MONODROMY_DEPENDENT_DESCENT_CONSTRAINT	GL2Z and orientation data constrain phase descent but are not selected.	NOT_CLOSED
C10_COMMON_CONSTANT_SCALE	constant q homothety to conditional micro energy	conditional L2+L4 and scaled shapes	PURE_HOMOTHETY_DOES_NOT_REMOVE_COEFFICIENT_RULER	For the scaled shape q changes coordinate size inversely; physical size and optimum energy retain the xi-kappa ruler.	NOT_CLOSED
C11_NONCONSTANT_SCALE_PROFILE	q(x) profile to conditional energy density	conditional L2+L4	CONDITIONAL_POSTSCALE_BACKGROUND_RESPONSE	For the supplied action the pointwise E2 and E4 weights are q and q^-1; physical use requires a selected representative.	NOT_CLOSED
C12_SCALE_GRADIENT_OPERATOR	grad q to local Euler operator	minimal scalar and conditional carrier analogy	CONDITIONAL_OPERATOR_GRADIENT_RESPONSE	A nonconstant q enters the local Euler operator through grad(log q); this is an exact response witness, not a native matter law.	NOT_CLOSED
C13_ANISOTROPIC_METRIC_RESPONSE	delta h to E2 stress response	conditional L2	CONDITIONAL_ANISOTROPIC_E2_RESPONSE	The E2 metric variation is generically nonzero and depends on the full induced metric.	NOT_CLOSED
C14_FOUR_DERIVATIVE_METRIC_RESPONSE	delta h to E4 stress response	conditional L4	CONDITIONAL_ANISOTROPIC_E4_RESPONSE	The E4 metric variation is generically nonzero and has the opposite conformal trace weight in three dimensions.	NOT_CLOSED
C15_BOUNDARY_TO_STABILITY	global cell size/shape to finite-box branch	existing fixed-box result	FIXED_BACKGROUND_SCOPE_DEPENDENCE	The existing Hessian and basin evidence holds for its supplied flat finite box and does not test substrate-varying stability.	NOT_CLOSED
C16_GLOBAL_CURVATURE_TO_MICRO	global curvature invariants to local operator	metric only unless operator derived	OPEN_NO_NATIVE_CURVATURE_TO_MATTER_LAW	Curvature is metric-native but no current native matter operator states how it controls carrier existence.	NOT_CLOSED
C17_PHI_PROFILE_TO_MICRO	global phi profile to local geometry	complete metric	METRIC_NATIVE_PHI_TO_LOCAL_GEOMETRY_CHANNEL	The complete coframe makes the phi profile part of local angular geometry; its matter interpretation remains open.	NOT_CLOSED
C18_AFTER_SOLUTION_WINDOW	rho window filters complete solutions	owner primary reading	WORKING_PRIMARY_GLOBAL_ADMISSIBILITY	This is the presently explicit primary owner reading and current implemented role.	NOT_CLOSED
C19_STRONG_LOCAL_WINDOW	rho-correlated substrate changes local stability	owner stronger fork	WORKING_HYPOTHESIS_CHANNEL_ARCHITECTURE_EXISTS_DEPENDENCE_OPEN	Global geometry can reach micro geometry and a conditional operator, but no derived rho-to-geometry or native stability law closes the fork.	NOT_CLOSED
C20_SIMULTANEOUS_FIXED_POINT	global geometry matter mass volume density solved together	typed future closure	OPEN_NATIVE_SIMULTANEOUS_CLOSURE	The noncircular architecture is type-correct but native matter, mass, boundary and feedback arrows are absent.	NOT_CLOSED
C21_VARIED_GLOBAL_CONSTRAINT	bootstrap functional contributes to variation	future B functional	OPEN_CONDITIONAL_FORM_NOT_PRESENT	No bootstrap functional B and variation domain are currently supplied.	NOT_CLOSED
C22_SELECTION_MAP	bootstrap selects representative/section	future Sigma	OPEN_CONDITIONAL_FORM_NOT_PRESENT	No Sigma map selecting representative or section is currently supplied.	NOT_CLOSED
C23_DIRECT_DENSITY_COUPLING	rho_tot inserted into local action	forbidden candidate	REJECTED_DIRECT_INSERTION	The owner rule forbids inserting global average density as a fitted local coupling or cutoff.	NOT_CLOSED
C24_GR_DENSITY_CURVATURE	Einstein relation supplies substrate response	comparison only	REJECTED_AS_UDT_DERIVATION	A GR density-curvature equation may be a comparison but cannot provide affirmative UDT physics.	NOT_CLOSED
