shape_id	c0	c1	c2	polynomial	normalization_M	normalized_c0	normalized_c1	normalized_c2	center_q_order_in_s	center_h_order_in_x	center_B_order_in_x	endpoint_zero_order_in_s	open_root_count_distinct	open_root_count_multiplicity	open_odd_root_count	open_even_root_count	open_roots_exact	sign_pattern_open_interval	interior_extrema_exact	normalization_candidates	center_value_normalized	endpoint_value_normalized	behavior_class	stratum_code	reflection_class	physical_status
S01	0	0	1	s**2	1	0	0	1	2	6	10	0	0	0	0	0	-	+	-	0;1	0	1	CENTER_OFF_NO_INTERIOR_ROOT	C2_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S02	0	1	-2	-2*s**2 + s	1	0	1	-2	1	4	6	0	1	1	1	0	1/2@1	+,-	1/4:1/8	0;1/4;1	0	-1	INTERIOR_SIGN_CHANGE	C1_E0_O1_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S03	0	1	-1	-s**2 + s	1/4	0	4	-4	1	4	6	1	0	0	0	0	-	+	1/2:1	0;1/2;1	0	0	ZERO_BOTH_BOUNDARIES_NO_INTERIOR_ROOT	C1_E1_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S04	0	1	0	s	1	0	1	0	1	4	6	0	0	0	0	0	-	+	-	0;1	0	1	CENTER_OFF_NO_INTERIOR_ROOT	C1_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S05	0	1	1	s**2 + s	2	0	1/2	1/2	1	4	6	0	0	0	0	0	-	+	-	0;1	0	1	CENTER_OFF_NO_INTERIOR_ROOT	C1_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S06	0	1	2	2*s**2 + s	3	0	1/3	2/3	1	4	6	0	0	0	0	0	-	+	-	0;1	0	1	CENTER_OFF_NO_INTERIOR_ROOT	C1_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S07	0	2	-1	-s**2 + 2*s	1	0	2	-1	1	4	6	0	0	0	0	0	-	+	-	0;1	0	1	CENTER_OFF_NO_INTERIOR_ROOT	C1_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S08	0	2	1	s**2 + 2*s	3	0	2/3	1/3	1	4	6	0	0	0	0	0	-	+	-	0;1	0	1	CENTER_OFF_NO_INTERIOR_ROOT	C1_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S09	1	-2	-2	-2*s**2 - 2*s + 1	3	1/3	-2/3	-2/3	0	2	2	0	1	1	1	0	-1/2 + sqrt(3)/2@1	+,-	-	0;1	1/3	-1	INTERIOR_SIGN_CHANGE	C0_E0_O1_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S10	1	-2	-1	-s**2 - 2*s + 1	2	1/2	-1	-1/2	0	2	2	0	1	1	1	0	-1 + sqrt(2)@1	+,-	-	0;1	1/2	-1	INTERIOR_SIGN_CHANGE	C0_E0_O1_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S11	1	-2	0	1 - 2*s	1	1	-2	0	0	2	2	0	1	1	1	0	1/2@1	+,-	-	0;1	1	-1	INTERIOR_SIGN_CHANGE	C0_E0_O1_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S12	1	-2	1	s**2 - 2*s + 1	1	1	-2	1	0	2	2	2	0	0	0	0	-	+	-	0;1	1	0	ENDPOINT_TAPER_NO_INTERIOR_ROOT	C0_E2_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S13	1	-2	2	2*s**2 - 2*s + 1	1	1	-2	2	0	2	2	0	0	0	0	0	-	+	1/2:1/2	0;1/2;1	1	1	PERSISTENT_SIGN_NO_INTERIOR_ROOT	C0_E0_O0_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S14	1	-1	-2	-2*s**2 - s + 1	2	1/2	-1/2	-1	0	2	2	0	1	1	1	0	1/2@1	+,-	-	0;1	1/2	-1	INTERIOR_SIGN_CHANGE	C0_E0_O1_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
S15	1	-1	-1	-s**2 - s + 1	1	1	-1	-1	0	2	2	0	1	1	1	0	-1/2 + sqrt(5)/2@1	+,-	-	0;1	1	-1	INTERIOR_SIGN_CHANGE	C0_E0_O1_T0	Q_TO_MINUS_Q_SAME_ROOT_MULTIPLICITY_AND_METRIC_SIGNATURE	CHOSE_CONTROL_NOT_SELECTED
