premise	status	owner	role	forbidden_promotion
Lorentz metric and axial F01/F02 envelope	pinned-by-HISTORICAL_CONTROL	G68/G74	complete 4D control arena	generic ten-function metric or physical cosmology
regular-center even jets	pinned-by-THEORY	N03 and G74	Cartesian center admissibility	profile selection
c_E	OBSERVED_CALIBRATION	founding metric	clock/ruler units	profile or scale selector
R positive symbolic	free-and-explored	G75	common radial unit	universe size or Xmax
three lapse coefficients	CHOSE_CONTROL	G68 continuity	bounded lapse bracket	physical curvature selection
49 primitive quadratic rays	CHOSE_ENUMERATION	G75 preregistration	role-neutral shape atlas	complete smooth function space
four normalized amplitudes	CHOSE_CONTROL	G75 preregistration	bounded mixing-strength bracket	observational fit
negative mixing reflection	DERIVED_CONDITIONAL_ON_AXIAL_CHART	G68 reflection	retain sign partner analytically	discarded physical branch
source endpoint scale spectrum	OPEN_INACTIVE	current premise ledger	outside G75	selector or fit
bootstrap Xmax action matter	WORKING_OR_OPEN_INACTIVE	current premise ledger	outside G75	current family owner

