profile_id	lapse_name	lapse_a	shape_id	amplitude	q_of_s	max_abs_q	center_h_order_in_x	center_B_order_in_x	endpoint_q	behavior_class	center_status	signature_status	lapse_min	reflection_partner	physical_status
G75_F01_AM	AM	-1/4	ZERO	0	0	0	INFINITE_ZERO	INFINITE_ZERO	0	ZERO_MIXING_CONTROL	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	SELF	CHOSE_CONTROL_NOT_SELECTED
G75_F01_A0	A0	0	ZERO	0	0	0	INFINITE_ZERO	INFINITE_ZERO	0	ZERO_MIXING_CONTROL	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	SELF	CHOSE_CONTROL_NOT_SELECTED
G75_F01_AP	AP	1/4	ZERO	0	0	0	INFINITE_ZERO	INFINITE_ZERO	0	ZERO_MIXING_CONTROL	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	SELF	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S01_E05	AM	-1/4	S01	1/20	s**2/20	1/20	6	10	1/20	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S01_E05	A0	0	S01	1/20	s**2/20	1/20	6	10	1/20	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S01_E05	AP	1/4	S01	1/20	s**2/20	1/20	6	10	1/20	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S01_E20	AM	-1/4	S01	1/5	s**2/5	1/5	6	10	1/5	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_A0_S01_E20	A0	0	S01	1/5	s**2/5	1/5	6	10	1/5	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AP_S01_E20	AP	1/4	S01	1/5	s**2/5	1/5	6	10	1/5	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	1	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
G75_AM_S01_E50	AM	-1/4	S01	1/2	s**2/2	1/2	6	10	1/2	CENTER_OFF_NO_INTERIOR_ROOT	CENTER_C_INFINITY	LORENTZ_REGULAR_ALL_X	3/4	NEGATIVE_Q_VIA_PSI_REFLECTION	CHOSE_CONTROL_NOT_SELECTED
