object	status	owner	what_is_owned	what_is_not_owned
c_E	OBSERVED_CALIBRATION	founding metric	clock/ruler unit conversion	profile or global-scale selection
R	OPEN_SYMBOLIC	G75 control chart	positive common radial unit	universe size or X_max
A=1+a*x^2	CHOSE_CONTROL	G68/G75	three bounded positive lapse controls	physical lapse or curvature
h=x^2*q(x^2)	DERIVED_CENTER_REGULAR_FORM	G74 regularity audit	an axial mixing form smooth at the Cartesian center	complete generic angular sector
49 primitive rays	CHOSE_ENUMERATION	G75 preregistration	complete frozen projective quadratic shape universe	complete smooth-profile space
four amplitudes	CHOSE_CONTROL	G75 preregistration	bounded normalized mixing strengths	observational coefficient or fit
q-to-minus-q reflection	DERIVED_CONDITIONAL_ON_AXIAL_CHART	G68/G75	root/signature-equivalent reflection partner	physical orientation selection
shape strata	DERIVED_WITHIN_FROZEN_UNIVERSE	G75 exact algebra	root multiplicity, boundary order, and sign classes	physical regime assignment
Lorentz regularity	DERIVED_WITHIN_AXIAL_ENVELOPE	G75 Schur complement	one timelike direction on the full control interval	field equation or dynamical viability
physical source/endpoint/profile	OPEN_NO_OWNER	current premise ledger	nothing in G75	all physical selection
sky response/spectrum/polarization	OPEN_INACTIVE	current CMB program	nothing in G75	CMB prediction
bootstrap/action/matter	OPEN_OR_WORKING_INACTIVE	current premise ledger	nothing in G75	dynamical completion
