premise_id	term	current_status	epistemic_label	active_use	open_scope	forbidden_regression	controlling_source	precedence_rule
G312	quiet_gr_response_constitution_discriminator	EXTERNALLY_ACCEPTED_WITH_TWO_PREMISE_BOUNDARY__PREREGISTERED_AT_0C139B1C__FRESH_REVIEW_G312_REPAIRABLE_DEFECTS_LANDING_RETAINED__REPAIR_PREREGISTERED_AT_8175B112__PACKAGING_REPAIR_BANKED_AT_F68F1F2D__REPAIR_FOLLOWUP_G312_ACCEPTED_WITH_TWO_PREMISE_BOUNDARY__TF_G_A_RIC_PLUS_B_R_G_EQUALS_A_S__NONZERO_RICCI_COEFFICIENT_REQUIRED__GR_SOLUTION_OVERLAP_DOES_NOT_IMPLY_FULL_QUIET_PRINCIPAL_OVERLAP__LOCAL_CURVATURE_QUADRATIC_WITNESS__FULL_QUIET_GR_PRINCIPAL_OVERLAP_DOES_NOT_IMPLY_LOCALITY__SCALE_FREE_CAUSAL_NONLOCAL_METRIC_HISTORY_WITNESS__TWO_LOGICALLY_INDEPENDENT_PREMISES__HISTORICAL_TWO_PREMISE_ADOPTION_2026_09_01_PRESERVED__CURRENT_OWNER_CLARIFICATION_2026_09_09_GR_FILTER_ONLY_NOT_RESPONSE_LAW_INPUT__LOCAL_METRIC_SUFFICIENCY_EQUIVALENT_LOCAL_FINITE_JET_RESPONSE_CONSTITUTION_AFFIRMED_OWNER_PROVISIONAL__NOT_DERIVED__NOT_CANON__BOUNDED_G301_TRACEFREE_RICCI_CLOSURE_CONDITIONAL_NOT_ESTABLISHED_FROM_FILTER_ONLY_GR__4690_PRODUCTION_CHECKS__4824_DEPENDENCY_FREE_INDEPENDENT_CHECKS__6_SEMANTIC_REGRESSION_CATCHES__NO_METRIC_KERNEL_ANGULAR_OBSERVATION_SOURCE_ACTION_MATTER_MASS_SCALE_XMAX_OR_PROTECTED_INPUT	MIXED	CURRENT_GR_FILTER_ONLY_NOT_RESPONSE_LAW_INPUT__LOCAL_METRIC_SUFFICIENCY_AFFIRMED_OWNER_PROVISIONAL__G312_CLASS_MEMBERSHIP_ROUTE_UNCLOSED_UNDER_FILTER_ONLY_GR__REVIEWED_G301_TRACEFREE_RICCI_MATHEMATICS_CONDITIONAL	independent response-class membership route under filter-only GR; comparison-filter domain and survivor rule not specified by this reconciliation; covariant extension beyond the registered regular local smooth metric-only scale-free vacuum arena; derivative-order ownership outside existing gates; scalar curvature magnitude and sign; lawful data; topology and boundary completion; global bootstrap or admissibility law; realized history; pair and query population; source action matter mass observation scale and physical Xmax	owner-adopted premises called derived canonized or observationally proved; affirmed DDR or Local Metric Sufficiency omitted or demoted to unadopted; stronger full quiet GR principal overlap restored as a current response-law input; conditional mathematics blanket-retracted or upgraded to unconditional UDT law; unclosed existing route called proof that a new premise is necessary or independent closure impossible; Local Metric Sufficiency called proof that global bootstrap is impossible or that the local metric is independent of global construction; identical admitted local jets allowed different vacuum responses solely by a hidden remote-history label; bounded trace-free Ricci closure called a selected universe global history fixed scalar scale or physical Xmax; conditional scope extended to singular auxiliary source or matter sectors; metric kernel or angular cancellation called changed; loud quiet loud attributed to reciprocity or the G312 premises	udt_g312_quiet_gr_response_constitution_discriminator_2026-09-01/AUDIT_REPORT.md	OWNER_CLARIFICATION_2026_09_09_SUPERSEDES_STRONGER_CURRENT_GR_BUILDING_AUTHORITY_NOT_HISTORICAL_APPROVAL_OR_MATHEMATICAL_EVIDENCE__GR_FILTER_ONLY__LOCAL_METRIC_SUFFICIENCY_AFFIRMED_OWNER_PROVISIONAL_NOT_DERIVED_NOT_CANON__INHERITED_G312_ADMITTED_LAWFUL_AND_OWNER_PROVISIONAL_LABELS_ARE_CONDITIONAL_ON_FULL_REVIEWED_PREMISES_NOT_ESTABLISHED_FROM_FILTER_ONLY_GR__ORIGINAL_G312_SOURCE_OWNS_MATHEMATICAL_GRADE__CURRENT_AUTHORITY_udt_gr_filter_reconciliation_2026-09-09/AUTHORITY_RECORD.md__LIVE_THEN_THIS_REGISTRY_THEN_CURRENT_AUTHORITY_RECORD_THEN_HISTORICAL_G312_ADOPTION__CONFLICT_MEANS_STOP
G311	universal_reciprocity_full_covariant_response	EXTERNALLY_ACCEPTED_WITH_RESPONSE_CONSTITUTION_BOUNDARY__PREREGISTERED_AT_AB93CF6E__FRESH_REVIEW_G311_REPAIRABLE_DEFECTS_SCIENTIFIC_LANDING_UPHELD__REPAIRS_PREREGISTERED_AT_30070CB8__REPAIR_FOLLOWUP_G311_ACCEPTED_WITH_RESPONSE_CONSTITUTION_BOUNDARY__ALL_LOCAL_ORTHONORMAL_TIMELIKE_SPACELIKE_PAIR_GERMS_REALIZABLE__RECIPROCAL_TANGENT_SPAN_RANK_NINE__FULL_RANK_DDR_GIVES_TF_G_E_ZERO_EQUIVALENT_E_LAMBDA_X_G__POINTWISE_DDR_DOES_NOT_FIX_LAMBDA__RESPONSE_CONSTITUTION_REMAINS_OPEN__CONDITIONAL_G301_NONZERO_RICCI_COEFFICIENT_GIVES_RIC_MINUS_R_OVER_4_G_ZERO__BIANCHI_GIVES_ONE_CONNECTED_CONSTANT_SCALAR__TWO_LOCAL_METRIC_CONFIGURATION_DOF__FLRW_WEYL_QUADRATIC_COUNTERRESPONSE_PROVES_OUTSIDE_G301_NONSELECTION__24_PRODUCTION_CHECKS__14_DEPENDENCY_FREE_INDEPENDENT_CHECKS__6_SHARED_CODE_REGRESSION_CATCHES__NO_METRIC_KERNEL_ANGULAR_OBSERVATION_SOURCE_ACTION_MATTER_MASS_SCALE_XMAX_OR_PROTECTED_INPUT	MIXED	ACTIVE_REGULAR_LOCAL_FOUR_DIMENSIONAL_ALL_PAIR_UNIVERSAL_RECIPROCITY_RESPONSE_SHAPE_THEOREM_AND_CONDITIONAL_G301_EINSTEIN_SPACE_DYNAMICS_ONLY	whether UDT owns the G301 smooth scale-free local metric-only symmetric curvature-order response constitution with nonzero Ricci coefficient; higher-order nonlocal auxiliary parity-odd source-dependent and singular response architectures; differential identity for the surviving trace; global actual pair population; initial topology boundary completion and realized history; scalar magnitude and sign; observation source matter mass scale and physical Xmax	response-shape theorem called a unique response constitution or unconditional trace-free Ricci field equation; E equals lambda g called E zero; pointwise DDR called proof lambda is constant; conditional G301 Einstein-space dynamics called founded canon or uniquely realized universe; two metric degrees of freedom called missing arbitrary profile; FLRW Weyl-quadratic counterresponse erased or misrepresented as refuting G301; shared-code hostile harness called independent confirmation; metric kernel angular cancellation observation source action matter mass fit scale Xmax or protected work imported	udt_g311_universal_reciprocity_full_covariant_response_2026-09-01/AUDIT_REPORT.md	G311_EXTERNALLY_ACCEPTS_UNDER_OWNER_ADOPTED_PROVISIONAL_UNIVERSAL_RECIPROCITY_THAT_ALL_REGULAR_LOCAL_PAIR_PLANES_FORCE_ONLY_THE_TRACEFREE_SHAPE_OF_ANY_SUPPLIED_SYMMETRIC_RESPONSE_TO_VANISH__RESPONSE_CONSTITUTION_REMAINS_OPEN__INSIDE_SEPARATELY_CONDITIONAL_G301_NONDEGENERATE_RESPONSE_LANE_THE_RESULT_IS_EINSTEIN_SPACE_DYNAMICS_WITH_ONE_CONNECTED_SCALAR_AND_TWO_LOCAL_METRIC_CONFIGURATION_DOF__NO_UNIQUE_GLOBAL_HISTORY_SCALE_OR_PHYSICAL_XMAX__LIVE_THEN_THIS_REGISTRY_THEN_G311__CONFLICT_MEANS_STOP
G310	differential_dual_reciprocity_tracefree_ownership	EXTERNALLY_VERIFIED_AFTER_PREREGISTERED_EVIDENCE_REPAIRS__PREREGISTERED_AT_2ECD25F4__REPAIRS_PREREGISTERED_AT_71F45256__REPAIRS_BANKED_AT_A57F05B8__REPAIR_FOLLOWUP_G310_R1_R2_REPAIRS_ACCEPTED_SCIENTIFIC_LANDING_UNCHANGED__ONE_NEW_DIFFERENTIAL_DUAL_RECIPROCITY_POSTULATE_SELECTS_G301_TRACEFREE_CLASS__NOT_DERIVED__OWNER_PROVISIONALLY_ADOPTED_BY_CHARLES_ROTTER_2026_08_31__NOT_CANON__ALL_PAIR_RECIPROCAL_SHAPE_SPAN_RANK_NINE__ANNIHILATOR_SPAN_G_AB__NONDEGENERATE_G301_STRATUM_GIVES_S_AB_ZERO__ONE_CONNECTED_SCALAR_DATUM_REMAINS__14_PRODUCTION_CHECKS__32_INDEPENDENT_CHECKS__7_HOSTILE_MUTATIONS__NO_METRIC_KERNEL_OBSERVATION_SOURCE_ACTION_MATTER_SCALE_XMAX_OR_PROTECTED_INPUT	MIXED	ACTIVE_BOUNDED_LOCAL_FOUR_DIMENSIONAL_ALL_PAIR_DIFFERENTIAL_RECIPROCITY_PROVISIONAL_POSTULATE_AND_CONDITIONAL_SUFFICIENCY_THEOREM_INSIDE_G301_RESPONSE_CLASS_ONLY	covariant extension beyond the bounded conditional G301 arena; canonization; whether all algebraically admissible planes are physically populated; validity of G301 locality metric-only order and response typing; scalar curvature magnitude and sign outside bounded downstream controls; realized global history; source matter mass population observation scale and physical Xmax; higher-order nonlocal auxiliary parity-odd and singular sectors	Universal Reciprocity and DDR falsely split into separate unresolved premises; DDR called derived from algebraic Dual Reciprocity; provisional adoption called canonization proof or observational validation; owner adoption omitted or demoted to unadopted candidate; trace-free Ricci called selected without conditional G301 arena and nonzero Ricci coefficient; pure trace response called zero response; one scalar datum called fixed scale or realized history; loud quiet loud attributed to DDR rather than angular cancellation; action source matter mass fit Xmax or protected work imported; metric or kernel change claimed	udt_g310_differential_dual_reciprocity_tracefree_ownership_2026-08-31/AUDIT_REPORT.md	OWNER_ADOPTION_2026_08_31_SUPERSEDES_ONLY_THE_HISTORICAL_UNADOPTED_GRADE__G310_EXTERNAL_EVIDENCE_STILL_CONTROLS_THE_BOUNDED_CONSISTENCY_AND_CONDITIONAL_SUFFICIENCY_THEOREM__DDR_IS_NOT_DERIVED_OR_CANON__SELECTS_NO_MAGNITUDE_REALIZED_HISTORY_POPULATION_MASS_SCALE_OR_PHYSICAL_XMAX__ANGULAR_CANCELLATION_SEPARATELY_OWNS_LOUD_QUIET_LOUD__LIVE_THEN_THIS_REGISTRY_THEN_G310_AND_ADOPTION_RECORD__CONFLICT_MEANS_STOP
G299	complete_relation_kernel_domain_ownership	EXTERNALLY_REVIEWED_REPAIRS_CLOSED__PREREGISTERED_AT_9FD16EE1__FRESH_GPT54_SELECTED_PREREGISTERED_LANDING_3__SCIENTIFIC_REPAIRS_R1_R4_VERIFIED__R5_DEPENDENCY_FREE_EXACT_REPLAY_VERIFIED__ACTIVE_PREMISES_REQUIRE_COMPLETE_CARRY_BUT_DO_NOT_TYPE_THE_KERNEL_DOMAIN__W5_OWNS_ONLY_COMPLETE_PROJECTIVE_FRAME_COMPONENT_AT_WORKING_GRADE__ROUTE_AND_HIGHER_DELAY_JACOBI_DATA_SEPARATELY_TYPED__JT_AND_JL_NATURAL_GAUGE_INEQUIVALENT_PROJECTIONS_RETAINED__W1_DEPTH_PHI_EQUAL_MINUS_LOG_R_ON_BOTH__NO_UNIQUE_DIRECT_G2_TRANSFER_DERIVED__QUERY_FACTORIZATION_COMPATIBLE_NOT_ACTIVE_PREMISE_OWNED__12600_PRODUCTION_CASES__50431_PRODUCTION_ASSERTIONS__20000_INDEPENDENT_CASES__200002_INDEPENDENT_ASSERTIONS__7_HOSTILE_CATCHES__9_SOURCE_HASHES__PYTHON_MINUS_S_REPLAY_BYTE_IDENTICAL__NO_HISTORY_POPULATION_OBSERVATION_ACTION_SOURCE_MATTER_SCALE_XMAX_OR_PROTECTED_INPUT	MIXED	ACTIVE_BOUNDED_REGULAR_ACTIVE_SCREEN_KERNEL_DOMAIN_OWNERSHIP_AND_QUERY_FACTORIZATION_AUDIT_ONLY	lawful natural query or germ subfunctor; whether another active premise types a proper projection family; physical observer route relation and query population; singular caustic and higher surface strata; global history residual lawful data operational distance observation transfer scale Xmax source matter action and completion	the whole G298 causal container called W5 position; rank-two germs declared a source-owned typed-query family; compatible factorization promoted to derived kernel architecture; equal W1 depth used to collapse planes or erase carry; JT or JL called uniquely physical; route labels or higher Jacobi data collapsed into position; local ownership audit called history selection; observation action source matter scale Xmax fit or protected work imported	udt_g299_complete_relation_kernel_domain_ownership_2026-08-29/AUDIT_REPORT.md	G299_EXTERNALLY_CLOSES_AFTER_SCIENTIFIC_AND_REPLAY_PORTABILITY_REPAIRS_THAT_ACTIVE_PREMISES_REQUIRE_THE_COMPLETE_PROJECTIVE_FRAME_CARRY_BUT_DO_NOT_YET_TYPE_THE_LAWFUL_KERNEL_QUERY_DOMAIN__W5_OWNS_ONLY_THE_COMPLETE_PROJECTIVE_FRAME_COMPONENT_AT_WORKING_GRADE__JT_AND_JL_REMAIN_NATURAL_DISTINCT_RANK_TWO_PROJECTIONS_WITH_SHARED_W1_DEPTH__NO_UNIQUE_DIRECT_G2_TRANSFER_OR_ACTIVE_PREMISE_OWNED_QUERY_SUBFUNCTOR_IS_DERIVED__THE_METRIC_AND_RECIPROCAL_KERNEL_FORMULAS_ARE_UNCHANGED__THIS_IS_LOCAL_ARCHITECTURE_NONCLOSURE_NOT_GENERIC_HISTORY_UNDERDETERMINATION__LIVE_THEN_THIS_REGISTRY_THEN_CITED_G299_SOURCE__CONFLICT_MEANS_STOP
G288	smooth_center_micro_regime_jet_interlock	EXTERNALLY_ACCEPTED_AFTER_REPAIRS__PREREGISTERED_AT_0D57F458__CURRENT_PRIMARY_STATIC_SPHERICAL_ANALYTIC_EVEN_SMOOTH_CENTER_GERM_ONLY__FROM_SCRATCH_FULL_METRIC_CONNECTION_RIEMANN_RICCI_SCREEN_RECONSTRUCTION__PARTIAL_CENTER_INTERLOCK_ONLY__QUADRATIC_NEGATIVE_PROFILE_GERM_ZERO_TIDE_CONSTANT_SECTIONAL_CURVATURE_K_EQUALS_MINUS_C__ANGULAR_TIDE_FIRST_AT_INDEPENDENT_QUARTIC_JET_WITH_LEADING_RATIO_FOUR_TO_ONE__CLOCK_ACCELERATION_SCALAR_CURVATURE_AND_GEOMETRIC_MASS_ASPECT_SHARE_C2__EXACT_CENTER_PHI_ZERO__NO_PLANCK_SCALE_HISTORY_PHYSICAL_MASS_SOURCE_ACTION_FIELD_EQUATION_OBSERVATION_XMAX_OR_PROTECTED_INPUT__22_PRODUCTION_CHECKS__18142_INDEPENDENT_EXACT_ASSERTIONS__4_OF_4_RECOMPUTING_HOSTILE_CATCHES__9_OF_9_ARTIFACT_SEMANTIC_GUARDS__192_TESTS_ONE_EXPECTED_XFAIL__REPAIR_ONLY_FOLLOWUP_ACCEPTED_NO_DEFECTS	MIXED	ACTIVE_BOUNDED_PRIMARY_ANALYTIC_EVEN_SMOOTH_CENTER_LOCAL_JET_INTERLOCK_ONLY	numerical c2 c4 and higher coefficients; absolute micro scale and whether any physical band lies near the Planck length; dependence on primary reciprocal B equals 1 over A versus general static spherical A B; nonspherical and time-live complete-germ extension; global negative trough or band; local rest mass physical total mass mass emergence source feedback dynamics history population observations and Xmax	old audits treated as proof rather than comparison targets; analytic-even bounded method widened to all centers topologies or histories; quadratic zero tide called absence of curvature or all UDT effects; geometric mu called physical mass; c_E f coordinate slope called local normalized signal speed; negative profile called negative distance or reversed pair arrow; Planck length Xmax observation source action field equation matter or protected work inserted; local coefficient hierarchy called selected global history	udt_g288_smooth_center_micro_regime_jet_interlock_2026-08-28/AUDIT_REPORT.md	G288_EXTERNALLY_ACCEPTED_AFTER_REPAIRS__FRESH_CURRENT_PRIMARY_METRIC_RECONSTRUCTION_DERIVES_THAT_EVERY_ANALYTIC_EVEN_SMOOTH_CENTER_GERM_IS_TANGENT_TO_AN_EXACT_ZERO_TIDE_CONSTANT_SECTIONAL_CURVATURE_QUADRATIC_FAMILY_WITH_K_EQUALS_MINUS_C__C2_CONTROLS_LEADING_CLOCK_ACCELERATION_SCALAR_CURVATURE_AND_GEOMETRIC_MASS_ASPECT_WHILE_CANCELING_FROM_BOTH_ANGULAR_CHANNELS__ANGULAR_AND_WEYL_DEPARTURE_BEGIN_AT_THE_INDEPENDENT_C4_JET_WITH_LEADING_ANGULAR_RATIO_FOUR_TO_ONE__THE_EXACT_CENTER_RETURNS_TO_PHI_ZERO__THIS_IS_A_PARTIAL_LOCAL_INTERLOCK_NOT_A_PLANCK_SCALE_PHYSICAL_MASS_GLOBAL_BAND_HISTORY_OR_VALUE_LAW__REPAIR_ONLY_FOLLOWUP_ACCEPTED_NO_DEFECTS__LIVE_THEN_THIS_REGISTRY_THEN_CITED_G288_SOURCE__CONFLICT_MEANS_STOP
W5	physical_normalized_projective_pair_position	OWNER_ADOPTED_WORKING_FOUNDATIONAL_CLARIFICATION__AUTHORIZED_BY_CHARLES_ROTTER_2026_08_26__NOT_CANON__PHYSICAL_NORMALIZED_PAIR_POSITION_IS_COMPLETE_SCREEN_RETAINING_PROJECTIVE_RELATION_STATE_ON_SUPPLIED_REGULAR_COMPLETED_RELATION__PLANAR_RADIAL_COMPONENT_TANH_DELTA__FULL_NONRADIAL_COMPOSITION_RETAINS_PATH_LABELLED_FRAME_MORPHISM_AND_SCREEN_CARRY__NO_METRIC_OR_KERNEL_CHANGE	WORKING	ACTIVE_WORKING_PHYSICAL_INTERPRETATION_OF_THE_COMPLETE_PROJECTIVE_OPEN_BALL_COORDINATE_ONLY	dimensional scale and same-object operational anchor; proper radar optical and areal distance relations; metric history; relation branch and path population; path independence; global realization; Xmax value profile supremum and completion; source action matter dynamics transfer aggregation and signalling	W5 called canon or F1-F4 derivation; projective vector called standalone full nonradial composition datum; screen frame carry or path labels erased; normalized position called proper radar optical or areal distance; c_E called standalone length selector; W5 said to select scale history population Xmax source action matter fit or observation	founding.md	W5_IS_CHARLES_OWNER_ADOPTED_WORKING_CLARIFICATION_AFTER_G273_G274_EXTERNAL_LANDINGS__IT_OVERRIDES_ONLY_THEIR_THEN_OPEN_PHYSICAL_POSITION_ADOPTION_STATUS__THEIR_MATHEMATICAL_SCOPE_AND_ALL_SCALE_HISTORY_POPULATION_PATH_AND_XMAX_GUARDS_REMAIN__LIVE_THEN_THIS_REGISTRY_THEN_FOUNDING_AND_CITED_G273_G274_SOURCES__CONFLICT_MEANS_STOP
G274	projective_pair_position_network_descent	EXTERNALLY_REVIEWED_BOUNDED_LEAD__NO_REPAIRS__PREREGISTERED__FULL_PATH_LABELLED_FRAME_MORPHISMS_DESCEND_EXACTLY__PROJECTIVE_OPEN_BALL_VECTOR_IS_VALID_PAIR_COORDINATE__VECTOR_ONLY_NONRADIAL_COMPOSITION_REFUTED__SCREEN_FRAME_CARRY_REQUIRED__RADIAL_MOBIUS_STRATUM_EXACT__26_EXACT_CHECKS__240004_INDEPENDENT_EXACT_ASSERTIONS__20000_ACTIVE_SCREEN_SEPARATORS__5_IMPLEMENTATION_AND_1_PROMOTION_CATCHES	MIXED	ACTIVE_BOUNDED_PATH_LABELLED_FRAME_MORPHISM_PROJECTIVE_OPEN_BALL_COORDINATE_AND_RADIAL_MOBIUS_DESCENT_ON_SUPPLIED_REGULAR_COMPLETED_RELATIONS_ONLY	physical adoption of projective position; dimensionful scale X; physical metric history; branch and path population; path independence or holonomy restriction; singular caustic and global completion strata; Xmax value profile realization and boundary; source matter action dynamics transfer aggregation and signalling	projective vector called a standalone universal nonradial composition law; screen frame carry erased; radial Mobius law widened to active-screen relations; concatenation called path independence; candidate position clarification called adopted or canon; scale history population Xmax observation fit source action matter or protected work imported	udt_g274_projective_pair_position_network_descent_2026-08-26/AUDIT_REPORT.md	G274_EXTERNALLY_ACCEPTS_WITH_NO_REPAIRS_THAT_FULL_PATH_LABELLED_FRAME_MORPHISMS_COMPOSE_REVERSE_AND_OVERLAP_DESCEND_EXACTLY__THE_PROJECTIVE_OPEN_BALL_VECTOR_IS_AN_EXACT_PAIR_COORDINATE_BUT_NOT_A_STANDALONE_NONRADIAL_COMPOSITION_LAW_BECAUSE_SCREEN_FRAME_CARRY_IS_REQUIRED__THE_COLLINEAR_RADIAL_STRATUM_RETAINS_EXACT_MOBIUS_COMPOSITION__PATH_LABELS_AND_HOLONOMY_REMAIN__PHYSICAL_POSITION_ATTACHMENT_SCALE_HISTORY_BRANCH_POPULATION_AND_XMAX_REMAIN_UNADOPTED_OR_OPEN__LIVE_THEN_THIS_REGISTRY_THEN_CITED_SOURCE__CONFLICT_MEANS_STOP
G273	projective_pair_distance_foundational_ownership	EXTERNALLY_REVIEWED_BOUNDED_LEAD__NO_REPAIRS__PREREGISTERED__FOUNDING_INTENT_OWNS_SEPARATION_TO_RECIPROCAL_RESPONSE_DIRECTION__STRICT_X_OVER_X_EQUALS_TANH_DELTA_ENTAILMENT_REFUTED__TANH_DELTA_UNIQUE_ONLY_IN_NORMALIZED_SCALE_FREE_LINEAR_FRACTIONAL_PROJECTIVE_CLASS__COMPLETE_OPEN_BALL_VECTOR_METRIC_NATIVE_ON_SUPPLIED_TRANSPORTED_RELATION__PHYSICAL_POSITION_ATTACHMENT_CANDIDATE_NOT_ADOPTED__23_EXACT_CHECKS__168000_INDEPENDENT_EXACT_ASSERTIONS__5_IMPLEMENTATION_AND_6_SCOPE_CATCHES	MIXED	ACTIVE_BOUNDED_FOUNDING_DISTANCE_OWNERSHIP_PROJECTIVE_CONTRAST_AND_COMPLETE_OPEN_BALL_COORDINATE_CLASSIFICATION_ONLY	physical adoption of projective position; distance definition and operational attachment; dimensionful scale X; physical metric history; branch and path population; global realization; Xmax value profile and boundary; source matter action dynamics transfer aggregation and signalling	weak boundedness requirements called unique tanh entailment; scoped projective uniqueness widened beyond the linear-fractional class; complete screen state erased; candidate clarification called derived adopted or canon; c_E said to supply standalone length; scale history population Xmax observation fit source action matter or protected work imported	udt_g273_projective_pair_distance_foundational_ownership_2026-08-26/AUDIT_REPORT.md	G273_EXTERNALLY_ACCEPTS_WITH_NO_REPAIRS_THAT_THE_FOUNDING_PROMPTS_OWN_THE_DIRECTION_FROM_OBSERVER_SEPARATION_TO_RECIPROCAL_DILATION_BUT_NOT_A_DISTANCE_FUNCTION_SCALE_HISTORY_POPULATION_OR_XMAX__STRICT_TANH_ENTAILMENT_FAILS_BY_A_SMOOTH_BOUNDED_COUNTERATTACHMENT__TANH_IS_UNIQUE_ONLY_INSIDE_THE_DECLARED_NORMALIZED_SCALE_FREE_LINEAR_FRACTIONAL_PROJECTIVE_CLASS__THE_SCREEN_RETAINING_OPEN_BALL_VECTOR_IS_METRIC_DATA_ON_A_SUPPLIED_RELATION__IDENTIFYING_IT_WITH_PHYSICAL_POSITION_IS_A_CANDIDATE_WORKING_FOUNDATIONAL_CLARIFICATION_NOT_ADOPTED__LIVE_THEN_THIS_REGISTRY_THEN_CITED_SOURCE__CONFLICT_MEANS_STOP
G272	complete_relation_rapidity_distance_ownership	EXTERNALLY_REVIEWED_BOUNDED_LEAD__NO_REPAIRS__PREREGISTERED__TRANSPORTED_RAPIDITY_ETA_PT_DERIVED_ON_SUPPLIED_REGULAR_RELATION__BOUNDED_MAGNITUDE_RHO_PT_EQUALS_TANH_ETA_PT__PLANAR_SIGNED_CHI_EQUALS_TANH_DELTA_EXACT_STRATUM__ACTIVE_SCREEN_STATE_PREVENTS_DELTA_ONLY_COMPLETENESS__DISTANCE_ATTACHMENT_CONDITIONAL__20_EXACT_CHECKS__168530_INDEPENDENT_EXACT_ASSERTIONS__5_IMPLEMENTATION_AND_6_SCOPE_CATCHES	MIXED	ACTIVE_BOUNDED_COMPLETE_RELATION_TRANSPORTED_RAPIDITY_BOUNDED_STATE_AND_PLANAR_DISTANCE_ATTACHMENT_OWNERSHIP_CLASSIFICATION_ONLY	physical adoption of transported-state interpretation; conventional distance protocol and scale; physical metric history; branch and endpoint-clock population; global realization; Xmax value profile and boundary; source matter action dynamics transfer aggregation and signalling	transported-frame state called local signal velocity or displacement; planar signed chi called complete nonradial state; screen mismatch erased; conditional x over X attachment called derived distance; c_E called standalone length; history population Xmax observation fit source action matter or protected work imported	udt_g272_complete_relation_rapidity_distance_ownership_2026-08-26/AUDIT_REPORT.md	G272_EXTERNALLY_ACCEPTS_WITH_NO_REPAIRS_THAT_A_SUPPLIED_COMPLETE_RELATION_DERIVES_NONNEGATIVE_TRANSPORTED_RAPIDITY_AND_ITS_BOUNDED_FULL_SPATIAL_STATE__THE_SIGNED_TANH_DELTA_COORDINATE_IS_EXACT_ONLY_ON_THE_ORIENTED_PLANAR_STRATUM__ACTIVE_SCREEN_STATE_MAKES_DELTA_ALONE_INCOMPLETE__DELTA_PHI_EQUALS_ARTANH_X_OVER_X_FOLLOWS_ONLY_AFTER_A_SEPARATE_DISTANCE_ATTACHMENT__SCALE_HISTORY_BRANCH_POPULATION_AND_XMAX_REMAIN_OPEN__LIVE_THEN_THIS_REGISTRY_THEN_CITED_SOURCE__CONFLICT_MEANS_STOP
G271	primary_metric_null_screen_first_jet_interlock	EXTERNALLY_REVIEWED_BOUNDED_LEAD__REPAIRS_ACCEPTED__PREREGISTERED__ONE_PRIMARY_METRIC_GRADIENT_GENERATES_LONGITUDINAL_DEPTH_AND_TRANSVERSE_TRANSPORTED_SCREEN_FIRST_JETS__RADIAL_AND_QUIET_STRATA_EXACT__SPHERICAL_ISOMETRY_COVERAGE_REPAIR__SOURCE_PATH_CONTAINMENT_REPAIR__30_EXACT_CHECKS__20000_INDEPENDENT_EXACT_FRACTION_CASES__6_IMPLEMENTATION_AND_6_SCOPE_CATCHES	MIXED	ACTIVE_BOUNDED_LOCAL_FIRST_JET_LONGITUDINAL_TRANSVERSE_INTERLOCK_ON_SUPPLIED_SMOOTH_REGULAR_PRIMARY_STATIC_METRIC_AND_NULL_GERM_MODULO_SPHERICAL_ISOMETRY_ONLY	finite-path integration; supplied profile and branch ownership; nonspherical and time-live extension; physical metric history; query and endpoint-clock population; conventional distance and scale; Xmax value profile and global realization; source matter action dynamics transfer aggregation and signalling	local first jet widened to finite path or arbitrary metric; equatorial representative called arbitrary-germ coverage without isometry; W conflated with Jacobi area or holonomy; radial or quiet stratum called universal; supplied profile branch called selected history distance Xmax observation fit source action matter or protected work imported	udt_g271_primary_metric_null_screen_first_jet_interlock_2026-08-26/AUDIT_REPORT.md	G271_EXTERNALLY_ACCEPTS_AFTER_REPAIRS_THAT_ON_A_SUPPLIED_SMOOTH_REGULAR_PRIMARY_STATIC_METRIC_AND_NULL_GERM_MODULO_SPHERICAL_ISOMETRY_THE_SINGLE_METRIC_FIRST_JET_EXP_MINUS_PHI_TIMES_PHI_PRIME_SPLITS_EXACTLY_INTO_LONGITUDINAL_DEPTH_AND_TRANSVERSE_TRANSPORTED_SCREEN_CHANNELS__RADIAL_AND_QUIET_STRATA_ARE_EXACT__THE_LEADING_SECH_MINUS_M_PT_GAP_IS_HALF_W1_SQUARED_LAMBDA_SQUARED__FINITE_PATH_HISTORY_DISTANCE_POPULATION_AND_XMAX_REMAIN_OPEN__LIVE_THEN_THIS_REGISTRY_THEN_CITED_SOURCE__CONFLICT_MEANS_STOP
