premise_id	object	status	role_or_limit
P01	positional dilation and reciprocal exponential core	pinned-by-THEORY	Founding and derived-conditional premise stamps retained
P02	conditional Lorentzian coframe representative	CHOSE_CONDITIONAL	All causal labels are representative-scoped
P03	ten latent coframe fields plus signed phi	pinned-by-THEORY_WITHIN_REGISTERED_ENSEMBLE	All allowed angular and shift sectors retained
P04	48 carriers times eight active masks	free-and-explored_WITHIN_FROZEN_REGISTRY	384 complete registered groups
P05	all four nonnegative bank weights summing to one	free-and-explored	Complete registered tetrahedron sampled
P06	source path u	free-and-explored	Complete registered interval sampled
P07	J1 generator/coefficient barycentric composition	CHOSE_ANALYTIC_CONFIGURATION_CHART	Not a trajectory EOM or selected physical composition
P08	J2 evaluated-cofield barycentric composition	CHOSE_LOCAL_COFIELD_CHART	Not a globally integrated scalar or selected physical composition
P09	L1 and L2 lattices	CHOSE_NUMERIC_METHOD	Frozen soundness/convergence controls
P10	float64 zero threshold	CHOSE_NUMERIC_METHOD	64 eps times max(1,max absolute node s)
P11	full 4x4 metric matrix at high-precision anchors	INDEPENDENT_NUMERIC_METHOD	80-decimal interval determinant/adjugate control
P12	action EOM source boundary scale density	NOT_LOADED	No dynamics selection or realization claim
P13	particle force cosmic clock regime	FORBIDDEN_AS_FILTER	No physical template used to grade nodes
P14	arbitrary metric functions and amplitudes	NOT_COVERED	Registered analytic ensemble only
P15	global finite-cell completion and time-live evolution	NOT_COVERED	No global or dynamical inference
P16	continuous null-set topology	OPEN	Lattice component classes are observations not continuous theorems
