source	role	status	sha256
udt_configuration_space_adjacency_atlas_2026-07-22/build_configuration_adjacency_atlas.py	frozen coefficient/coframe generator source	PINNED_HASHED	121148082560c9ee17efeac7db942d00130e528db8d6a6155f8df85cefc92ec4
udt_configuration_space_adjacency_atlas_2026-07-22/RESULT.json	prior adjacency result control	PINNED_HASHED	a7a16199edad59c1b1e499b17ff7e5244c8e52546a6743970b5dc1489a5b3528
udt_configuration_space_adjacency_atlas_2026-07-22/ENDPOINT_PAIR_REGISTRY.tsv	prior registered edge universe	PINNED_HASHED	bab9c0b7e5ba1966a9521cecd3aff5a576b0e83bb97bbf0e100065d661038ac7
udt_configuration_space_adjacency_atlas_2026-07-22/SHEET_CLASSIFICATION.tsv	prior edge-class replay	PINNED_HASHED	3d5a01c86ee7576a4a6c13917b5bed3315373c731bd8fa8fc9603e2d9e4041ca
udt_motif_hopf_correspondence_audit_2026-07-22/COHERENT_IDENTITY_REGISTRY.tsv	registered identity universe	PINNED_HASHED	ffb624d1a4e01e181639e86993a550a3030b2050c547f6e563c14a462abfe45f
udt_phi_causal_interface_atlas_2026-07-22/IDENTITY_CAUSAL_CERTIFICATES.tsv	frozen endpoint causal classes	PINNED_HASHED	b1ff6dc3f63cc7d052b66ee1fea2cf0088e119965a04c089b5cb3aa106466189
udt_structural_ensemble_metric_atlas_2026-07-21/CARRIER_VECTOR_REGISTRY.tsv	48 registered deformation vectors	PINNED_HASHED	b1251073a9f8e916259d29ebcae71a9b86a5f8235c3b0b581430967d6aeadbe8
PREREGISTRATION.md	initial scientific contract	IMMUTABLE_HISTORY	94a79eaf36d2a800e36cbe2322286361204ce5e15c93080bf8bce74fadeeec34
NUMERIC_SCOPE_CORRECTION_PREREGISTRATION.md	fail-safe continuous-to-lattice scope correction	IMMUTABLE_HISTORY	796c34aa79c738c8993caacc946ac5ccc561b78c6aefdea1776daee08b55c956
LATTICE_IMPLEMENTATION_PREREGISTRATION.md	frozen production resources grids and zero rule	IMMUTABLE_HISTORY	1695f91b78ce490f20b81bc144d4182b08dee8693b22aa2891d71f81d278493d
