catch_id	check_type	check	status
C01	STATE_ASSERTION	complete_group_universe	PASS
C02	STATE_ASSERTION	two_levels_times_768_sheets	PASS
C03	STATE_ASSERTION	all_raw_node_signs_match	PASS
C04	STATE_ASSERTION	all_transition_counts_match	PASS
C05	STATE_ASSERTION	all_block_determinants_negative	PASS
C06	STATE_ASSERTION	all_simplex_boundary_edge_controls	PASS
C07	STATE_ASSERTION	prior_adjacency_class_census	PASS
C08	STATE_ASSERTION	thirty_four_high_precision_anchors	PASS
C09	STATE_ASSERTION	both_global_narrowest_nodes_anchored	PASS
C10	STATE_ASSERTION	anchor_carrier_span	PASS
C11	STATE_ASSERTION	anchor_all_masks	PASS
C12	STATE_ASSERTION	anchor_both_charts	PASS
C13	STATE_ASSERTION	all_high_precision_full_matrix_anchors	PASS
C14	STATE_ASSERTION	zero_numeric_zero_nodes	PASS
C15	STATE_ASSERTION	all_cross_resolution_classes_reproduced	PASS
C16	STATE_ASSERTION	no_physical_filters_loaded	PASS
C17	STATE_ASSERTION	bounded_maximum_conclusion	PASS
C18	END_TO_END_MUTATION_CATCH	missing_sheet_rejected	PASS
C19	END_TO_END_MUTATION_CATCH	duplicate_sheet_rejected	PASS
C20	END_TO_END_MUTATION_CATCH	chart_conflation_rejected	PASS
C21	END_TO_END_MUTATION_CATCH	zero_node_promotion_rejected	PASS
C22	END_TO_END_MUTATION_CATCH	resolution_disagreement_rejected	PASS
C23	END_TO_END_MUTATION_CATCH	incomplete_simplex_adjacency_rejected	PASS
C24	END_TO_END_MUTATION_CATCH	source_hash_corruption_rejected	PASS
C25	END_TO_END_MUTATION_CATCH	continuous_promotion_rejected	PASS
C26	END_TO_END_MUTATION_CATCH	raw_sign_mutation_rejected	PASS
C27	END_TO_END_MUTATION_CATCH	apex_duplicate_corruption_rejected	PASS
