catch_id	check_type	check	status
P01	STATE_ASSERTION	384_unique_groups	PASS
P02	STATE_ASSERTION	1536_unique_level_sheet_rows	PASS
P03	STATE_ASSERTION	768_interval_rows	PASS
P04	STATE_ASSERTION	two_chart_comparison	PASS
P05	STATE_ASSERTION	premise_ledger_present	PASS
P06	STATE_ASSERTION	status_ledger_present	PASS
P07	STATE_ASSERTION	zero_numeric_zero_nodes	PASS
P08	STATE_ASSERTION	all_resolution_classes_reproduced	PASS
P09	STATE_ASSERTION	balanced_l2_chart_classes	PASS
P10	STATE_ASSERTION	j1_pocket_component_identity	PASS
P11	STATE_ASSERTION	j2_single_component_identity	PASS
P12	STATE_ASSERTION	raw_sign_hashes	PASS
P13	STATE_ASSERTION	raw_sign_shapes	PASS
P14	STATE_ASSERTION	coarse_unresolved_retained	PASS
P15	STATE_ASSERTION	independent_all_nodes	PASS
P16	STATE_ASSERTION	independent_boundary_replay	PASS
P17	STATE_ASSERTION	high_precision_anchors	PASS
P18	STATE_ASSERTION	no_physical_filter	PASS
P19	STATE_ASSERTION	maximum_conclusion_exact	PASS
P20	STATE_ASSERTION	source_hashes_current	PASS
P21	STATE_ASSERTION	independent_end_to_end_mutations	PASS
