group_index	group_id	carrier_id	mask_id	identity_b0	identity_b1	identity_b2	identity_b3
0	R00_1_M8	R00_1	M8	B0_R00_1_M8	B1_R00_1_M8	B2_R00_1_M8	B3_R00_1_M8
1	R00_1_M9	R00_1	M9	B0_R00_1_M9	B1_R00_1_M9	B2_R00_1_M9	B3_R00_1_M9
2	R00_1_MA	R00_1	MA	B0_R00_1_MA	B1_R00_1_MA	B2_R00_1_MA	B3_R00_1_MA
3	R00_1_MB	R00_1	MB	B0_R00_1_MB	B1_R00_1_MB	B2_R00_1_MB	B3_R00_1_MB
4	R00_1_MC	R00_1	MC	B0_R00_1_MC	B1_R00_1_MC	B2_R00_1_MC	B3_R00_1_MC
5	R00_1_MD	R00_1	MD	B0_R00_1_MD	B1_R00_1_MD	B2_R00_1_MD	B3_R00_1_MD
6	R00_1_ME	R00_1	ME	B0_R00_1_ME	B1_R00_1_ME	B2_R00_1_ME	B3_R00_1_ME
7	R00_1_MF	R00_1	MF	B0_R00_1_MF	B1_R00_1_MF	B2_R00_1_MF	B3_R00_1_MF
8	R00_3_M8	R00_3	M8	B0_R00_3_M8	B1_R00_3_M8	B2_R00_3_M8	B3_R00_3_M8
9	R00_3_M9	R00_3	M9	B0_R00_3_M9	B1_R00_3_M9	B2_R00_3_M9	B3_R00_3_M9
10	R00_3_MA	R00_3	MA	B0_R00_3_MA	B1_R00_3_MA	B2_R00_3_MA	B3_R00_3_MA
11	R00_3_MB	R00_3	MB	B0_R00_3_MB	B1_R00_3_MB	B2_R00_3_MB	B3_R00_3_MB
12	R00_3_MC	R00_3	MC	B0_R00_3_MC	B1_R00_3_MC	B2_R00_3_MC	B3_R00_3_MC
13	R00_3_MD	R00_3	MD	B0_R00_3_MD	B1_R00_3_MD	B2_R00_3_MD	B3_R00_3_MD
14	R00_3_ME	R00_3	ME	B0_R00_3_ME	B1_R00_3_ME	B2_R00_3_ME	B3_R00_3_ME
15	R00_3_MF	R00_3	MF	B0_R00_3_MF	B1_R00_3_MF	B2_R00_3_MF	B3_R00_3_MF
16	R01_1_M8	R01_1	M8	B0_R01_1_M8	B1_R01_1_M8	B2_R01_1_M8	B3_R01_1_M8
17	R01_1_M9	R01_1	M9	B0_R01_1_M9	B1_R01_1_M9	B2_R01_1_M9	B3_R01_1_M9
18	R01_1_MA	R01_1	MA	B0_R01_1_MA	B1_R01_1_MA	B2_R01_1_MA	B3_R01_1_MA
19	R01_1_MB	R01_1	MB	B0_R01_1_MB	B1_R01_1_MB	B2_R01_1_MB	B3_R01_1_MB
20	R01_1_MC	R01_1	MC	B0_R01_1_MC	B1_R01_1_MC	B2_R01_1_MC	B3_R01_1_MC
21	R01_1_MD	R01_1	MD	B0_R01_1_MD	B1_R01_1_MD	B2_R01_1_MD	B3_R01_1_MD
22	R01_1_ME	R01_1	ME	B0_R01_1_ME	B1_R01_1_ME	B2_R01_1_ME	B3_R01_1_ME
23	R01_1_MF	R01_1	MF	B0_R01_1_MF	B1_R01_1_MF	B2_R01_1_MF	B3_R01_1_MF
24	R01_3_M8	R01_3	M8	B0_R01_3_M8	B1_R01_3_M8	B2_R01_3_M8	B3_R01_3_M8
25	R01_3_M9	R01_3	M9	B0_R01_3_M9	B1_R01_3_M9	B2_R01_3_M9	B3_R01_3_M9
26	R01_3_MA	R01_3	MA	B0_R01_3_MA	B1_R01_3_MA	B2_R01_3_MA	B3_R01_3_MA
27	R01_3_MB	R01_3	MB	B0_R01_3_MB	B1_R01_3_MB	B2_R01_3_MB	B3_R01_3_MB
28	R01_3_MC	R01_3	MC	B0_R01_3_MC	B1_R01_3_MC	B2_R01_3_MC	B3_R01_3_MC
29	R01_3_MD	R01_3	MD	B0_R01_3_MD	B1_R01_3_MD	B2_R01_3_MD	B3_R01_3_MD
30	R01_3_ME	R01_3	ME	B0_R01_3_ME	B1_R01_3_ME	B2_R01_3_ME	B3_R01_3_ME
31	R01_3_MF	R01_3	MF	B0_R01_3_MF	B1_R01_3_MF	B2_R01_3_MF	B3_R01_3_MF
32	R02_1_M8	R02_1	M8	B0_R02_1_M8	B1_R02_1_M8	B2_R02_1_M8	B3_R02_1_M8
33	R02_1_M9	R02_1	M9	B0_R02_1_M9	B1_R02_1_M9	B2_R02_1_M9	B3_R02_1_M9
34	R02_1_MA	R02_1	MA	B0_R02_1_MA	B1_R02_1_MA	B2_R02_1_MA	B3_R02_1_MA
35	R02_1_MB	R02_1	MB	B0_R02_1_MB	B1_R02_1_MB	B2_R02_1_MB	B3_R02_1_MB
36	R02_1_MC	R02_1	MC	B0_R02_1_MC	B1_R02_1_MC	B2_R02_1_MC	B3_R02_1_MC
37	R02_1_MD	R02_1	MD	B0_R02_1_MD	B1_R02_1_MD	B2_R02_1_MD	B3_R02_1_MD
38	R02_1_ME	R02_1	ME	B0_R02_1_ME	B1_R02_1_ME	B2_R02_1_ME	B3_R02_1_ME
39	R02_1_MF	R02_1	MF	B0_R02_1_MF	B1_R02_1_MF	B2_R02_1_MF	B3_R02_1_MF
40	R02_3_M8	R02_3	M8	B0_R02_3_M8	B1_R02_3_M8	B2_R02_3_M8	B3_R02_3_M8
41	R02_3_M9	R02_3	M9	B0_R02_3_M9	B1_R02_3_M9	B2_R02_3_M9	B3_R02_3_M9
42	R02_3_MA	R02_3	MA	B0_R02_3_MA	B1_R02_3_MA	B2_R02_3_MA	B3_R02_3_MA
43	R02_3_MB	R02_3	MB	B0_R02_3_MB	B1_R02_3_MB	B2_R02_3_MB	B3_R02_3_MB
44	R02_3_MC	R02_3	MC	B0_R02_3_MC	B1_R02_3_MC	B2_R02_3_MC	B3_R02_3_MC
45	R02_3_MD	R02_3	MD	B0_R02_3_MD	B1_R02_3_MD	B2_R02_3_MD	B3_R02_3_MD
46	R02_3_ME	R02_3	ME	B0_R02_3_ME	B1_R02_3_ME	B2_R02_3_ME	B3_R02_3_ME
47	R02_3_MF	R02_3	MF	B0_R02_3_MF	B1_R02_3_MF	B2_R02_3_MF	B3_R02_3_MF
48	R03_1_M8	R03_1	M8	B0_R03_1_M8	B1_R03_1_M8	B2_R03_1_M8	B3_R03_1_M8
49	R03_1_M9	R03_1	M9	B0_R03_1_M9	B1_R03_1_M9	B2_R03_1_M9	B3_R03_1_M9
50	R03_1_MA	R03_1	MA	B0_R03_1_MA	B1_R03_1_MA	B2_R03_1_MA	B3_R03_1_MA
51	R03_1_MB	R03_1	MB	B0_R03_1_MB	B1_R03_1_MB	B2_R03_1_MB	B3_R03_1_MB
52	R03_1_MC	R03_1	MC	B0_R03_1_MC	B1_R03_1_MC	B2_R03_1_MC	B3_R03_1_MC
53	R03_1_MD	R03_1	MD	B0_R03_1_MD	B1_R03_1_MD	B2_R03_1_MD	B3_R03_1_MD
54	R03_1_ME	R03_1	ME	B0_R03_1_ME	B1_R03_1_ME	B2_R03_1_ME	B3_R03_1_ME
55	R03_1_MF	R03_1	MF	B0_R03_1_MF	B1_R03_1_MF	B2_R03_1_MF	B3_R03_1_MF
56	R03_3_M8	R03_3	M8	B0_R03_3_M8	B1_R03_3_M8	B2_R03_3_M8	B3_R03_3_M8
57	R03_3_M9	R03_3	M9	B0_R03_3_M9	B1_R03_3_M9	B2_R03_3_M9	B3_R03_3_M9
58	R03_3_MA	R03_3	MA	B0_R03_3_MA	B1_R03_3_MA	B2_R03_3_MA	B3_R03_3_MA
59	R03_3_MB	R03_3	MB	B0_R03_3_MB	B1_R03_3_MB	B2_R03_3_MB	B3_R03_3_MB
60	R03_3_MC	R03_3	MC	B0_R03_3_MC	B1_R03_3_MC	B2_R03_3_MC	B3_R03_3_MC
61	R03_3_MD	R03_3	MD	B0_R03_3_MD	B1_R03_3_MD	B2_R03_3_MD	B3_R03_3_MD
62	R03_3_ME	R03_3	ME	B0_R03_3_ME	B1_R03_3_ME	B2_R03_3_ME	B3_R03_3_ME
63	R03_3_MF	R03_3	MF	B0_R03_3_MF	B1_R03_3_MF	B2_R03_3_MF	B3_R03_3_MF
64	R04_1_M8	R04_1	M8	B0_R04_1_M8	B1_R04_1_M8	B2_R04_1_M8	B3_R04_1_M8
65	R04_1_M9	R04_1	M9	B0_R04_1_M9	B1_R04_1_M9	B2_R04_1_M9	B3_R04_1_M9
66	R04_1_MA	R04_1	MA	B0_R04_1_MA	B1_R04_1_MA	B2_R04_1_MA	B3_R04_1_MA
67	R04_1_MB	R04_1	MB	B0_R04_1_MB	B1_R04_1_MB	B2_R04_1_MB	B3_R04_1_MB
68	R04_1_MC	R04_1	MC	B0_R04_1_MC	B1_R04_1_MC	B2_R04_1_MC	B3_R04_1_MC
69	R04_1_MD	R04_1	MD	B0_R04_1_MD	B1_R04_1_MD	B2_R04_1_MD	B3_R04_1_MD
70	R04_1_ME	R04_1	ME	B0_R04_1_ME	B1_R04_1_ME	B2_R04_1_ME	B3_R04_1_ME
71	R04_1_MF	R04_1	MF	B0_R04_1_MF	B1_R04_1_MF	B2_R04_1_MF	B3_R04_1_MF
72	R04_3_M8	R04_3	M8	B0_R04_3_M8	B1_R04_3_M8	B2_R04_3_M8	B3_R04_3_M8
73	R04_3_M9	R04_3	M9	B0_R04_3_M9	B1_R04_3_M9	B2_R04_3_M9	B3_R04_3_M9
74	R04_3_MA	R04_3	MA	B0_R04_3_MA	B1_R04_3_MA	B2_R04_3_MA	B3_R04_3_MA
75	R04_3_MB	R04_3	MB	B0_R04_3_MB	B1_R04_3_MB	B2_R04_3_MB	B3_R04_3_MB
76	R04_3_MC	R04_3	MC	B0_R04_3_MC	B1_R04_3_MC	B2_R04_3_MC	B3_R04_3_MC
77	R04_3_MD	R04_3	MD	B0_R04_3_MD	B1_R04_3_MD	B2_R04_3_MD	B3_R04_3_MD
78	R04_3_ME	R04_3	ME	B0_R04_3_ME	B1_R04_3_ME	B2_R04_3_ME	B3_R04_3_ME
79	R04_3_MF	R04_3	MF	B0_R04_3_MF	B1_R04_3_MF	B2_R04_3_MF	B3_R04_3_MF
80	R05_1_M8	R05_1	M8	B0_R05_1_M8	B1_R05_1_M8	B2_R05_1_M8	B3_R05_1_M8
81	R05_1_M9	R05_1	M9	B0_R05_1_M9	B1_R05_1_M9	B2_R05_1_M9	B3_R05_1_M9
