anchor_id	chart	group_id	carrier_id	mask_id	anchor_kind	u	q0	q1	q2	t	saved_float64_s	mpmath80_full_matrix_s_interval	mpmath80_full_matrix_s_lo	mpmath80_full_matrix_s_hi	mpmath80_det_g_interval	mpmath80_det_g_lo	mpmath80_det_g_hi	interval_sign	float64_sign	status
A01	J1_GENERATOR_COEFFICIENT_BARYCENTRIC	R00_1_M8	R00_1	M8	BASE_FACE_MINIMUM_NODE	0	1/2	5/16	3/16	0	-5.118645113037948e-05	[-0.00005118645113037949021642956893406935291224303715979613147262712163095725838363260012199, -0.00005118645113037949021642956893406935291224303715979613147262712163095725838363258339243]	-5.1186451130379487e-05	-5.1186451130379487e-05	[-1.46228458943422453155163160907002496514150922394738509672349705532567371644157514581, -1.462284589434224531551631609070024965141509223947385096723497055325673716441575067797]	-1.4622845894342245	-1.4622845894342245	-1	-1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A02	J1_GENERATOR_COEFFICIENT_BARYCENTRIC	R01_3_M9	R01_3	M9	NARROWEST_ABSOLUTE_NODE	1/8	1/4	1/2	1/4	1/8	-2.6265442379197029e-08	[-0.00000002626544237928102444332566906048473286046332639570158943776467328184237854907234008413, -0.00000002626544237928102444332566906048473286046332639570158943776467328184237854905095707838]	-2.6265442379281024e-08	-2.6265442379281024e-08	[-1.462536814794097135834452509316514919856151224560528044749378056148068424885937772243, -1.462536814794097135834452509316514919856151224560528044749378056148068424885937696339]	-1.4625368147940969	-1.4625368147940969	-1	-1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A03	J1_GENERATOR_COEFFICIENT_BARYCENTRIC	R03_1_MA	R03_1	MA	RISING_INTERFACE_BRACKET_NODE	5/16	5/16	7/16	1/4	7/128	1.9863118805996778e-07	[0.0000001986311880599684503983438181172885711241817781975279278868532336118197838585987628574, 0.0000001986311880599684503983438181172885711241817781975279278868532336118197838586000650789]	1.9863118805996844e-07	1.9863118805996844e-07	[-1.447297392480505552955368945488193766963033555767423158026058985644709313978752299191, -1.447297392480505552955368945488193766963033555767423158026058985644709313978752225396]	-1.4472973924805055	-1.4472973924805055	1	1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A04	J1_GENERATOR_COEFFICIENT_BARYCENTRIC	R04_3_MB	R04_3	MB	FALLING_INTERFACE_BRACKET_NODE	7/16	5/16	7/16	1/4	29/128	2.7728380951525292e-06	[0.000002772838095152465070820367244560367412790683775148935385222702585597142310775455786889, 0.000002772838095152465070820367244560367412790683775148935385222702585597142310775521703777]	2.7728380951524648e-06	2.7728380951524648e-06	[-1.401697455710731891776921954460475551708593886546461498936552928409059473818381093192, -1.401697455710731891776921954460475551708593886546461498936552928409059473818381004638]	-1.4016974557107318	-1.4016974557107318	1	1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A05	J1_GENERATOR_COEFFICIENT_BARYCENTRIC	R06_3_MC	R06_3	MC	BASE_FACE_MINIMUM_NODE	0	1/2	5/16	3/16	0	-0.00045961397263747489	[-0.0004596139726374749616488948616121343402509717152214345092093422133284944936484733284955, -0.0004596139726374749616488948616121343402509717152214345092093422133284944936484731761278]	-0.00045961397263747495	-0.00045961397263747495	[-1.462284589434224531551631609070024965141509223947385096723497055325673716441575135268, -1.462284589434224531551631609070024965141509223947385096723497055325673716441575059364]	-1.4622845894342245	-1.4622845894342245	-1	-1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A06	J1_GENERATOR_COEFFICIENT_BARYCENTRIC	R08_1_MD	R08_1	MD	NARROWEST_ABSOLUTE_NODE	15/16	5/16	9/16	1/8	47/128	-7.5791779203062716e-10	[-0.0000000007579177920442529089662720322545585964856444018585012151205780350785777610900613618629, -0.0000000007579177920442529089662720322545585964856444018585012151205780350785777610607103898159]	-7.5791779204425289e-10	-7.5791779204425289e-10	[-1.481958531405720984966494345455005888607201762789390397516020513447685498467355595717, -1.481958531405720984966494345455005888607201762789390397516020513447685498467355515596]	-1.4819585314057209	-1.4819585314057209	-1	-1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A07	J1_GENERATOR_COEFFICIENT_BARYCENTRIC	R09_3_ME	R09_3	ME	RISING_INTERFACE_BRACKET_NODE	5/16	5/16	7/16	1/4	7/128	1.8298224286449176e-06	[0.000001829822428644927327405015325416841910662536898571753405958631771789726306096409531983, 0.000001829822428644927327405015325416841910662536898571753405958631771789726306096421425657]	1.8298224286449272e-06	1.8298224286449272e-06	[-1.508183806794602064770087683999716647686741126427215996527696976514835719128829588439, -1.508183806794602064770087683999716647686741126427215996527696976514835719128829512536]	-1.5081838067946018	-1.5081838067946018	1	1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A08	J1_GENERATOR_COEFFICIENT_BARYCENTRIC	R11_1_MF	R11_1	MF	FALLING_INTERFACE_BRACKET_NODE	7/16	5/16	7/16	1/4	29/128	-3.1996379510037379e-07	[-0.0000003199637951003794770932073983613106664722261132044102899463406447696827929126046523747, -0.0000003199637951003794770932073983613106664722261132044102899463406447696827929125978253259]	-3.1996379510037946e-07	-3.1996379510037946e-07	[-1.453010590550323028578113656135440795987585697712072378037863343059513011694131149503, -1.453010590550323028578113656135440795987585697712072378037863343059513011694131067274]	-1.453010590550323	-1.453010590550323	-1	-1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A09	J1_GENERATOR_COEFFICIENT_BARYCENTRIC	R12_3_M8	R12_3	M8	BASE_FACE_MINIMUM_NODE	0	1/2	5/16	3/16	0	-0.00046067806017341503	[-0.0004606780601734154119478661204066241762101873344381651832536440946786153254526934066315, -0.0004606780601734154119478661204066241762101873344381651832536440946786153254526932449982]	-0.00046067806017341536	-0.00046067806017341536	[-1.46228458943422453155163160907002496514150922394738509672349705532567371644157514581, -1.462284589434224531551631609070024965141509223947385096723497055325673716441575067797]	-1.4622845894342245	-1.4622845894342245	-1	-1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A10	J1_GENERATOR_COEFFICIENT_BARYCENTRIC	R14_1_M9	R14_1	M9	NARROWEST_ABSOLUTE_NODE	11/16	7/16	5/16	1/4	3/64	8.3848078224243571e-10	[0.0000000008384807822505288466562517697561652569314104920748579144725854725118395127881875907033, 0.0000000008384807822505288466562517697561652569314104920748579144725854725118395127965056529255]	8.3848078225052885e-10	8.3848078225052885e-10	[-1.462019687444892809996839188776572383466006732735903742441963608296674673992710670167, -1.462019687444892809996839188776572383466006732735903742441963608296674673992710594263]	-1.4620196874448927	-1.4620196874448927	1	1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A11	J1_GENERATOR_COEFFICIENT_BARYCENTRIC	R15_3_MA	R15_3	MA	RISING_INTERFACE_BRACKET_NODE	5/16	5/16	7/16	1/4	7/128	1.7657413556767155e-06	[0.000001765741355676729908942566813149165116150989626674845224454336271769006782629567279539, 0.000001765741355676729908942566813149165116150989626674845224454336271769006782629579388364]	1.7657413556767299e-06	1.7657413556767299e-06	[-1.453959551159428350095396858265336380853103130240478890074364865954419463094720566813, -1.453959551159428350095396858265336380853103130240478890074364865954419463094720484584]	-1.4539595511594283	-1.4539595511594283	1	1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A12	J1_GENERATOR_COEFFICIENT_BARYCENTRIC	V003_MB	V003	MB	FALLING_INTERFACE_BRACKET_NODE	1/2	5/16	7/16	1/4	27/128	2.5461191638912644e-06	[0.000002546119163891357793359651546307998010418807105752870725215765793006226856108214132098, 0.000002546119163891357793359651546307998010418807105752870725215765793006226856108276075715]	2.5461191638913576e-06	2.5461191638913576e-06	[-1.516330304791375792404562621656821067845872015673401920441810178663032645088607468588, -1.516330304791375792404562621656821067845872015673401920441810178663032645088607388467]	-1.5163303047913756	-1.5163303047913756	1	1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
A13	J1_GENERATOR_COEFFICIENT_BARYCENTRIC	V007_MC	V007	MC	BASE_FACE_MINIMUM_NODE	0	1/2	5/16	3/16	0	-0.00024758181236979917	[-0.000247581812369799208687533825141192157492408055391598293184555036247127326887571018234, -0.0002475818123697992086875338251411921574924080553915982931845550362471273268875709281518]	-0.00024758181236979917	-0.00024758181236979917	[-1.462284589434224531551631609070024965141509223947385096723497055325673716441575139484, -1.462284589434224531551631609070024965141509223947385096723497055325673716441575063581]	-1.4622845894342245	-1.4622845894342245	-1	-1	HIGH_PRECISION_INTERVAL_SIGN_AND_DETERMINANT_AGREE
