claim_id	object	status	basis	remaining_limit
S01	registered bank-simplex identity universe	ACCOUNTED	384 carrier/mask groups times two charts equals 768 sheets	Arbitrary metrics and amplitudes not covered
S02	complete L1 and L2 lattice evaluation	OBSERVED_BOUNDED_LATTICE	1536 level/sheet rows and deterministic raw signs	Point lattice is not a continuous proof
S03	J1 interior causal pocket	OBSERVED_BOUNDED_LATTICE_ALL_384_SHEETS	One connected negative base set and matching two-transition fibers at both levels	Depends on chosen J1 composition chart
S04	J1 sampled transition-family inference	OBSERVED_BOUNDED_LATTICE_TWO_NULL_FAMILY_CANDIDATES_ONE_POSITIVE_TWO_SIGN_NODE_COMPONENTS	All 384 L2 sheets reproduce L1 qualitative class	Continuous null connectivity topology and regularity remain open
S05	J2 sampled transition-family inference	OBSERVED_BOUNDED_LATTICE_ONE_NULL_FAMILY_CANDIDATE_ONE_POSITIVE_ONE_NEGATIVE_SIGN_NODE_COMPONENT	Every one of 2601 L2 fibers per sheet has one transition	Continuous null connectivity remains open and chart is chosen
S06	pairwise edges determine simplex interior	REFUTED_WITHIN_REGISTERED_J1_CHART	Every same-sign edge is positive while the three-bank face has an interior negative component	Scoped to registered ensemble and J1
S07	chart-invariant endpoint separation	OBSERVED_AND_EDGE_CONTROLLED	All six prior edge classes replay; B3 endpoint remains opposite the other three	Does not select an interpolation chart
S08	exact Lorentzian nondegeneracy	DERIVED_REGISTERED_COFRAME_IDENTITY	det(g)=-exp(2(a+c+d+f)) is negative for finite latent fields	Conditional coframe representative
S09	independent node-sign replay	PASS	277903872 signs; zero mismatches; 32 mpmath80 full-matrix anchors	Binary64 lattice remains platform-scoped
S10	native coframe composition law	OPEN	J1 and J2 disagree on interior component count	No selection law derived
S11	physical meaning of either sampled component pattern	OPEN	No action carrier source boundary scale density or regime loaded	Charles owns interpretation and canonization
S12	maximum conclusion	BOUNDED_REGISTERED_COMPLETE_BANK-SIMPLEX_LATTICE_ATLAS_WITH_INTERVAL_AND_MATRIX_CHECKS	Corrected preregistered scope	No continuous arbitrary-metric global or dynamical theorem
