object	J1_generator_coefficient_barycentric	J2_evaluated_cofield_barycentric	status
L2_sheets	384	384	ACCOUNTED
L1_L2_qualitative_agreement	384/384	384/384	OBSERVED_BOUNDED_LATTICE
numerically_zero_nodes	0	0	OBSERVED_BOUNDED_LATTICE
base_face_negative_nodes_per_sheet	154..199	0	CHART_DEPENDENT
base_face_negative_components_per_sheet	1	0	OBSERVED_BOUNDED_LATTICE
t_fibers_with_one_transition_per_sheet	2402..2447	2601	OBSERVED_BOUNDED_LATTICE
t_fibers_with_two_transitions_per_sheet	154..199	0	OBSERVED_BOUNDED_LATTICE
sampled_transition_family_inferred_null_components_per_sheet	2	1	CHART_DEPENDENT__NOT_CONTINUOUS_TOPOLOGY
sampled_positive_components_per_sheet	1	1	CHART_AGREEMENT_OBSERVED
sampled_negative_components_per_sheet	2	1	CHART_DEPENDENT
rising_transition_root_range	1.4427004202512673e-06..0.0750817697507931	NONE	NONCERTIFYING_SHAPE_DIAGNOSTIC
falling_transition_root_range	0.0747618583209474..0.8842563932388957	0.006631215805150659..0.8807743515688173	NONCERTIFYING_SHAPE_DIAGNOSTIC
metric_determinant	STRICTLY_NEGATIVE	STRICTLY_NEGATIVE	EXACT_COFRAME
endpoint_and_edge_census	REPRODUCED	REPRODUCED	CHART_INVARIANT_BOUNDARY_CONTROL
continuous_topology_theorem	OPEN	OPEN	NOT_CLAIMED
physical_regime_meaning	NOT_ASSIGNED	NOT_ASSIGNED	OPEN
