id	premise	status	use_or_limit
P01	c_E_clock_ruler_calibration	OBSERVED	sets_units_only
P02	reciprocal_c_identity	FOUNDING	coequal_conversion_directions
P03	dual_reciprocity_fixed_pairing	FOUNDING	opposite_characters_in_each_declared_pair
P04	exponential_character_form	DERIVED_CONDITIONAL	composition_regularity_sign_unit
P05	Lorentzian_quadratic_readout	POSIT_CHOSE	metric_control_not_action
P06	clock_depth_slot_identification	CONDITIONAL	defines_F02_not_universal
P07	reciprocal_toric_angular_pair	CONDITIONAL	defines_angular_control
P08	same_scalar_join_with_kappa	TESTED_POSIT	not_assumed_selected
P09	kappa_positive_finite	FREE_EXPLORED	all_positive_finite_values_analytically
P10	physical_common_amplitudes	FREE_EXPLORED	not_quotiented_by_strong_CSN
P11	strong_local_CSN	CHALLENGED_OWNER_POSTULATE_NOT_DERIVED	not_used_as_gauge
P12	static_diagonal_cohomogeneity_one	CHOSE	bounded_family_only
P13	round_or_primitive_toric_caps	CHOSE	regularity_control_not_physical_boundary_selection
P14	open_asymptotic_end	OPEN_FAMILY	no_profile_selected
P15	action_source_carrier_mass_density	OPEN_ABSENT	no_inference
P16	global_observer_pairing_and_Xmax	OPEN_ABSENT	no_promotion_from_spatial_depth
P17	time_live_shift_nonintegrable_pair_space	OPEN_OUTSIDE_SCOPE	no_negative_extension
