gate_id	gate	certification_condition	injected_failure_must_be_rejected
G01	scope	only_current_package_after_preregistration	nonpackage_path
G02	pairing	fixed_K_pair_has_opposite_equal_magnitude_weights	same_sign_pair
G03	family_coverage	F01_through_F06_exactly_once	missing_or_duplicate_family
G04	kappa_domain	arbitrary_finite_positive_kappa_not_only_kappa_one	single_value_promotion
G05	F01_caps	curvature_test_at_both_caps	false_regular_cap
G06	F02_caps	curvature_test_at_both_caps	false_two_cap_pass
G07	F03_common_factor	smooth_positive_nonzero_factor_cannot_change_leading_pole	false_CSN_repair
G08	F04_open_profiles	arbitrary_profiles_remain_open	false_unique_profile
G09	F05_control	separated_clock_angular_roles_not_promoted_to_join	false_join
G10	F06_scope	outside_families_remain_open	false_global_no_go
G11	Xmax	no_spatial_endpoint_promoted_without_observer_pairing	false_Xmax
G12	source_identity	all_pinned_sources_match_SHA256	source_mutation
G13	replay	production_and_independent_outputs_byte_identical	nondeterministic_or_mutated_output
G14	repository	frozen_navigation_tests_dirty_metadata_unchanged	gate_corruption
