pair_id	lane_id	realization_id	p05_equation_status	recorded_equation	field_removed	boundary_complete	global_existence
L01_C01	L01	C01	METRIC_BULK_EQUATION_COMPLETE_BOUNDARY_OPEN	B_ab=0	NO	NO	UNEVALUATED
L01_C02	L01	C02	INCOMPLETE_EXTRA_FIELD_EQUATION_ABSENT	metric_equation_only	NO	NO	UNEVALUATED
L01_C03	L01	C03	INCOMPLETE_COFRAME_VARIATION_AND_EQUIVALENCE_UNBUILT	metric_equation_only	NO	NO	UNEVALUATED
L01_C04	L01	C04	INCOMPLETE_EXTRA_FIELD_EQUATION_ABSENT	metric_equation_only	NO	NO	UNEVALUATED
L01_C05	L01	C05	INCOMPLETE_CONSTRAINT_VARIATION_DOMAIN_UNSELECTED	unrestricted_metric_equation_only	NO	NO	UNEVALUATED
L01_C06	L01	C06	INCOMPLETE_BRIDGE_OPERATOR_ABSENT	endpoint_bulk_only	NO	NO	UNEVALUATED
L01_C07	L01	C07	INCOMPLETE_EXTRA_FIELD_EQUATION_ABSENT	metric_equation_only	NO	NO	UNEVALUATED
L02_C01	L02	C01	FORMAL_METRIC_BULK_EQUATION_COMPLETE_REPRESENTATIVE_AND_BOUNDARY_OPEN	G_ab+Lambda*g_ab=0	NO	NO	UNEVALUATED
L02_C02	L02	C02	INCOMPLETE_EXTRA_FIELD_EQUATION_ABSENT	metric_equation_only	NO	NO	UNEVALUATED
L02_C03	L02	C03	INCOMPLETE_COFRAME_VARIATION_AND_EQUIVALENCE_UNBUILT	metric_equation_only	NO	NO	UNEVALUATED
L02_C04	L02	C04	INCOMPLETE_EXTRA_FIELD_EQUATION_ABSENT	metric_equation_only	NO	NO	UNEVALUATED
L02_C05	L02	C05	INCOMPLETE_CONSTRAINT_VARIATION_DOMAIN_UNSELECTED	unrestricted_metric_equation_only	NO	NO	UNEVALUATED
L02_C06	L02	C06	INCOMPLETE_BRIDGE_OPERATOR_ABSENT	endpoint_bulk_only	NO	NO	UNEVALUATED
L02_C07	L02	C07	INCOMPLETE_EXTRA_FIELD_EQUATION_ABSENT	metric_equation_only	NO	NO	UNEVALUATED
L03_C01	L03	C01	EXCLUDED_NO_OPERATOR_TO_VARY	NONE	NO	NO	UNEVALUATED
L03_C02	L03	C02	EXCLUDED_NO_OPERATOR_TO_VARY	NONE	NO	NO	UNEVALUATED
L03_C03	L03	C03	EXCLUDED_NO_OPERATOR_TO_VARY	NONE	NO	NO	UNEVALUATED
L03_C04	L03	C04	EXCLUDED_NO_OPERATOR_TO_VARY	NONE	NO	NO	UNEVALUATED
L03_C05	L03	C05	EXCLUDED_NO_OPERATOR_TO_VARY	NONE	NO	NO	UNEVALUATED
L03_C06	L03	C06	EXCLUDED_NO_OPERATOR_TO_VARY	NONE	NO	NO	UNEVALUATED
L03_C07	L03	C07	EXCLUDED_NO_OPERATOR_TO_VARY	NONE	NO	NO	UNEVALUATED
