axis_id	object	p04_disposition	p05_disposition	value_or_choice
A01	local_field_realization	FREE_AND_UNSELECTED_IN_ALL_THREE_LANES	FREE_UNSELECTED_UNSOLVED	NONE
A02	cover_and_nerve	FREE_AND_UNSELECTED_IN_ALL_THREE_LANES	FREE_UNSELECTED_UNSOLVED	NONE
A03	reciprocal_transition_component	FREE_AND_UNSELECTED_IN_ALL_THREE_LANES	FREE_UNSELECTED_UNSOLVED	NONE
A04	closed_path_cocycle_and_reversal_class	FREE_AND_UNSELECTED_IN_ALL_THREE_LANES	FREE_UNSELECTED_UNSOLVED	NONE
A05	CSN_representative_patching	FREE_AND_UNSELECTED_IN_ALL_THREE_LANES	FREE_UNSELECTED_UNSOLVED	NONE
A06	signed_phi_patching	FREE_AND_UNSELECTED_IN_ALL_THREE_LANES	FREE_UNSELECTED_UNSOLVED	NONE
A07	full_coframe_soldering_and_angular_lift	FREE_AND_UNSELECTED_IN_ALL_THREE_LANES	FREE_UNSELECTED_UNSOLVED	NONE
A08	seal_and_boundary_tangent	FREE_AND_UNSELECTED_IN_ALL_THREE_LANES	FREE_UNSELECTED_UNSOLVED	NONE
A09	topology_caps_periods_quotient_no_cap	FREE_AND_UNSELECTED_IN_ALL_THREE_LANES	FREE_UNSELECTED_UNSOLVED	NONE
A10	regular_degenerate_type_changing_singular_completion	FREE_AND_UNSELECTED_IN_ALL_THREE_LANES	FREE_UNSELECTED_UNSOLVED	NONE
A11	connection_and_torsion	FREE_AND_UNSELECTED_IN_ALL_THREE_LANES	FREE_UNSELECTED_UNSOLVED	NONE
A12	scale_Xmax_mass_volume_bootstrap	FREE_AND_UNSELECTED_IN_ALL_THREE_LANES	FREE_UNSELECTED_UNSOLVED	NONE
