object	status	owner	allowed_use	forbidden_promotion
oriented_complete_metric	SUPPLIED_CONDITIONAL	G89_G93	Hodge_and_Levi_Civita_geometry	selected_physical_history
regular_null_screen_query	SUPPLIED_CONDITIONAL	G79_G94	regular_single_branch_transport	material_signal_or_universal_query
terminal_Z	DERIVED_CONDITIONAL	G89_G94	clock_frequency_endpoint_ratio	physical_energy_ratio
reverse_area_reciprocity	DERIVED_CONDITIONAL	G80_G94	d_G_equals_Z_d_A	carrier_conservation
toric_screen_split	CONDITIONAL	G13	candidate_connection_and_curvature	universal_U1_or_carrier
F_equals_dS	DERIVED_CONDITIONAL	G13	conditional_curvature_definition	independent_field_or_dynamics
dF_equals_zero	DERIVED_IDENTITY	G13	homogeneous_identity	inhomogeneous_equation_or_current
Levi_Civita_connection	DERIVED_FROM_SUPPLIED_g	metric_geometry	natural_transport	physical_field_equation
Maxwell_action	NOT_SUPPLIED	NONE	comparison_only	imported_native_action
source_free_condition	FREE_AND_CLASSIFIED	NONE	conditional_branch_only	silently_pinned_vacuum
physical_carrier	OPEN	NONE	ownership_target	photon_wave_or_charge_assumed
carrier_normalization	OPEN	NONE	ownership_target	convention_called_derivation
energy_frequency_identification	OPEN	NONE	ownership_target	frequency_renamed_energy
global_boundary_completion	OPEN	NONE	excluded	local_identity_promoted_global
