source	current_role	owned_layer	missing_or_superseded_point
CURRENT_SCIENTIFIC_PREMISES.tsv:G13	current authority	conditional toric F equals dS and identity dF equals zero	U1 action source current charge normalization open
CURRENT_SCIENTIFIC_PREMISES.tsv:G19	current authority	complete coframe configuration arena	physical split history and on_shell law open
CURRENT_SCIENTIFIC_PREMISES.tsv:G20	current authority	variation ownership explicitly open	no universal field variation domain
CURRENT_SCIENTIFIC_PREMISES.tsv:G21	current authority	response_or_current_role may be typed	physical source substance coupling measure boundary normalization open
CURRENT_SCIENTIFIC_PREMISES.tsv:G24	current authority	metric causal accessibility on supplied geometry	material response principal symbol and signalling open
CURRENT_SCIENTIFIC_PREMISES.tsv:G60	current authority	complete time_live coframe compatibility identities	no evolution characteristic or physical history
CURRENT_SCIENTIFIC_PREMISES.tsv:G89_G93	current authority	complete B_Q_S_Y_Z pair evaluator and null_screen ports	physical history source and radiative law open
CURRENT_SCIENTIFIC_PREMISES.tsv:G94	current authority	Z3 geometric_clock flux factor on regular query	eta epsilon and full luminosity law open
angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md	current conditional toric authority	free_action connection and F on supplied toric Hopf completion	toric realization quotient carrier action and dynamics not selected
udt_global_functional_dof_constraint_rank_audit_2026-07-26/EXACT_DERIVATION.md	current correction	F equals dS is definition and dF zero identity	no inhomogeneous equation action current or charge
udt_r17_stationary_local_one_form_selection_audit_2026-08-10/EXACT_DERIVATION.md	current stationary vocabulary result	multiple metric_natural one_forms and connections	no selected physical transgression or current
udt_native_flux_luminosity_law_ownership_audit_2026-08-15/EXTERNAL_REVIEW_ADJUDICATION.md	current flux boundary	d_G equals Z_d_A and Z3 factor externally verified	physical transfer product open
luminosity_distance_n2_optics_results.md	historical provenance	correct factor categories identified	metric_selected Maxwell and photon conservation promotion superseded
