candidate_id	mathematical_object	home	metric_owned_part	extra_structure	result_for_eta	result_for_epsilon	status
C01	reciprocal_scale_connection_dphi	Omega1_M	pointwise_presentation_gives_exact_one_form	physical_global_phi_owner	NONE_curvature_ddphi_zero	NONE	TRIVIAL_FOR_RADIATION
C02	full_Levi_Civita_connection_and_curvature	SO13_frame_bundle	connection_curvature_and_covariant_Bianchi_from_supplied_g	abelian_projection_or_physical_generator	NONE	NONE	NONABELIAN_GEOMETRIC_IDENTITY
C03	oriented_screen_SO2_connection	Omega1_M_locally_on_supplied_2plus2_reduction	projected_connection_and_curvature_include_complete_mixing	physical_split_and_global_reduction	NONE_without_carrier_identification	NONE	CONDITIONAL_MAXWELL_SHAPED_GEOMETRY
C04	pair_immersion_normal_connection	connection_on_rank2_normal_bundle_over_Sigma2	normal_curvature_and_holonomy_from_supplied_g_and_F_pair	four_dimensional_extension_and_physical_query	NONE_wrong_base_type	NONE	PATH_CHANNEL_NOT_4D_RADIATIVE_CURRENT
C05	toric_Hopf_connection	principal_circle_connection_on_conditional_completion	A_and_F_equals_dA_on_supplied_toric_Hopf_branch	toric_realization_free_circle_action_global_completion	NONE_without_wave_action	NONE	CONDITIONAL_TOPOLOGICAL_CONNECTION
C06	Hodge_response_current	J3_equals_d_star_F_in_Omega3_M	star_from_oriented_g_and_dJ3_zero_identity	supplied_F_and_constitutive_normalization	NONE_J3_is_response_or_source_not_radiative_cargo	NONE	DERIVED_CONDITIONAL_RESPONSE_IDENTITY
C07	source_free_equation	d_star_F_equals_zero	operator_available_from_g_and_F	field_equation_action_boundary_or_selection	CONDITIONAL_only_after_wave_action_identification	NONE	NOT_DERIVED
C08	canonical_null_Hamiltonian_flow	future_null_cotangent_shell	geodesic_flow_and_phase_volume_preservation_from_g	time_orientation_and_null_shell_query	NONE_without_distribution	CONDITIONAL_route_for_energy	DERIVED_CONDITIONAL_KINEMATICS
C09	collisionless_distribution	function_f_on_null_phase_space	transport_operator_from_metric	f_initial_data_and_X_H_f_equals_zero_evolution	CONDITIONAL_eta_equals_one_for_matched_no_side_flux_tube	CONDITIONAL	NOT_DERIVED_AS_PHYSICAL_CARRIER
C10	physical_null_covector_energy	E_u_equals_minus_p_dot_u	endpoint_ratio_from_same_parallel_covector	physical_carried_unit_p_proportional_to_query_covector	NONE	epsilon_equals_one_over_Z	CONDITIONAL_ONE_PREMISE
C11	quadratic_field_stress	T_ab_of_F	candidate_tensor_algebra_from_g_and_F	action_constitutive_law_normalization_and_field_equation	CONDITIONAL_only_on_selected_source_free_or_exchange_law	CONDITIONAL_energy_density_not_per_unit	NOT_SELECTED
C12	Killing_Bianchi_current	G_ab_K_b_or_other_divergence_free_tensor_current	conserved_on_supplied_Killing_branch	distinguished_Killing_field_and_physical_identification	NONE_not_null_cargo	NONE	SPECIAL_BRANCH_GEOMETRIC_CURRENT
C13	closed_carrier_three_form	N_in_Omega3_M	dN_equals_zero_would_give_section_flux_conservation	physical_N_and_zero_side_flux	eta_equals_one	CONDITIONAL_if_N_units_carry_p	SMALLEST_MISSING_CARRIER_OBJECT
