path	bytes	mtime_ns	mode	inode
udt_kernel_plane_global_curvature_holonomy_atlas_2026-08-02/C04_B_xy.txt	11052	1785685992382392090	0o100664	34748516
udt_kernel_plane_global_curvature_holonomy_atlas_2026-08-02/C04_B_xz.txt	11470	1785685993399407374	0o100664	34748517
udt_kernel_plane_global_curvature_holonomy_atlas_2026-08-02/C04_B_yz.txt	11444	1785685994427422823	0o100664	34748518
udt_kernel_plane_global_curvature_holonomy_atlas_2026-08-02/C04_CONTACT_REDUCED_B_12.txt	2478	1785690122566833645	0o100664	34748574
udt_kernel_plane_global_curvature_holonomy_atlas_2026-08-02/C04_CONTACT_REDUCED_B_13.txt	2011	1785690123762853542	0o100664	34748583
udt_kernel_plane_global_curvature_holonomy_atlas_2026-08-02/C04_CONTACT_REDUCED_B_23.txt	2168	1785690125537883070	0o100664	34748584
udt_kernel_plane_global_curvature_holonomy_atlas_2026-08-02/C04_INTRINSIC_B_12.txt	5062	1785692223034495888	0o100664	34748523
udt_kernel_plane_global_curvature_holonomy_atlas_2026-08-02/C04_INTRINSIC_B_13.txt	4982	1785692223468503150	0o100664	34748524
udt_kernel_plane_global_curvature_holonomy_atlas_2026-08-02/C04_INTRINSIC_B_23.txt	4928	1785692223886510144	0o100664	34748525
udt_kernel_plane_global_curvature_holonomy_atlas_2026-08-02/C04_INTRINSIC_RESULT.json	3353	1785692346557562208	0o100664	34748526
udt_kernel_plane_global_curvature_holonomy_atlas_2026-08-02/C04_PROJECTIVE_B_12.txt	3737	1785690120949806743	0o100664	34748537
udt_kernel_plane_global_curvature_holonomy_atlas_2026-08-02/C04_PROJECTIVE_B_13.txt	3611	1785690122782837238	0o100664	34748576
udt_kernel_plane_global_curvature_holonomy_atlas_2026-08-02/C04_PROJECTIVE_B_23.txt	3579	1785690123978857135	0o100664	34748577
udt_kernel_plane_global_curvature_holonomy_atlas_2026-08-02/C04_SATURATED_GROEBNER_BASIS.txt	59184	1785692346549562075	0o100664	34748542
