catch_id	mutated_target	expected	observed
C01	missing_candidate	REJECT	REJECT
C02	duplicate_candidate	REJECT	REJECT
C03	open_depth_promoted	REJECT	REJECT
C04	loop_identity_promoted	REJECT	REJECT
C05	nonconstant_witness_deleted	REJECT	REJECT
C06	local_identity_broken	REJECT	REJECT
C07	coboundary_order_broken	REJECT	REJECT
C08	physical_coframe_mutated	REJECT	REJECT
C09	affine_sign_broken	REJECT	REJECT
C10	triangle_complex_broken	REJECT	REJECT
C11	free_edge_control_deleted	REJECT	REJECT
C12	period_invariance_broken	REJECT	REJECT
C13	query_basicness_conflated	REJECT	REJECT
C14	seam_witness_made_vacuous	REJECT	REJECT
C15	conditional_route_promoted	REJECT	REJECT
C16	independent_witness_vacuous	REJECT	REJECT
