path	role	controlling_status	allowed_use	forbidden_promotion
LIVE.md	current frontier	CONTROL	orient scope and next gate	mathematical premise
HANDOFF.md	current handoff	CONTROL	orient scope and next gate	mathematical premise
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	durable scientific checkpoint	CONTROLLED_EVIDENCE	premise and claim history	overrule top LIVE state
udt_native_law_home_codomain_ownership_audit_2026-08-04/FOUNDATIONAL_ENTAILMENT_MATRIX.tsv	foundation entailment census	VERIFIED_BOUNDED	authority grading	new selector
udt_same_solution_phi_curvature_compatibility_audit_2026-08-04/EXACT_DERIVATION.md	local factorization identity	VERIFIED_BOUNDED	load-bearing local redefinition	physical gauge law
udt_same_solution_phi_curvature_compatibility_audit_2026-08-04/OWNERSHIP_ARCHITECTURE_UNIVERSE.tsv	ownership architectures	VERIFIED_BOUNDED	complete local architecture set	selected architecture
udt_same_solution_phi_curvature_compatibility_audit_2026-08-04/STATUS_LEDGER.tsv	local status ledger	VERIFIED_BOUNDED	premise stamps	global theorem
udt_extension_bundle_globalization_variation_audit_2026-08-04/EXACT_DERIVATION.md	two-sided overlap and cocycle algebra	VERIFIED_WITH_CAVEATS_BOUNDED	load-bearing globalization identities	physical transitions
udt_extension_bundle_globalization_variation_audit_2026-08-04/TRANSITION_FAMILY_LEDGER.tsv	transition family census	VERIFIED_WITH_CAVEATS_BOUNDED	retain all seven source families	preferred topology
udt_extension_bundle_globalization_variation_audit_2026-08-04/VARIATION_DOMAIN_LEDGER.tsv	variation ownership types	VERIFIED_WITH_CAVEATS_BOUNDED	separate query field and transition tangents	action domain
udt_query_bundle_section_descent_audit_2026-08-04/EXACT_DERIVATION.md	query equivariance and descent	VERIFIED_WITH_CAVEATS_BOUNDED	query/basicness distinction	global section
udt_query_bundle_section_descent_audit_2026-08-04/STRATIFIED_SECTION_LEDGER.tsv	section failure strata	VERIFIED_WITH_CAVEATS_BOUNDED	branch and defect scope	universal regular selector
udt_query_bundle_section_descent_audit_2026-08-04/VARIATION_OWNERSHIP_ATLAS.tsv	query/field tangent census	VERIFIED_WITH_CAVEATS_BOUNDED	ownership typing	physical variation choice
udt_reciprocal_path_composition_residual_audit_2026-08-04/EXACT_DERIVATION.md	composition and loop separation	VERIFIED_WITH_CAVEATS_BOUNDED	load-bearing graph/path identities	metric residual
udt_reciprocal_path_composition_residual_audit_2026-08-04/AUTHORITY_BOUNDARY.tsv	path authority grading	VERIFIED_WITH_CAVEATS_BOUNDED	premise stamps	zero periods or loop identity
udt_reciprocal_path_composition_residual_audit_2026-08-04/LOOP_OBJECT_SEPARATION.tsv	loop object types	VERIFIED_WITH_CAVEATS_BOUNDED	separate depth period and holonomy	trivial return
udt_global_local_reconstruction_audit_2026-08-04/EXACT_DERIVATION.md	cover and completion reconstruction	VERIFIED_BOUNDED	partial kinematic relation	complete return
udt_global_local_reconstruction_audit_2026-08-04/RECONSTRUCTION_ARCHITECTURE.md	global/local correspondence typing	WORKING_POSIT_PLUS_DERIVED_PARTIAL_KINEMATICS	relation architecture	bootstrap law
udt_factorized_whole_spacetime_skeleton_2026-08-04/WHOLE_SPACETIME_SKELETON.md	whole-coframe object graph	VERIFIED_BOUNDED	object and open-slot typing	complete theory
udt_observer_pair_xmax_bridge_audit_2026-07-27/EXACT_DERIVATION.md	observer-pair/Xmax bridge audit	VERIFIED_WITH_CAVEATS_BOUNDED	negative authority control	Xmax law
udt_global_reciprocal_bundle_assembly_audit_2026-07-26/AUDIT_REPORT.md	global reciprocal bundle assembly	VERIFIED_WITH_CAVEATS_BOUNDED	section/holonomy controls	selected reduction
udt_finite_cell_cartan_transport_atlas_2026-07-23/AUDIT_REPORT.md	finite-cell transport atlas	VERIFIED_WITH_CAVEATS_BOUNDED	completion family controls	physical completion
udt_invariant_xmax_asymptotic_boundary_audit_2026-07-23/AUDIT_REPORT.md	Xmax boundary route census	VERIFIED_WITH_CAVEATS_BOUNDED	boundary authority control	endpoint or boundary selection
