premise_id	premise	status	use_in_audit	excluded_inference
P01	D(phi)=exp(phi H) with reciprocal character composition	DERIVED	algebraic character law	physical event-by-event assignment
P02	theta=E(phi,D,S) bar_theta	DEFINED_CONFIGURATION_ARCHITECTURE	factorized smooth-tile control	preferred frame or selected section
P03	local factorization redefinition leaving theta fixed	DERIVED_IDENTITY_OF_PRESENTATION	load-bearing local action on factorizations	physical gauge postulate
P04	E_j=L_ij E_i R_ij^-1 with compatible left/right cocycles	DERIVED_COMPATIBILITY_IDENTITY	overlap and coboundary tests	physical transition selector
P05	ordered observer-ruler query bundle and tautological reciprocal plane	DERIVED_CONTAINER	query-equivariance test	global spacetime section
P06	physical signed-depth assignment	OPEN	kept as a separately conditional branch	metric-native phi law
P07	endpoint composition and path concatenation	DERIVED_NONSELECTING_KINEMATICS	graph and path controls	flatness zero periods or EOM
P08	global scalar phi	OPEN_ARCHITECTURE	one retained descent branch	universal ontology
P09	affine/sign-twisted reciprocal object	ABSTRACTLY_ADMISSIBLE__PHYSICAL_LIFT_CONDITIONAL	one retained descent branch	physical seam or topology
P10	fixed reference transition data	OPEN_OR_CONDITIONAL	conditional stabilizer calculation	founded reference calibration
P11	finite-cell completion graphs and seam regularity	DERIVED_PARTIAL_KINEMATIC_RELATION_WITH_SOURCE_PREMISES	endpoint/joint compatibility test	interior selection or physical boundary
P12	trivial full-loop return	NOT_FOUNDED_EXTRA	negative authority control	foundational law
P13	branch-derived section on a regular stratum	BRANCH_LOCAL_CONDITIONAL	conditional reduction test	global selector through collisions
P14	strong local CSN	INACTIVE	unused	selection or scale neutrality
P15	c_E and G	OBSERVED_ANCHORS	retained but numerically unused	ownership selector
P16	action source carrier density bootstrap X_max matter mass dynamics	OPEN_OR_PRIOR_CONDITIONAL	excluded from computation	any new physics conclusion
