object	status	scope_or_reason
abstract_reciprocal_depth_and_character	DERIVED	founded additive comparison representation
local_factorization_redefinition	DERIVED_PRESENTATION_IDENTITY	leaves complete coframe unchanged; not a physical gauge postulate
global_factorization_groupoid	DERIVED_ON_SUPPLIED_SMOOTH_COVER	local shifts induce reference-transition coboundaries
physical_complete_coframe_overlaps	DERIVED_COMPATIBILITY_IDENTITY	unchanged under factorization redefinition
global_scalar_depth	OPEN_ARCHITECTURE	descent leaves an arbitrary global function
affine_or_reversal_depth_bundle	ABSTRACTLY_ADMISSIBLE__PHYSICAL_LIFT_CONDITIONAL	parity and some periods survive but no section is selected
query_equivariance	DERIVED_NONSELECTING_KINEMATICS	transports every supplied depth
physical_signed_pair_depth	OPEN	if supplied it fixes relative endpoint values conditionally
fixed_reference_transitions	OPEN_OR_CONDITIONAL	would restrict shifts to transition stabilizer
finite_cell_physical_glue	DERIVED_PARTIAL_KINEMATIC_RELATION	restricts joint data but not factorization presentation
branch_derived_depth_owner	BRANCH_LOCAL_CONDITIONAL	regular strata only; collisions and rank changes remain open
trivial_full_loop_return	NOT_FOUNDED_EXTRA	would restrict periods but not select local endpoint potentials
observed_c_E_and_G	OBSERVED_ANCHORS	retained; unused as ownership equations
strong_local_CSN	INACTIVE	unused
action_source_carrier_boundary_bootstrap_Xmax_matter_mass_dynamics	OPEN_OR_PRIOR_CONDITIONAL	unchanged
overall	VERIFIED_WITH_CAVEATS_BOUNDED_GLOBAL_FACTORIZATION_GROUPOID_AND_OWNERSHIP_NONSELECTION	fresh review accepted the core; focused read-only replay accepted the repaired non-tautological seam witness
